Title,Evidence,Cluster
MAF: Multi-Aspect Feedback for Improving Reasoning in Large Language Models,however when it comes to natural language reasoning lms still face challenges such as hallucination generating incorrect intermediate reasoning steps and making mathematical errors,6
Do Language Models Have a Common Sense regarding Time? Revisiting Temporal Commonsense Reasoning in the Era of Large Language Models,our findings reveal a nuanced depiction of the capabilities and limitations of the models within temporal reasoning offering a comprehensive reference for future research in this pivotal domain,2
Evaluation of African American Language Bias in Natural Language Generation,we present evidence of dialectal bias for six pretrained llms through performance gaps on these tasks,1
An Investigation of LLMsâ€™ Inefficacy in Understanding Converse Relations,the results suggest that llms often resort to shortcut learning and still face challenges on our proposed benchmark,3
HiddenTables and PyQTax: A Cooperative Game and Dataset For TableQA to Ensure Scale and Data Privacy Across a Myriad of Taxonomies,a myriad of different large language models llms face a common challenge in contextually analyzing table questionanswering tasks these challenges are engendered from  finite context windows for large tables  multifaceted discrepancies amongst tokenization patterns against cell boundaries and  various limitations stemming from data confidentiality in the process of using external models such as,4
"Speak, Memory: An Archaeology of Books Known to ChatGPT/GPT-4",the ability of these models to memorize an unknown set of books complicates assessments of measurement validity for cultural analytics by contaminating test data we show that models perform much better on memorized books than on nonmemorized books for downstream tasks,2
Copyright Violations and Large Language Models,this work explores the issue of copyright violations and large language models through the lens of verbatim memorization focusing on possible redistribution of copyrighted text,5
Symbolic Planning and Code Generation for Grounded Dialogue,llms have had limited applicability in grounded taskoriented dialogue as they are difficult to steer toward task objectives and fail to handle novel grounding,3
Have LLMs Advanced Enough? A Challenging Problem Solving Benchmark For Large Language Models,the typical failure modes of gpt the best model are errors in algebraic manipulation difficulty in grounding abstract concepts into mathematical equations accurately and failure in retrieving relevant domainspecific concepts,2
Task-Agnostic Low-Rank Adapters for Unseen English Dialects,large language models llms are trained on corpora disproportionally weighted in favor of standard american english as a result speakers of other dialects experience significantly more failures when interacting with these technologies,5
Federated Learning of Large Language Models with Parameter-Efficient Prompt Tuning and Adaptive Optimization,the training process of large language models llms generally incurs the update of significant parameters which limits the applicability of fl techniques to tackle the llms in real scenarios and prompt tuning can significantly reduce the number of parameters to update but it either incurs performance degradation or low training efficiency and the decentralized data is generally nonindependent and identically distributed,4
Active Retrieval Augmented Generation,despite the remarkable ability of large language models lms to comprehend and generate language they have a tendency to hallucinate and create factually inaccurate output,6
Reasoning with Language Model is Planning with World Model,however llms can still struggle with problems that are easy for humans such as generating action plans for executing tasks or performing complex math or logical reasoning this is due to llmsâ absence of an internal world model for predicting world states eg environment status variable values and simulating,1
This is not a Dataset: A Large Negation Benchmark to Challenge Large Language Models,they fail to interpret negation a crucial step in natural language processing and our findings show that while llms are proficient at classifying affirmative sentences they struggle with negative sentences and lack a deep understanding of negation often relying on superficial cues and the lack of generalization in handling negation is persistent highlighting the ongoing challenges of llms,1
SOUL: Towards Sentiment and Opinion Understanding of Language,experimental results indicate that soul is a challenging task for both small and large language models with a performance gap of up to  when compared to human performance furthermore evaluations conducted with both human experts and gpt highlight the limitations of the small language model in generating reasoningbased justifications,2
Detecting and Mitigating Hallucinations in Multilingual Summarisation,hallucinations pose a significant challenge to the reliability of neural models for abstractive summarisation and we assess a broad range of multilingual large language models and find that they all tend to hallucinate often in languages different from english,0
EasyQuant: An Efficient Data-free Quantization Algorithm for LLMs,however their expensive computations and high memory requirements are prohibitive for deployment and the quantized model was calibrated using few samples from the training data which might affect the generalization of the quantized llms to unknown cases and tasks,4
EpiK-Eval: Evaluation for Language Models as Epistemic Models,evaluations across various llms reveal significant weaknesses in this domain and we contend that these shortcomings stem from the intrinsic nature of prevailing training objectives,3
Large Language Models are biased to overestimate profoundness,however llms systematically overestimate the profoundness of nonsensical statements and this work provides insights into the potential biases induced by reinforcement learning from human feedback rlhf inducing an increase in the bias to overestimate the profoundness of statements,1
SummEdits: Measuring LLM Ability at Factual Reasoning Through The Lens of Summarization,most llms struggle on summedits with performance close to random chance the bestperforming model gpt is still  below estimated human performance highlighting the gaps in llmsâ ability to reason about facts and detect inconsistencies when they occur,1
Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,we show evidence that speakers of a large number of the supported languages are overcharged while obtaining poorer results,2
Appraising the Potential Uses and Harms of LLMs for Medical Systematic Reviews,however llms sometimes generate inaccurate and potentially misleading texts by hallucination or omission in healthcare this can make llms unusable at best and dangerous at worst and they also raised concerns regarding confidently composed but inaccurate llm outputs and other potential downstream harms including decreased accountability and proliferation of lowquality reviews,6
Large Language Models Meet Open-World Intent Discovery and Recognition: An Evaluation of ChatGPT,we summarize and discuss the challenges faced by llms including clustering domainspecific understanding and crossdomain incontext learning scenarios,3
Improving Diversity of Demographic Representation in Large Language Models via Collective-Critiques and Self-Voting,a crucial challenge for generative large language models llms is diversity,5
Hidding the Ghostwriters: An Adversarial Evaluation of AI-Generated Student Essay Detection,the utilization of these models carries inherent risks including but not limited to plagiarism the dissemination of fake news and issues in educational exercises and the existing detectors can be easily circumvented using straightforward automatic adversarial attacks,7
Synthetic Data Generation with Large Language Models for Text Classification: Potential and Limitations,the effectiveness of the llmgenerated synthetic data in supporting model training is inconsistent across different classification tasks and subjectivity at both the task level and instance level is negatively associated with the performance of the model trained on synthetic data,3
Learning from Mistakes via Cooperative Study Assistant for Large Language Models,however the feedback from llm itself is often inaccurate thereby limiting its benefits,3
Conceptor-Aided Debiasing of Large Language Models,pretrained large language models llms reflect the inherent social biases of their training corpus and many methods have been proposed to mitigate this issue but they often fail to debias or they sacrifice model accuracy,5
CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,there is growing concern that these llm simulations are flattened caricatures of the personas that they aim to simulate failing to capture the multidimensionality of people and perpetuating stereotypes,5
Revisiting the Knowledge Injection Frameworks,we find that injecting unaligned ie random knowledge tuple into the llms achieves comparable and sometimes better results than the aligned knowledge being injected and how to adapt these llms to better suit the vertical domainspecific tasks by utilizing external knowledge remains not completely solved,3
Polyglot or Not? Measuring Multilingual Encyclopedic Knowledge in Foundation Models,an analysis of llamaâs errors reveals significant limitations in its ability to recall facts in languages other than english plus difficulties related to the location and gender of fact subjects,1
Integrating Language Models into Direct Speech Translation: An Inference-Time Solution to Control Gender Inflection,the existing solutions to do so though effective are hardly feasible in practice as they involve dedicated model retraining on genderlabeled st data,7
StoryAnalogy: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding,interestingly we find that the analogy identification tasks are incredibly difficult not only for sentence embedding models but also for the recent large language models llms such as chatgpt and llama,4
An Empirical Study of Translation Hypothesis Ensembling with Large Language Models,large language models llms are becoming a onefitsmany solution but they sometimes hallucinate or produce unreliable output,4
FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,evaluating the factuality of longform text generated by large language models lms is nontrivial because  generations often contain a mixture of supported and unsupported pieces of information making binary judgments of quality inadequate and  human evaluation is timeconsuming,4
Calc-X and Calcformers: Empowering Arithmetical Chain-of-Thought through Interaction with Symbolic Systems,language models are notoriously inclined to make factual errors in tasks requiring arithmetic computation,2
StereoMap: Quantifying the Awareness of Human-like Stereotypes in Large Language Models,large language models llms have been observed to encode and perpetuate harmful associations present in the training data and this study contributes to the understanding of how llms perceive and represent social groups shedding light on their potential biases and the perpetuation of harmful associations,5
Large Language Models Only Pass Primary School Exams in Indonesia: A Comprehensive Test on IndoMMLU,our empirical evaluations show that gpt only manages to pass the indonesian primary school level with limited knowledge of local indonesian languages and culture,2
Large Language Models: The Need for Nuance in Current Debates and a Pragmatic Perspective on Understanding,critically assess three points recurring in critiques of llm capacities,3
Question Answering as Programming for Solving Time-Sensitive Questions,our experiments reveal that the aforementioned problems still pose a significant challenge to existing llms this can be attributed to the llmsâ inability to perform rigorous reasoning based on surfacelevel text semantics,1
Context Compression for Auto-regressive Transformers with Sentinel Tokens,the quadratic complexity of the attention module makes it gradually become the bulk of compute in transformerbased llms during generation moreover the excessive keyvalue cache that arises when dealing with long inputs also brings severe issues on memory footprint and inference latency,4
MoPe: Model Perturbation based Privacy Attacks on Language Models,recent work has shown that large language models llms can unintentionally leak sensitive information present in their training data,5
Empower Nested Boolean Logic via Self-Supervised Curriculum Learning,we find that any pretrained language models even including large language models only behave like a random selector in the face of multinested boolean logic a task that humans can handle with ease,2
KCTS: Knowledge-Constrained Tree Search Decoding with Token-Level Hallucination Detection,large language models llms have demonstrated remarkable humanlevel natural language generation capabilities however their potential to generate misinformation often called the hallucination problem poses a significant risk to their deployment,6
Language Models with Rationality,this lack of interpretability is a growing impediment to widespread use of llms and resolve inconsistencies that may exist,3
Mitigating Temporal Misalignment by Discarding Outdated Facts,while large language models are able to retain vast amounts of world knowledge seen during pretraining such knowledge is prone to going out of date and is nontrivial to update,4
FANToM: A Benchmark for Stress-testing Machine Theory of Mind in Interactions,we show that fantom is challenging for stateoftheart llms which perform significantly worse than humans even with chainofthought reasoning or finetuning,3
Assessing Step-by-Step Reasoning against Lexical Negation: A Case Study on Syllogism,we observed that dozens of modern llms were not robust against lexical negation eg plausibleâimplausible when performing cotstyle reasoning and the results highlight unique limitations in each llm family,1
Dr ChatGPT tell me what I want to hear: How different prompts impact health answer correctness,reveal that knowledge passed in the prompt can bias the model to the detriment of answer correctness,2
CRAB: Assessing the Strength of Causal Relationships Between Real-world Events,find that models perform worse on causal reasoning when events are derived from complex causal structures compared to simple linear causal chains,2
Hallucination Detection for Generative Large Language Models by Bayesian Sequential Estimation,the propensity of llms to generate inaccurate or nonfactual content termed âœhallucinationsâ remains a significant challenge,6
MQuAKE: Assessing Knowledge Editing in Language Models via Multi-Hop Questions,current knowledgeediting approaches can recall edited facts accurately they fail catastrophically on the constructed multihop questions,2
Consistency Analysis of ChatGPT,prompt designing fewshot learning and employing larger large language models llms are unlikely to be the ultimate solution to resolve the inconsistency issue of llms,4
Mitigating Societal Harms in Large Language Models,we will provide an overview of potential social issues in language generation including toxicity social biases misinformation factual inconsistency and privacy violations,7
H2O Open Ecosystem for State-of-the-art Large Language Models,llms represent a revolution in ai however they also pose many significant risks such as the presence of biased private copyrighted or harmful text,5
FLEEK: Factual Error Detection and Correction with Evidence Retrieved from External Knowledge,llmsâ inability to attribute their claims to external knowledge and their tendency to hallucinate makes it difficult to rely on their responses,6
CLEVA: Chinese Language Models EVAluation Platform,the absence of a comprehensive chinese benchmark that thoroughly assesses a modelâs performance the unstandardized and incomparable prompting procedure and the prevalent risk of contamination pose major challenges in the current evaluation of chinese llms,3
LM-Polygraph: Uncertainty Estimation for Language Models,however a significant challenge arises as these models often âœhallucinateâ ie fabricate facts without providing users an apparent means to discern the veracity of their statements,6
CarExpert: Leveraging Large Language Models for In-Car Conversational Question Answering,leveraging llms for domainspecific question answering suffers from severe limitations the generated answer tends to hallucinate due to the training data collection time when using offtheshelf complex user utterance and wrong retrieval in retrievalaugmented generation furthermore due to the,6
DELPHI: Data for Evaluating LLMsâ€™ Performance in Handling Controversial Issues,this dataset presents challenges concerning knowledge recency safety fairness and bias,7
Assessing Logical Puzzle Solving in Large Language Models: Insights from a Minesweeper Case Study,despite these advancements it remains an open question whether llms are fundamentally capable of reasoning and planning or if they primarily rely on recalling and synthesizing information from their training data and our experiments including trials with the advanced gpt model indicate that while llms possess the foundational abilities required for this task they struggle to integrate these into a coherent,1
Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,even the bestperforming model is unable to demonstrate strong visual reasoning capabilities and consistency indicating that substantial efforts are required to enable vlms to perform visual reasoning as systematically and consistently as humans,2
Head-to-Tail: How Knowledgeable are Large Language Models (LLMs)? A.K.A. Will LLMs Replace Knowledge Graphs?,we show that existing llms are still far from being perfect in terms of their grasp of factual knowledge especially for facts of torsototail entities,3
Embrace Divergence for Richer Insights: A Multi-document Summarization Benchmark and a Case Study on Summarizing Diverse Information from News Articles,our analyses suggest that despite the extraordinary capabilities of llms in singledocument summarization the proposed task remains a complex challenge for them mainly due to their limited coverage with gpt only able to cover under  of the diverse information on average,1
An Examination of the Compositionality of Large Generative Vision-Language Models,we identify the syntactical bias in current benchmarks which is exploited by the linguistic capability of gvlms the bias renders visualgptscore an insufficient metric for assessing gvlms,3
Assessing Factual Reliability of Large Language Model Knowledge,the factual knowledge of llms is typically evaluated using accuracy yet this metric does not capture the vulnerability of llms to hallucinationinducing factors like prompt and context variability,6
A Closer Look at the Self-Verification Abilities of Large Language Models in Logical Reasoning,despite significant advancements made by large language models llms they still struggle with complex logical reasoning problems and our main findings suggest that existing llms could struggle to identify fallacious reasoning steps accurately and may fall short of guaranteeing the validity of selfverification methods,1
On Large Language Modelsâ€™ Hallucination with Regard to Known Facts,large language models are successful in answering factoid questions but are also prone to hallucination and we investigate the phenomenon of llms possessing correct answer knowledge yet still hallucinating from the perspective of inference dynamics,6
"Language Models Hallucinate, but May Excel at Fact Verification",llms frequently âœhallucinateâ resulting in nonfactual outputs and analyze the reliance of these llms on highquality evidence as well as their deficiencies in robustness and generalization ability,6
Ensuring Safe and High-Quality Outputs: A Guideline Library Approach for Language Models,large language models llms exhibit impressive capabilities but also present risks such as biased content generation and privacy issues,5
"E5: Zero-shot Hierarchical Table Analysis using Augmented LLMs via Explain, Extract, Execute, Exhibit and Extrapolate",their application to hierarchical tables is constrained by the reliance on manually curated exemplars and the modelâs token capacity limitations,2
"S3Eval: A Synthetic, Scalable, Systematic Evaluation Suite for Large Language Model",the rapid development of large language models llms has led to great strides in model capabilities like longcontext understanding and reasoning however as llms are able to process longer contexts it becomes more challenging to evaluate whether they have acquired certain capabilities since the length,4
MMC: Advancing Multimodal Chart Understanding with Large-scale Instruction Tuning,extensive experiments on mmcbenchmark reveal the limitations of existing lmms on correctly interpreting charts even for the most recent gptv model,3
Large Language Models Help Humans Verify Truthfulness â€“ Except When They Are Convincingly Wrong,users reading llm explanations are significantly more efficient than those using search engines while achieving similar accuracy however they overrely on the llms when the explanation is wrong and natural language explanations by llms may not be a reliable replacement for reading the retrieved,1
SELF-GUARD: Empower the LLM to Safeguard Itself,safety training involves finetuning the llm with adversarial samples which activate the llmâs capabilities against jailbreak however it is not always effective in countering new attacks and often leads to potential performance degradation and safeguards on the other hand are methods using,7
MART: Improving LLM Safety with Multi-round Automatic Red-Teaming,redteaming is a common practice for mitigating unsafe behaviors in large language models llms which involves thoroughly assessing llms to identify potential flaws and addressing them with responsible and accurate responses while effective manual redteaming is costly and existing automatic redteaming typically discovers safety risks,7
Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings,our experiments reveal that,2
The Colorful Future of LLMs: Evaluating and Improving LLMs as Emotional Supporters for Queer Youth,however they tend to be generic not empathetic enough and lack personalization resulting in nonreliable and potentially harmful advice,7
ReTA: Recursively Thinking Ahead to Improve the Strategic Reasoning of Large Language Models,experimental results demonstrate that existing stateoftheart llms and reasoning schemes are largely ineffective for strategic reasoning tasks,3
"First Tragedy, then Parse: History Repeats Itself in the New Era of Large Language Models",we argue that disparities in scale are transient and researchers can work to reduce them that data rather than hardware is still a bottleneck for many applications that meaningful realistic evaluation is still an open problem and that there is still room for speculative approaches,3
Found in the Middle: Permutation Self-Consistency Improves Listwise Ranking in Large Language Models,large language models llms exhibit positional bias in how they use context which especially affects listwise ranking,4
How Well Do Large Language Models Truly Ground?,to reduce issues like hallucinations and lack of control in large language models llms and we perform experiments across  llms of different sizes and training methods and provide insights into factors that influence grounding performance,4
How Trustworthy are Open-Source LLMs? An Assessment under Malicious Demonstrations Shows their Vulnerabilities,however there is still a limited understanding of their trustworthiness and scrutinizing them across eight different aspects including toxicity stereotypes ethics hallucination fairness sycophancy privacy and robustness against adversarial demonstrations and our result analysis reveals that models with superior performance in general nlp tasks do not always have greater trustworthiness in fact larger,7
Paraphrase and Solve: Exploring and Exploiting the Impact of Surface Form on Mathematical Reasoning in Large Language Models,we find that subtle alterations in the surface form can significantly impact the answer distribution and the solve rate exposing the language modelâs lack of robustness and sensitivity to the surface form in reasoning through complex problems,2
Do Localization Methods Actually Localize Memorized Data in LLMs? A Tale of Two Benchmarks,methods for localization have never been systematically and directly evaluated and even successful methods identify neurons that are not specific to a single memorized sequence,0
Fair Abstractive Summarization of Diverse Perspectives,experiments show that both the modelgenerated and the humanwritten reference summaries suffer from low fairness,2
Confronting LLMs with Traditional ML: Rethinking the Fairness of Large Language Models in Tabular Classifications,llms have been shown to exhibit harmful social biases that reflect the stereotypes and inequalities present in society and llms tend to inherit social biases from their training data which significantly impact their fairness in tabular classification tasks and the social,5
Ada-LEval: Evaluating long-context LLMs with length-adaptable benchmarks,the evaluation results demonstrate the limitations of current llms especially in ultralongcontext settings,3
TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,large language models llms frequently generate incorrect responses based on madeup facts which are called hallucinations,6
On-the-fly Definition Augmentation of LLMs for Biomedical NER,despite their general capabilities llms still struggle on biomedical ner tasks which are difficult due to the presence of specialized terminology and lack of training data,1
"This Land is Your, My Land: Evaluating Geopolitical Bias in Language Models through Territorial Disputes",we show that llms recall certain geographical knowledge inconsistently when queried in different languagesâa phenomenon we term geopolitical bias and use the proposed metrics to discover numerous inconsistencies in how these models respond in different languages and highlights how brittle llms are and how they tailor their responses depending on cues from the interaction context,1
Towards Improved Multi-Source Attribution for Long-Form Answer Generation,current llms struggle with attribution for longform responses which require reasoning over multiple evidence sources,3
Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey,the contemporary llms are prone to producing hallucinations stemming mainly from the knowledge gaps within the models,6
LM-Infinite: Zero-Shot Extreme Length Generalization for Large Language Models,todayâs large language models llms typically train on short text segments eg k tokens due to the quadratic complexity of their transformer architectures as a result their performance suffers drastically on inputs longer than those encountered during training substantially limiting their applications in realworld,4
Enhancing Contextual Understanding in Large Language Models through Contrastive Decoding,large language models llms tend to inadequately integrate input context during text generation relying excessively on encoded prior knowledge in model parameters potentially resulting in generated text with factual inconsistencies or contextually unfaithful content,4
Fixing Rogue Memorization in Many-to-One Multilingual Translators of Extremely-Low-Resource Languages by Rephrasing Training Samples,however we also found that manytoone multilingual systems have a tendency to learn a rogue strategy of storing output strings from the training data in the llm structure and retrieving them instead of performing actual translations,2
Flames: Benchmarking Value Alignment of LLMs in Chinese,there is still a significant gap in llmsâ deeper alignment with human values and achieving genuine harmlessness and our findings indicate that all the evaluated llms demonstrate relatively poor performance on flames particularly in the safety and fairness dimensions,3
Effective Long-Context Scaling of Foundation Models,we delve into llamaâs position encodings and discuss its key limitation in modeling long data,4
Aligning as Debiasing: Causality-Aware Alignment via Reinforcement Learning with Interventional Feedback,large language models llms often generate biased outputs containing offensive toxic or stereotypical text,5
Fake Alignment: Are LLMs Really Aligned Well?,this study investigates an underexplored issue about the evaluation of llms namely the substantial discrepancy in performance between multiplechoice questions and openended questions,3
"In-context Learning Generalizes, But Not Always Robustly: The Case of Syntax",do models guided via icl infer the underlying structure of the task defined by the context or do they rely on superficial heuristics that only generalize to identically distributed examples and we find large variance across lms the variance is explained more by the composition of the pre,2
Stealthy and Persistent Unalignment on Large Language Models via Backdoor Injections,while being effective such finetuningbased unalignment approaches also have their own limitations,3
You donâ€™t need a personality test to know these models are unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments,our experiments on  different llms reveal that even simple perturbations significantly downgrade a modelâs questionanswering ability and that most llms have low negation consistency,1
MacGyver: Are Large Language Models Creative Problem Solvers?,in contrast llms exposed to a variety of specialized knowledge attempt broader problems but fail by proposing physicallyinfeasible actions and finally we provide a detailed error analysis of llms and demonstrate the potential of enhancing their problemsolving ability with novel prompting techniques such as iterative step,1
Enhancing Large Language Models Against Inductive Instructions with Dual-critique Prompting,we uncovered a universal vulnerability among llms in processing inductive instructions,3
XSTest: A Test Suite for Identifying Exaggerated Safety Behaviours in Large Language Models,without proper safeguards large language models will readily follow malicious instructions and generate toxic content and we use the test suite to highlight systematic failure modes in stateoftheart language models as well as more general challenges in building safer language models,7
Understanding the Capabilities and Limitations of Large Language Models for Cultural Commonsense,llms have a significant discrepancy in performance when tested on culturespecific commonsense knowledge for different cultures and llmsâ general commonsense capability is affected by cultural context and the language used to query the llms can impact their performance on culturalrelated tasks,1
Do Large Language Models Rank Fairly? An Empirical Study on the Fairness of LLMs as Rankers,however their fairness remains largely unexplored and our analysis delves into how these llms handle queries and documents related to these attributes aiming to uncover biases in their ranking algorithms,3
TabSQLify: Enhancing Reasoning Capabilities of LLMs Through Table Decomposition,large language models llms have shown impressive capabilities in natural language understanding and generation but they often struggle with large tables due to their limited input length,4
RESPROMPT: Residual Connection Prompting Advances Multi-Step Reasoning in Large Language Models,chainofthought cot has impressively unlocked the reasoning potential of large language models llms yet it falls short when tackling problems that require multiple reasoning steps this limitation arises from the complex nature of multistep reasoning processes,4
Exploring the Factual Consistency in Dialogue Comprehension of Large Language Models,our evaluation shows that on average  of the summaries generated by llms contain factual inconsistency even chatgpt the strongest model evaluated has such errors in  of its summaries for answering the factual questions which is more challenging the,1
"Multilingual Pretraining and Instruction Tuning Improve Cross-Lingual Knowledge Alignment, But Only Shallowly",current large language models show imbalance abilities in different languages and the overall crosslingual knowledge alignment especially in the conductivity level is unsatisfactory for all tested llms and neither multilingual pretraining nor instruction tuning can substantially improve the crosslingual knowledge conductivity,4
Effective Large Language Model Adaptation for Improved Grounding and Citation Generation,however one major issue towards their widespread deployment in the real world is that they can generate hallucinated answers that are not factual,6
Grounding Gaps in Language Model Generations,we find thatâcompared to humansâllms generate language with less conversational grounding instead generating text that appears to simply presume common ground,1
Global Gallery: The Fine Art of Painting Culture Portraits through Multilingual Instruction Tuning,they also uncover inconsistencies and biases particularly in nonwestern cultures,0
ContraDoc: Understanding Self-Contradictions in Documents with Large Language Models,while gpt performs the best and can outperform humans on this task we find that it is still unreliable and struggles with selfcontradictions that require more nuance and context,2
A Survey of Confidence Estimation and Calibration in Large Language Models,despite their impressive performance they can be unreliable due to factual errors in their generations and we outline the challenges and we summarize recent technical advancements for llm confidence estimation and calibration,3
"Attacks, Defenses and Evaluations for LLM Conversation Safety: A Survey",however their risks of misuse for generating harmful responses have raised serious societal concerns and spurred recent research on llm conversation safety,7
Mindâ€™s Mirror: Distilling Self-Evaluation Capability and Comprehensive Thinking from Large Language Models,the massive scale and computational demands of these models present formidable challenges when considering their practical deployment in resourceconstrained environments and there is a risk that distilled slms may still inherit flawed reasoning and hallucinations from llms,6
Beyond Performance: Quantifying and Mitigating Label Bias in LLMs,however recent work revealed they also exhibit label biasâan undesirable preference toward predicting certain answers over others and our investigation reveals substantial label bias in models both before and after debiasing attempts and our results emphasize that label bias in the predictions of llms remains a barrier to their reliability,5
Instructing Large Language Models to Identify and Ignore Irrelevant Conditions,however they were seriously confused by the irrelevant conditions resulting in low accuracy,2
Knowing What LLMs DO NOT Know: A Simple Yet Effective Self-Detection Method,recent literature reveals that llms hallucinate intermittently which impedes their reliability for further utilization,6
Are Large Language Model Temporally Grounded?,generally we find that llms lag significantly behind both human performance as well as smallscale specialised lms and crucially llms struggle the most with selfconsistency displaying incoherent behaviour in at least  of their predictions and moreover public instruction,1
R-Tuning: Instructing Large Language Models to Say â€˜I Donâ€™t Knowâ€™,a predominant issue is the propensity for these models to generate nonexistent facts a concern termed hallucination and when the question is out of the parametric knowledge it will try to make up something and fail to indicate when it lacks knowledge,6
LeanReasoner: Boosting Complex Logical Reasoning with Lean,large language models llms often struggle with complex logical reasoning due to logical inconsistencies and the inherent difficulty of such reasoning,4
UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback,many large language models llms struggle to consistently generate ui code that compiles and produces visually relevant designs,4
Deceptive Semantic Shortcuts on Reasoning Chains: How Far Can Models Go without Hallucination?,despite the high performances of large language models llms across numerous benchmarks recent research has unveiled their suffering from hallucinations and unfaithful reasoning and experiments show that existing llms cannot follow correct reasoning paths and resist the attempt of greedy shortcuts with gpt only achieving  accuracy,4
Learning to Compress Prompt in Natural Language Formats,large language models llms are great at processing multiple natural language processing tasks but their abilities are constrained by inferior performance with long context slow inference speed and the high cost of computing the results,4
Naive Bayes-based Context Extension for Large Language Models,conventional incontext learning icl approaches are often impeded by length limitations of transformer architecture which pose challenges when attempting to effectively integrate supervision from a substantial number of demonstration examples,4
Branch-Solve-Merge Improves Large Language Model Evaluation and Generation,however their performance can fall short due to the modelâs lack of coherence and inability to plan and decompose the problem,2
Evaluating the Deductive Competence of Large Language Models,the tested llms have limited abilities to solve these problems in their conventional form and overall our results suggest that llms have unique reasoning biases that are only partially predicted from human reasoning performance and the humangenerated language corpora that informs them,1
Large Human Language Models: A Need and the Challenges,at the same time our nlp systems have become heavily reliant on llms most of which do not model authors and this brings to the fore a range of design considerations and challenges in terms of what human aspects to capture how to represent them and what modeling strategies to pursue,1
Hallucination Diversity-Aware Active Learning for Text Summarization,large language models llms have shown propensity to generate hallucinated outputs ie texts that are factually incorrect or unsupported and existing methods for alleviating hallucinations typically require costly human annotations to identify and correct hallucinations in llm outputs,6
Investigating Data Contamination in Modern Benchmarks for Large Language Models,recent observations have underscored a disparity between the inflated benchmark scores and the actual performance of llms raising concerns about potential contamination of evaluation benchmarks,3
IndiBias: A Benchmark Dataset to Measure Social Biases in Language Models for Indian Context,the pervasive influence of social biases in language data has sparked the need for benchmark datasets that capture and evaluate these biases in large language models llms and we observed that the language models exhibit more bias across a majority of the intersectional groups,5
Revisiting Zero-Shot Abstractive Summarization in the Era of Large Language Models from the Perspective of Position Bias,position bias captures the tendency of a model unfairly prioritizing information from certain parts of the input text over others leading to undesirable behavior,5
Struc-Bench: Are Large Language Models Good at Generating Complex Structured Tabular Data?,producing complex structured tabular data remains challenging and indepth error analysis and creating an ability map across six dimensions coverage formatting reasoning comprehension pragmatics and hallucination highlight areas for future enhancements and suggest forthcoming research trajectories,0
Advancing the Robustness of Large Language Models through Self-Denoised Smoothing,although large language models llms have achieved significant success their vulnerability to adversarial perturbations including recent jailbreak attacks has raised considerable concerns,7
Lost in Space: Probing Fine-grained Spatial Understanding in Vision and Language Resamplers,more finegrained tasks that require spatial understanding have not been thoroughly examined and our results show that this information is largely absent from the resampler output when kept frozen during training of the classifiers,2
The Impact of Language on Arithmetic Proficiency: A Multilingual Investigation with Cross-Agent Checking Computation,this paper critically examines the arithmetic capabilities of large language models llms uncovering significant limitations in their performance,4
Removing RLHF Protections in GPT-4 via Fine-Tuning,finetuning allows attackers to remove rlhf protections with as few as  examples and a  success rate and our results show the need for further research on protections on llms,3
MuLan: A Study of Fact Mutability in Language Models,we hypothesize that mutable facts are encoded differently than immutable ones hence being easier to update in a detailed evaluation of six popular large language models we consistently find differences in the llmsâ confidence representations and update behavior depending on the mutability of a fact,1
DIALIGHT: Lightweight Multilingual Development and Evaluation of Task-Oriented Dialogue Systems with Large Language Models,we also identify significant challenges of llms in adherence to taskspecific instructions and generating outputs in multiple languages highlighting areas for future research,3
OpinionGPT: Modelling Explicit Biases in Instruction-Tuned LLMs,an open research question concerns the inherent biases of trained models and their responses and current research work seeks to debias such models or suppress potentially biased answers,2
Exploring Inherent Biases in LLMs within Korean Social Context: A Comparative Analysis of ChatGPT and GPT-4,llms have been critiqued for perpetuating stereotypes against diverse groups based on race sexual orientation and other attributes and our findings indicate that certain personas or prompt combinations consistently yield harmful content highlighting the potential risks associated with specific personaissue alignments within the korean cultural framework,5
HybridBERT - Making BERT Pretraining More Efficient Through Hybrid Mixture of Attention Mechanisms,the pretraining phase is extremely computeintensive and requires several highperformance computing devices like gpus and several days or even months of training but it is crucial for the model to capture global knowledge and also has a significant impact on the finetuning task this is a major,2
Combating Security and Privacy Issues in the Era of Large Language Models,this tutorial seeks to provide a systematic summary of risks and vulnerabilities in security privacy and copyright aspects of large language models llms and most recent solutions to address those issues and will conclude the discussions by outlining emergent challenges in security privacy and reliability of llms that deserve timely investigation by the community,7
Explanation in the Era of Large Language Models,the sheer sizes and the opaque nature of llms introduce challenges to the explanation methods,3
