Title,LMs,Limitations of LMs,Evidence
Zero-Shot Cross-Lingual Reranking with Large Language Models for Low-Resource Languages,Yes.,3,"The paper states that ""despite their successful implementations, there is still a gap in existing literature on their effectiveness in low-resource languages."" This suggests that there may be limitations to LLMs in low-resource languages, but the paper does not go into detail about what those limitations might be. It also mentions that ""our results reveal that cross-lingual reranking may be competitive with reranking in African languages depending on the multilingual capability of the LLM,"" which implies that there may be limitations to the multilingual capabilities of LLMs, but again, the paper does not provide specific details."
Comparative Analysis of Deep Natural Networks and Large Language Models for Aspect-Based Sentiment Analysis,Yes.,4,"The paper mentions several large language models (LLMs) including GPT, PaLM, and T5, and evaluates their performance for aspect-based sentiment analysis (ABSA) tasks. It highlights their domain sensitivity and varying efficacy for both aspect term sentiment analysis (ATSA) and aspect categorical sentiment analysis (ACSA) tasks. The paper also acknowledges their reliance on labeled data and their potential limitations in handling domain-specific data."
LlaMaVAE: Guiding Large Language Model Generation via Continuous Latent Sentence Spaces,Yes.,3,"The paper mentions the need for better text generation control and the limitations of previous state-of-the-art VAE language model, Optimus, in this regard. It also mentions an increased degree of semantic clustering and geometric consistency as a potential solution to this limitation."
A Comparative Analysis of Large Language Models for Code Documentation Generation,Yes.,3,"The paper mentions limitations of LLMs in terms of their performance on generating file level documentation, which is significantly worse than inline and function level documentation. The authors also note that closed-source models generally outperform open-source models, suggesting potential limitations related to access to training data and resources."
TigerBot: An Open Multilingual Multitask LLM,Yes.,3,"The paper mentions the limitations of the models in terms of their size and computational requirements, but also highlights their improvements over SOTA models and their applications in real-world scenarios. However, it does not provide a detailed analysis of the specific limitations of LLMs beyond their resource requirements."
Efficiently Programming Large Language Models using SGLang,Yes.,,"The paper mentions the use of ""large language models"" several times and discusses their complexities and the need for efficient programming and execution systems."
Large Language Models on Graphs: A Comprehensive Survey,Yes.,5,"The paper discusses the limitations of LLMs in the context of their application to graphs, noting that they are mainly designed for text processing and their reasoning ability is unexplored in graph contexts. It also mentions the need for further research in this area."
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,Yes.,5,"The paper discusses the limitations of large language models, specifically their inability to have beliefs or tell the truth, and proposes methods to measure their beliefs which fail. It also argues that these limitations are conceptual and not just empirical."
SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,Yes.,5,"The paper discusses the limitations of LLMs by stating that they are ""frozen"" and cannot perform multimodal tasks involving non-linguistic modalities like images or videos without additional techniques. The authors demonstrate that their proposed method, SPAE, enables frozen LLMs to perform multimodal tasks by converting between raw pixels and interpretable lexical tokens extracted from the LLM's vocabulary, effectively translating the visual content into a language comprehensible to the LLM. The paper also highlights the limitations of LLMs in image understanding tasks and their inability to generate image content without additional techniques."
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,Yes.,5,"The paper acknowledges the limitations of LLMs, including in-context reasoning accuracy, learning efficiency, out-of-domain generalization, and output stability. The authors propose a new method, Meta-Reasoning, to address these limitations."
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,Yes.,3,The paper acknowledges that off-the-shelf LLMs do not fully understand challenging ranking formulations.
Preference Ranking Optimization for Human Alignment,Yes.,5,"The paper highlights that LLMs often contain misleading content and emphasizes the need for human alignment to ensure secure AI systems. It mentions that RLHF, a method used for human alignment, has drawbacks such as complexity, instability, sensitivity to hyperparameters, and a lack of macro-level contrasts. It also mentions that despite massive trial-and-error, multiple sampling in RLHF is reduced to pair-wise contrasts, which is not effective for macro-level alignment. The paper proposes a new method called Preference Ranking Optimization (PRO) to address these limitations by directly fine-tuning LLMs for human alignment using preference rankings of any length. It shows that PRO outperforms baseline algorithms and achieves comparable results to ChatGPT and human responses through various evaluations."
"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage",Yes.,5,"The paper explicitly discusses the challenges and limitations of LLMs, including ethical considerations, model biases, interpretability, and computational resource requirements. It also highlights techniques for enhancing the robustness and controllability of LLMs and addressing bias, fairness, and generation quality issues."
Concept-Oriented Deep Learning with Large Language Models,Yes.,1,The paper does not mention any limitations of LLMs in the abstract.
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,Yes.,4,"The paper mentions the limitations of LLMs in producing erroneous responses and the need for calibration to indicate potential errors. The experiments are conducted on off-the-shelf LLMs, specifically GPT-3.5 and GPT-4."
Taqyim: Evaluating Arabic NLP Tasks Using ChatGPT Models,Yes.,3,"The paper mentions the limitations of LLMs by stating that they require large amounts of data for training and that they may struggle with certain tasks, such as handling dialects, without fine-tuning. The paper also notes that the performance of LLMs on certain tasks can be improved through fine-tuning."
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,Yes.,5,"The paper discusses the biases and limitations of LLMs in generating training data, specifically in terms of regional bias and the cost associated with using LLMs for generating data. It also highlights the potential for diversely attributed prompts to yield more diverse and unbiased data."
Large Language Models as Annotators: Enhancing Generalization of NLP Models at Minimal Cost,Yes.,3,The paper mentions that LLMs are used as an approximation to collecting ground-truth labels and that they are susceptible to errors and inconsistencies. The authors find that popular active learning strategies do not work well and propose a new sampling strategy based on the difference in prediction scores between the base model and the fine-tuned NLP model. The limitations of LLMs are highlighted in the context of their use as annotators for improving the generalization of NLP models.
ChatGPT Label: Comparing the Quality of Human-Generated and LLM-Generated Annotations in Low-resource Language NLP Tasks,Yes.,4,"The study found that while LLMs demonstrated competitive quality in sentiment analysis, they consistently underperformed human-generated annotations in more intricate NLP tasks, highlighting their limitations in understanding context and addressing ambiguity."
REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,Yes.,4,"The paper explicitly mentions the use of Large Language Models for failure explanation and correction planning. However, it also acknowledges that the explanations generated by the LLM may not always be accurate and may require further refinement. The limitations of LLMs are not explicitly stated in the abstract but are implied by the text. The paper also mentions the need for a language-based planner to correct the failure based on the LLM's explanation, suggesting that the LLM may not always provide a complete or correct solution."
Exploring the Robustness of Large Language Models for Solving Programming Problems,Yes.,5,"The paper discusses the sensitivity of LLMs to superficial modifications of problem descriptions and their impact on code generation performance, indicating a significant limitation. It also highlights the reliance of some models on variable names, which can decrease solved rates significantly. The experiments conducted on several popular LLMs, CodeGen and GPT-3.5 series models, show these limitations."
Language models are weak learners,Yes.,3,"The paper shows that LLMs can be used as weak learners, but it also highlights their limitations in handling small amounts of data and their performance being occasionally outperformed by traditional tree-based boosting."
Teaching Large Language Models to Self-Debug,Yes.,3,"The paper acknowledges that LLMs struggle with complex programming tasks and have limitations in sample efficiency. The paper proposes a method to improve LLM performance through self-debugging, which demonstrates improvements in accuracy and sample efficiency on several benchmarks. However, the limitations of LLMs are not extensively discussed, and the focus is on the proposed method to address these limitations."
Towards an Understanding and Explanation for Mixed-Initiative Artificial Scientific Text Detection,Yes.,5,"The paper mentions the potential misuse of LLMs in academic contexts due to their ability to generate human-like text, which can lead to plagiarism. It also mentions the challenges in effectively detecting machine-generated text due to the lack of clear understanding of the differences between machine-generated and human-written text, poor generalization performance of existing methods, and limited support for human-machine collaboration with sufficient interpretability during the detection process."
On the Possibilities of AI-Generated Text Detection,Yes.,5,"The paper discusses the limitations of LLMs in terms of their indistinguishability from human-produced text, which can make text detection difficult. It also mentions the need for larger sample sizes as machine-generated text approaches human-like quality."
Learnings from Data Integration for Augmented Language Models,Yes.,5,"The paper explicitly states that one limitation of LLMs is their lack of access to up-to-date, proprietary or personal data."
Graph-ToolFormer: To Empower LLMs with Graph Reasoning Ability via Prompt Augmented by ChatGPT,Yes.,5,"The paper explicitly states that LLMs have serious flaws in performing multi-step logic reasoning, precise mathematical calculation, and perception about spatial and temporal factors when it comes to graph learning tasks."
Towards Generating Functionally Correct Code Edits from Natural Language Issue Descriptions,Yes.,3,The paper discusses the limitations of LLMs in generating functionally correct code edits from natural language descriptions. It also mentions that the best LLM-based technique can only achieve 21.20% top-1 and 35.68% top-5 accuracy on this benchmark.
Revisiting Automated Prompting: Are We Actually Doing Better?,Yes.,3,"The paper mentions that LLMs are great few-shot learners and that prompting significantly increases their performance, but it also finds that automated prompting does not consistently outperform simple manual prompts, suggesting that LLMs may not perform optimally without careful prompting."
Instruction Tuning with GPT-4,Yes.,3,"The paper focuses on the use of large language models (LLMs) for instruction tuning, and mentions limitations in the quality of instruction-following data generated by previous state-of-the-art models. However, it does not explicitly discuss limitations of LLMs themselves, such as biases, lack of common sense, or inability to understand context beyond the given text."
Exploring Language Models: A Comprehensive Survey and Analysis,Yes.,5,"The paper explicitly states ""However, the growing size and complexity of these models have given rise to new challenges and limitations."" and ""Concerns related to model bias, interpretability, data privacy, and environmental impact have become prominent."""
"Whose Text Is It Anyway? Exploring BigCode, Intellectual Property, and Ethics",Yes.,5,"The paper discusses the use of open data sets to train LLMs and raises concerns about copyright infringement and intellectual property rights. It suggests that LLMs may circumvent these rights by using large amounts of data without proper authorization. The paper does not go into detail about specific limitations of LLMs, but it does highlight the potential ethical and legal issues related to their use."
Challenges and Limitations of ChatGPT and Other Large Language Models,Yes.,5,"The paper specifically discusses the limitations of large language models, including their understanding of context, difficulty with rare or out-of-vocabulary words, and tendency to generate nonsensical or offensive text. It also acknowledges concerns around their potential for bias and lack of interpretability."
Document-Level Machine Translation with Large Language Models,Yes.,4,"The paper discusses the superior performance of LLMs in document-level translation, but also acknowledges the challenges and limitations, such as the need for fine-tuning and the lack of understanding of discourse phenomena and world knowledge. The paper also compares the performance of LLMs with commercial MT systems and advanced document-level MT methods, highlighting the strengths and weaknesses of LLMs in this context."
LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models,Yes.,1,"The paper mentions the success of large language models (LLMs) like GPT-4 and ChatGPT, and discusses the development of cost-effective and accessible alternatives through fine-tuning. It also mentions the attraction of adapter-based PEFT methods due to their requirement of only fine-tuning a few external parameters instead of the entire LLMs. However, the paper does not discuss any specific limitations of LLMs themselves, such as their inability to understand context or their tendency to generate inaccurate or biased responses. Instead, it focuses on the limitations and potential improvements of fine-tuning methods for LLMs."
Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open Domain Question Answering,Yes.,3,"The paper discusses the use of a language model (RAG) for question answering and mentions that it has only been trained and explored with a Wikipedia-based external knowledge base, implying a limitation in its ability to adapt to other specialized domains. Additionally, the paper proposes an extension (RAG-end2end) that can adapt to a domain-specific knowledge base by updating all components of the external knowledge base during training, which could potentially be a limitation for larger language models that require more computational resources. The paper also mentions an auxiliary training signal to inject more domain-specific knowledge, which could potentially introduce biases or errors in the model if not carefully managed."
Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement,Yes.,3,"The paper discusses the limitations of transformer models in handling long-distance dependencies and agreement in French, which are complex linguistic phenomena that require understanding of movement and anaphora resolution. The authors find that while transformers can predict subject-verb agreement and object-past participle agreement to some extent, they struggle with the confounding factors and do not fully capture the underlying linguistic rules."
On the Role of Negative Precedent in Legal Outcome Prediction,No.,N/A.,The paper does not mention language models at all. It focuses on legal outcome prediction and the asymmetry in performance between positive and negative outcomes.
Meta-Learning a Cross-lingual Manifold for Semantic Parsing,Yes.,3,"The paper focuses on using minimal annotated examples in new languages for few-shot cross-lingual semantic parsing, which can be a challenge for large language models due to their data-hungry nature and lack of transferability to new languages. The paper proposes a first-order meta-learning algorithm to train a semantic parser with maximal sample efficiency during cross-lingual transfer, which can be seen as a limitation of LLMs in handling new languages with minimal data. The paper also mentions that their approach trains a competitive model on Spider using English with generalization to Chinese, which implies the use of large language models for handling English and their limitations in transferring to a new language like Chinese."
OPAL: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue,Yes.,3,"The paper acknowledges the lack of large-scale task-oriented dialogue data with annotated structured dialogue state, which prevents the development of pretrained language models for task-oriented dialogue. This limitation is addressed through a pretraining method, but it still requires access to large-scale contextual text data, which may not contain the structured information necessary for task-oriented dialogue. Additionally, the pretraining tasks designed in this paper may not fully simulate the complexities of real-world task-oriented dialogue."
Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation,No.,N/A.,None. This paper is not about language models. It's about using the pronunciations of neighboring names to guess the pronunciation of a given target feature.
Locally Typical Sampling,Yes.,4,"The paper discusses the limitations of language models in producing coherent and fluent text, despite good performance under standard metrics. It suggests that high-probability texts can be dull or repetitive, and proposes a solution to address this issue by introducing the concept of locally typical sampling. This method aims to ensure that each word in the generated text has an information content close to the expected information content, reducing degenerate repetitions."
Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization,No.,N/A.,"The paper is about cross-lingual parsing, not language models. The title and abstract mention POS tagging and labeled dependency parsing, which are parsing tasks, not language models. The paper does not mention language models at all."
Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation,Yes.,,"The paper mentions the use of a ""new large-scale dataset for evaluation of multilingual and cross-lingual ToD systems,"" which implies the use of language models for dialogue evaluation."
Modeling Emotion Dynamics in Song Lyrics with State Space Models,No.,N/A.,The paper does not mention or use any language models. It focuses on modeling emotion dynamics in song lyrics using a State Space Model.
FeelingBlue: A Corpus for Understanding the Emotional Connotation of Color in Context,No.,N/A.,"The paper is about a multimodal dataset for exploring the emotional connotation of color as mediated by line, stroke, texture, shape, and language. It does not mention language models or their limitations."
An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,No.,N/A.,The paper does not mention large language models or their limitations. It focuses on data augmentation methods for NLP in the limited labeled data setting.
Coreference Resolution through a seq2seq Transition-Based System,Yes.,1,"""We implement the coreference system as a transition system and use multilingual T5 as an underlying language model."" ""We obtain state-of-the-art accuracy on the CoNLL-2012 datasets with 83.3 F1-score for English (a 2.3 higher F1-score than previous work) using only CoNLL data for training, 68.5 F1-score for Arabic (+4.1 higher than previous work), and 74.3 F1-score for Chinese (+5.3)."""
Transformers for Tabular Data Representation: A Survey of Models and Applications,Yes.,1,"Transformers for Tabular Data Representation: A Survey of Models and Applications. The paper mentions ""transformer-based language models (LMs)"" and discusses their extension to structured data. It also mentions challenges related to input representations and the lack of large labeled datasets for training, which are limitations of LLMs. However, it does not discuss other types of LLMs."
Generative Spoken Dialogue Language Modeling,Yes.,,"While the paper demonstrates the impressive performance of LLMs on various few-shot learning tasks, it does not discuss any specific limitations of these models beyond their reliance on large amounts of pre-training data. However, it is worth noting that the paper does not explore the limitations of LLMs in handling tasks that require extensive world knowledge or common sense reasoning, which can be challenging for these models."
Discontinuous Combinatory Constituency Parsing,No.,N/A.,"The paper does not mention language models, large or otherwise. It focuses on extending combinator-based constituency parsing methods to handle discontinuous dependencies."
Efficient Long-Text Understanding with Short-Text Models,Yes.,4,The paper discusses the limitations of LLMs in understanding long sequences due to their quadratic complexity. It also mentions the need for expensive pretraining for efficient transformer variants.
Hate Speech Classifiers Learn Normative Social Stereotypes,No.,N/A.,"The paper does not discuss language models or their limitations. Instead, it investigates the impact of social stereotypes on the annotation of hate speech in a large corpus and the performance of hate speech classifiers."
Domain-Specific Word Embeddings with Structure Prediction,Yes.,1,"The paper proposes a method for finding domain-specific word embeddings, which is a type of language model, and evaluates its performance on two datasets. However, the focus is mainly on word embeddings and the limitations of large language models in general are not discussed."
Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?,Yes.,4,"The study shows that larger Transformer-based language models have a poorer fit to human reading times compared to smaller models, despite having lower perplexity. The authors suggest that this may be due to the models' tendency to 'memorize' sequences during training, which causes their surprisal estimates to diverge from humanlike expectations."
On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method,Yes.,1,"""it remains unclear whether they are robust to shifts in setting (sometimes to more realistic ones), training data size (e.g., from large to small sets) and domain."""
Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing,No.,N/A.,"None. This paper is about semantic parsing, not language models."
Naturalistic Causal Probing for Morpho-Syntax,Yes.,,"The paper focuses on probing pre-trained models, which are a type of language model."
Tracking Brand-Associated Polarity-Bearing Topics in User Reviews,Yes.,2,The paper mentions the use
Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing,No.,N/A.,The paper is about human dubbing practices and does not mention language models at all.
Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval,Yes.,3,"The paper highlights the limitations of pre-trained language models, specifically BERT, for dense passage retrieval tasks, stating that they are not ""structurally ready"" for this task. The authors suggest that previous solutions to address this issue involve computationally expensive techniques, indicating a limitation of existing methods for improving LLMs for dense passage retrieval."
InSCIt: Information-Seeking Conversations with Mixed-Initiative Interactions,No.,N/A.,The paper does not mention or focus on language models. It discusses information-seeking conversations and the performance of conversational knowledge identification and open-domain question answering systems.
Sub-Character Tokenization for Chinese Pretrained Language Models,Yes.,3,"The paper discusses the limitations of character-level tokenization for Chinese language models and proposes a solution by tokenizing at the sub-character level. It mentions that this approach can improve computational efficiency and robustness to homophone typos. However, it does not explicitly mention any limitations of language models themselves, such as their inability to understand context or lack of common sense. Instead, it focuses on the limitations of character-level tokenization and proposes a solution."
Erasure of Unaligned Attributes from Neural Representations,Yes.,3,"The paper discusses the limitations of the approach when there is a strong entanglement between the main task and the information to be erased, which is a common limitation of language models when dealing with sensitive or protected information. The paper does not directly discuss the limitations of language models per se, but the context implies that the limitations arise from the use of language models in the proposed approach."
Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery,Yes.,5,"The paper discusses the limitations of LLMs in generating irrelevant and generic responses due to spurious correlations. It also mentions that these models suffer from data sparsity, which can make it difficult to train effective models."
The Parallelism Tradeoff: Limitations of Log-Precision Transformers,Yes.,5,"The paper discusses the limitations of transformer neural networks (a type of large language model) in accurately solving linear equalities or checking membership in an arbitrary context-free grammar with empty productions due to their logarithmic arithmetic precision. It also suggests that any model architecture as parallelizable as the transformer will have similar limitations, potentially impacting the scalability paradigm."
Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection,Yes.,5,"The paper identifies and studies the phenomenon of hallucinations in neural machine translation models, which can generate outputs unrelated to the source text. The limitations of LLMs are highlighted in the context of this phenomenon, as the models are shown to produce incorrect and unreliable outputs, potentially causing harm."
Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences,No.,N/A,None. This paper is about generating stories based on image sequences and does not mention language models or their limitations.
Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing,No.,N/A.,"The paper focuses on sequence-to-sequence models and their application to various text generation tasks, but it does not mention any limitations of large language models or any specific discussion on their limitations."
Questions Are All You Need to Train a Dense Passage Retriever,Yes.,3,"The paper uses a pre-trained language model for the retrieval task. However, it also mentions that the model's performance can be improved by fine-tuning it on the specific task, indicating some limitations in its ability to handle the task without additional training."
Transparency Helps Reveal When Language Models Learn Meaning,Yes.,5,The paper shows that language models struggle to learn meaning in context-dependent languages and fail to accurately represent semantics for referential opacity in natural language.
Visual Spatial Reasoning,Yes.,5,"The paper states that ""state-of-the-art models only achieve around 70%"" for spatial reasoning tasks, indicating a significant gap between human and model performance. Additionally, it mentions that ""the tested models are in general incapable of recognising relations concerning the orientations of objects,"" suggesting a limitation specifically for LLMs."
How Much Do Language Models Copy From Their Training Data? Evaluating Linguistic Novelty in Text Generation Using RAVEN,Yes.,5,"The paper shows that even the most advanced LLMs can generate text that is substantially copied from their training data, sometimes even duplicating passages over 1,000 words long. The authors also find that while models can generate text with large-scale structure that is as novel or more novel than human-generated text, they still sometimes copy substantially for local structure. This highlights a major limitation of LLMs: their tendency to memorize and reproduce training data rather than generating truly novel text based on abstract linguistic knowledge."
FRMT: A Benchmark for Few-Shot Region-Aware Machine Translation,No.,N/A.,"None in the abstract. The paper is about a new dataset and evaluation benchmark for few-shot region-aware machine translation, and does not mention or involve language models in any way."
OpenFact: Factuality Enhanced Open Knowledge Extraction,No.,N/A.,None in abstract. The paper focuses on extracting knowledge triplets and enhancing their groundedness and expressiveness. It does not mention language models or their limitations.
On Graph-based Reentrancy-free Semantic Parsing,No.,N/A.,None.
Supervised Gradual Machine Learning for Aspect-Term Sentiment Analysis,No.,N/A.,The paper is about aspect-term sentiment analysis using supervised gradual machine learning and does not mention language models or their limitations.
Chinese Idiom Paraphrasing,Yes.,1,None.
Evaluating Transformer Models and Human Behaviors on Chinese Character Naming,Yes.,3,"The paper evaluates the performance of transformer models in capturing human behavior in a Chinese character naming task, but it does not discuss any specific limitations of the models. However, it is mentioned that the models' performance is compared to human behavior, suggesting that there might be limitations in the models' ability to fully capture human behavior, as humans and models may not always agree on the answers. Additionally, the study only focuses on one specific task and one language, limiting the generalizability of the findings."
Rank-Aware Negative Training for Semi-Supervised Text Classification,No.,N/A.,None.
MACSum: Controllable Summarization with Mixed Attributes,No.,N/A.,"The paper is not about language models, it's about summarization and creating datasets for controlling mixed attributes in summarization."
MENLI: Robust Evaluation Metrics from Natural Language Inference,Yes.,5,"The paper discusses the vulnerability of BERT-based evaluation metrics for text generation to adversarial attacks, which are a significant limitation of LLMs. The authors argue that this vulnerability stems from the fact that these metrics model semantic similarity, and propose alternative evaluation metrics based on Natural Language Inference (NLI) to address this limitation."
Efficient Methods for Natural Language Processing: A Survey,No.,N/A.,"The paper focuses on efficient methods for NLP, not on large language models specifically. It mentions large-scale models in the context of resource consumption but does not discuss their limitations."
Abstractive Meeting Summarization: A Survey,No.,0,"The paper does not mention or discuss limitations of language models specifically. It talks about the challenges of abstractive meeting summarization, but these challenges are not inherent to language models."
Expectations over Unspoken Alternatives Predict Pragmatic Inferences,No.,N/A.,"The paper uses neural language models to approximate human predictive distributions, but it does not discuss limitations of language models. Instead, it uses these models to explain human behavior and make predictions about human language use."
Reasoning over Public and Private Data in Retrieval-Based Systems,No.,N/A.,The paper does not mention language models or their limitations. It discusses the challenge of retrieving information from private and public datasets for question answering and fact-checking tasks.
Multilingual Coreference Resolution in Multiparty Dialogue,Yes.,5,"The paper highlights the limitations of pretrained language models in handling low-resource languages, which are a significant challenge for these models due to the lack of large training datasets in these languages. The paper proposes a simple data augmentation method as a potential solution, but this method may not be effective for all low-resource languages, and it may also introduce noise or errors into the training data. Additionally, the paper notes that the performance of"
Directed Acyclic Transformer Pre-training for High-quality Non-autoregressive Text Generation,Yes.,3,"The paper focuses on pre-training for non-autoregressive text generation models, which are a type of language model. It mentions the limitations of existing pre-trained NAR models in comparison to pre-trained autoregressive models. The limitations include poorer performance in a wider range of text generation tasks. However, the paper does not explicitly mention any specific limitations of large language models in general."
Time-and-Space-Efficient Weighted Deduction,No.,N/A.,None. This paper does not discuss language models or their limitations. It's about deduction systems and their efficient implementation for weighted deduction.
Conditional Generation with a Question-Answering Blueprint,Yes.,4,"The paper discusses the limitations of neural seq-to-seq models, specifically their inability to convey relevant and faithful information and tendency to produce hallucinations. It proposes the use of planning as a solution, specifically in the form of a question-answering blueprint, to make generation more grounded and factual. The paper also mentions the need for tighter control of the generation output."
Collective Human Opinions in Semantic Textual Similarity,No.,N/A.,None in the abstract. The paper discusses the limitations of current STS models but does not mention any limitations related to language models.
Design Choices for Crowdsourcing Implicit Discourse Relations: Revealing the Biases Introduced by Task Design,Yes.,5,"The paper states that ""Our results demonstrate the potential of pre-training deep bidirectional transformers on multilingual data for achieving strong multilingual transfer learning performance,"" but it does not mention any specific limitations of LLMs. However, it is well-known that multilingual models can have limitations such as lack of coverage for low-resource languages, inconsistencies in data quality across languages, and challenges in handling idiosyncrasies and cultural nuances. These limitations are not directly addressed in the paper but are important considerations for the use of multilingual LLMs."
Communication Drives the Emergence of Language Universals in Neural Agents: Evidence from the Word-order/Case-marking Trade-off,No.,N/A.,"None. This paper is about neural agent-based simulations of language emergence and change, not about language models."
A Cross-Linguistic Pressure for Uniform Information Density in Word Order,No.,N/A.,N/A.
Cross-functional Analysis of Generalization in Behavioral Learning,Yes.,3,"The paper mentions NLP tasks, which implies the use of language models. It also discusses the risk of overfitting and the importance of evaluating models on unseen functionalities, which are limitations of LLMs."
Exploring Contrast Consistency of Open-Domain Question Answering Systems on Minimally Edited Questions,Yes.,1,"""Despite fitting the training set well and performing competitively on standard test sets, the widely used dense passage retriever (DPR) performs poorly on our contrast sets."""
Compositional Zero-Shot Domain Transfer with Text-to-Text Models,Yes.,3,"The paper uses masked language modeling for learning domain knowledge in unlabelled in-domain free text. This can be seen as a limitation of LLMs because it relies on the assumption that the masked language model can effectively learn domain-specific knowledge from the masked tokens, which may not always be the case. The paper also mentions the need for self-finetuning to improve transferability, which can be seen as a limitation because it requires access to labeled data in the target domain, which may not always be available. Finally, the paper mentions the need for natural language understanding for label prediction, which can also be seen as a limitation because it assumes that the LLM has sufficient understanding of the language to accurately predict labels, which may not always be the case."
MIRACL: A Multilingual Retrieval Dataset Covering 18 Diverse Languages,No.,N/A.,None.
DMDD: A Large-Scale Dataset for Dataset Mentions Detection,No.,N/A.,None.
T3L: Translate-and-Test Transfer Learning for Cross-Lingual Text Classification,Yes.,3,The paper mentions that the performance of LMs varies significantly across languages and classification tasks.
"Introduction to Mathematical Language Processing: Informal Proofs, Word Problems, and Supporting Tasks",No.,N/A.,"The paper does not mention large language models or their limitations. It is about mathematical language processing methods, not language models."
Evaluating a Century of Progress on the Cognitive Science of Adjective Ordering,No.,N/A.,None.
Improving Multitask Retrieval by Promoting Task Specialization,Yes.,2,"The paper mentions the use of a pretrained model, which is a type of language model. It also mentions the need for compatible prompting, which is a common limitation of LLMs. The paper does not extensively discuss limitations, but it does acknowledge that naive multitasking without prompting or adaptive learning can result in less task-specialized parameters."
Calibrated Interpretation: Confidence Estimation in Semantic Parsing,No.,N/A.,The paper is about semantic parsing and does not mention language models or their limitations.
Intent-calibrated Self-training for Answer Selection in Open-domain Dialogues,Yes.,1,"The paper mentions the success of answer selection models hinging on large amounts of labeled data, but it does not discuss any limitations of language models directly. It does, however, propose a method for improving the quality of pseudo answer labels using a self-training paradigm, which relies on the ability of language models to accurately predict intent labels. This could be seen as a limitation of language models if their ability to accurately predict intent labels is not high enough, but the paper does not discuss this specifically."
Benchmarking the Generation of Fact Checking Explanations,Yes.,1,"""We focus on summarization approaches over unstructured knowledge (i.e., news articles) and we experiment with several extractive and abstractive strategies."" ""Results show that in justification production summarization benefits from the claim information."""
T 2 -NER: A Two-Stage Span-Based Framework for Unified Named Entity Recognition with Templates,No.,N/A.,This paper is about named entity recognition and does not mention language models at all.
PASTA: A Dataset for Modeling PArticipant STAtes in Narratives,Yes.,5,"The paper states that ""today’s LLMs can reason about states to some degree, but there is large room for improvement, especially in problems requiring access and ability to reason with diverse types of knowledge."""
U-CORE: A Unified Deep Cluster-wise Contrastive Framework for Open Relation Extraction,No.,N/A.,The paper does not mention language models. It focuses on Open Relation Extraction and proposes a unified framework for Zero-shot and Unsupervised ORE using techniques from Contrastive Learning and Clustering.
In-Context Retrieval-Augmented Language Models,Yes.,3,"The paper mentions the problem of factually inaccurate text generation as a limitation of LMs, and shows that In-Context RALM can mitigate this problem. Additionally, the paper notes that existing RALM approaches complicate deployment, which could be seen as a limitation of the more complex LLMs."
Learning to Paraphrase Sentences to Different Complexity Levels,Yes.,3,"""Finally, we establish how a handful of Large Language Models perform on these tasks under a zero-shot setting."" This suggests that the limitations of LLMs are discussed in the context of their performance on specific tasks."
Direct Speech Translation for Automatic Subtitling,No.,N/A.,"The paper does not mention large language models or their limitations. It discusses the task of automatic subtitling and proposes a new model for it, but it does not involve language modeling in any way."
How Abstract Is Linguistic Generalization in Large Language Models? Experiments with Argument Structure,Yes.,5,"The paper shows that LLMs fail to generalize abstract relationships between contexts that were not observed during pre-training, despite their success in generalizing relationships that were seen. This is a significant limitation as it highlights the need for more abstract and diverse pre-training data to improve the generalization capabilities of LLMs."
