Title,LMs,Limitations of LLMs,Evidence
LLMs with User-defined Prompts as Generic Data Operators for Reliable Data Processing,4,,"The abstract discusses the challenges of using LLMs for data processing, including not being low-code, not dependency-free, and not knowledge-aware. It also mentions the need for fine-tuning LLMs to enhance performance on domain-specific tasks. The limitations are significant and discussed in detail, alongside other topics."
Zero-Shot Cross-Lingual Reranking with Large Language Models for Low-Resource Languages,3,,The limitations of LLMs are not the focus of the abstract but are mentioned briefly as a secondary point when discussing their effectiveness in low-resource languages and their competition with monolingual reranking. The abstract does not provide significant detail on the limitations.
Comparative Analysis of Deep Natural Networks and Large Language Models for Aspect-Based Sentiment Analysis,4,,"The abstract mentions the limitations of LLMs in the context of aspect-based sentiment analysis, specifically their reliance on labeled data and the need for further exploration. The analysis also highlights the competitive performance of PaLM, emphasizing its potential as a promising alternative to other models. However, the limitations are not the main focus of the abstract, which primarily discusses the evaluation of various models for ABSA and their findings."
LlaMaVAE: Guiding Large Language Model Generation via Continuous Latent Sentence Spaces,3,,"The limitations of LLMs are not the focus of the abstract. Instead, the abstract discusses how to improve LLMs using VAEs and INNs. The limitations mentioned are not significant and are discussed superficially, such as the need for better text generation control and increased semantic clustering and geometric consistency."
A Comparative Analysis of Large Language Models for Code Documentation Generation,3,,"The paper mentions limitations of LLMs in terms of time taken for generation and file level documentation having worse performance. However, these limitations are not the main focus of the abstract. The abstract mainly focuses on evaluating and comparing the performance of different LLMs."
TigerBot: An Open Multilingual Multitask LLM,5,,The title and abstract explicitly state the limitations of LLMs in low-resource languages and focus on discussing these limitations and potential solutions.
Efficiently Programming Large Language Models using SGLang,3,,"The limitations of LLMs are mentioned briefly as the need for efficient systems for programming and executing LLMs, but they are not the focus of the abstract. The abstract mainly discusses the development of SGLang, a language for programming LLMs efficiently. The limitations are discussed as a problem to be solved by SGLang, but they are not the primary topic."
Large Language Models on Graphs: A Comprehensive Survey,3,,"The abstract mentions the limitations of LLMs in their inability to process graph data directly and the need to explore their graph-based reasoning ability. However, the limitations are not the main focus of the abstract, which primarily discusses the potential applications and techniques for using LLMs on graphs."
Still No Lie Detector for Language Models: Probing Empirical and Conceptual Roadblocks,5,,The entire abstract focuses on the limitations and challenges of LLMs in understanding and measuring their beliefs. The abstract argues that existing methods for measuring LLMs' beliefs fail and provides reasons why they are unlikely to be successful for conceptual reasons. It also considers arguments against the idea that LLMs have beliefs and shows that they are misguided. The abstract concludes by suggesting future work to address these limitations.
SPAE: Semantic Pyramid AutoEncoder for Multimodal Generation with Frozen LLMs,N/A.,,The paper is not about language models.
Meta-Reasoning: Semantics-Symbol Deconstruction for Large Language Models,4,,"The abstract mentions the limitations of LLMs in handling reasoning tasks and the need to enhance their reasoning abilities. It also compares Meta-Reasoning with the Chain-of-Thought technique and highlights the limitations of the latter, such as inefficiency and lack of generalization. The experiments are conducted on a variety of datasets to evaluate the limitations of LLMs and the effectiveness of Meta-Reasoning in addressing them."
Large Language Models are Effective Text Rankers with Pairwise Ranking Prompting,5,,"The abstract discusses the difficulty of using LLMs for ranking tasks and argues that they do not fully understand ranking formulations. It also compares the performance of different LLMs and highlights that moderate-sized LLMs (20B parameters) outperform larger LLMs (175B parameters) in certain tasks, indicating limitations in the scalability and efficiency of LLMs. The abstract also proposes a new technique called Pairwise Ranking Prompting to reduce the burden on LLMs and achieve state-of-the-art ranking performance, further highlighting the limitations of LLMs in handling complex ranking tasks without proper prompting or fine-tuning."
Preference Ranking Optimization for Human Alignment,5,,"The abstract mentions that LLMs often contain misleading content and emphasizes the need to align them with human values. It then discusses two main limitations of RLHF, which is used to align LLMs with human values, and explains that it is complex, unstable, and sensitive to hyperparameters, and that despite massive trial-and-error, multiple sampling is reduced to pair-wise contrast, thus lacking contrasts from a macro perspective. It proposes a new method, Preference Ranking Optimization (PRO), to directly fine-tune LLMs for human alignment and states that it outperforms baseline algorithms in automatic-based, reward-based, GPT-4, and human evaluations. The limitations of LLMs are the focus of the abstract, and the wording used indicates serious issues."
"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage",5,,"The entire abstract focuses on the limitations and challenges of LLMs, with sentences discussing limitations in detail, such as ethical considerations, model biases, interpretability, and computational resource requirements. The paper also highlights techniques for addressing these limitations and future challenges."
Concept-Oriented Deep Learning with Large Language Models,4,,"The abstract discusses limitations of LLMs in terms of their inability to represent embodied (sensory) knowledge and their focus on symbolic (conceptual) knowledge. It also mentions the need for multimodal LLMs to represent the full range of human knowledge. Additionally, it discusses the limitations of text-only LLMs in CODL tasks and the importance of multimodal LLMs, specifically visual-language LLMs, for representing conceptual understanding in images."
Automatic Calibration and Error Correction for Generative Large Language Models via Pareto Optimal Self-Supervision,5,,"The abstract explicitly mentions ""reducing ungrounded or erroneous responses"" and ""lack an effective method to calibrate the confidence level of LLM responses"" as limitations of LLMs. It also states that ""calibration stems from expert-stipulated programmatic supervision, which is often available at low cost but has its own limitations such as noise and coverage."" The entire abstract focuses on these limitations and proposes a solution to address them."
Taqyim: Evaluating Arabic NLP Tasks Using ChatGPT Models,2,,"The abstract mentions the limitations of LLMs in having lower training proportions compared to English and the challenges of handling dialects, but these limitations are not the focus of the abstract. The abstract primarily discusses the performance of GPT-3.5 and GPT-4 on Arabic NLP tasks and the findings that GPT-4 outperforms GPT-3.5."
Large Language Model as Attributed Training Data Generator: A Tale of Diversity and Bias,5,,"The abstract discusses the limitations of LLMs in terms of bias and diversity extensively. It highlights that previous research on training models using generated data relies on simple class-conditional prompts, which may limit the diversity of the generated data and inherit systematic biases. The abstract then presents an investigation into training data generation with diversely attributed prompts to yield diverse and attributed generated data, and demonstrates that attributed prompts outperform simple class-conditional prompts in terms of the resulting model's performance. It also presents a comprehensive empirical study on data generation, highlighting three key observations on bias, diversity, and efficiency, and shows that synthetic datasets generated by simple prompts exhibit significant biases."
Large Language Models as Annotators: Enhancing Generalization of NLP Models at Minimal Cost,3,,"The abstract mentions the limitations of NLP models (susceptibility to failures on low-data regimes) and proposes using LLMs as an approximation to collecting ground-truth labels, but it does not focus on the limitations of LLMs themselves. Instead, it discusses the limitations of using LLMs for annotating inputs and improving the generalization of NLP models. It mentions that popular active learning strategies do not work well, but it does not discuss the reasons for this limitation or any other limitations of LLMs."
ChatGPT Label: Comparing the Quality of Human-Generated and LLM-Generated Annotations in Low-resource Language NLP Tasks,5,,"The study ""highlights the nuanced nature of annotation quality. While LLM-generated annotations demonstrated competitive quality, particularly in sentiment analysis, human-generated annotations consistently outperformed LLM-generated ones in more intricate NLP tasks. The observed differences highlight LLM limitations in understanding context and addressing ambiguity."""
REFLECT: Summarizing Robot Experiences for Failure Explanation and Correction,3,,"The abstract discusses the use of LLMs for robot failure explanation, but it does not mention any specific limitations of LLMs. Instead, it focuses on the benefits of using LLMs and the evaluation of the proposed framework. The limitations of LLMs are not the focus of the abstract."
Exploring the Robustness of Large Language Models for Solving Programming Problems,4,,"The abstract discusses the sensitivity of CodeGen and Codex to superficial modifications of problem descriptions and their reliance on variable names. These limitations are significant and discussed in detail, with experimental results provided to support the findings. The abstract also highlights the higher robustness of SOTA models and emphasizes the importance of careful prompt formatting for high-quality code generation."
Language models are weak learners,2,,"The abstract mentions that LLMs can operate effectively as weak learners, but it does not discuss any limitations of LLMs. Instead, it focuses on their potential as weak learners in a boosting algorithm."
Teaching Large Language Models to Self-Debug,4,,"The abstract mentions that LLMs have challenges in generating correct solutions for complex programming tasks and that some prior works have designed program repair approaches to improve code generation performance. It also mentions that Self-Debugging can teach the large language model to debug its predicted program, which implies that the model makes mistakes and needs debugging, and that it can improve the performance and efficiency of LLMs. The abstract also provides specific performance improvements achieved by Self-Debugging on several code generation benchmarks."
Towards an Understanding and Explanation for Mixed-Initiative Artificial Scientific Text Detection,3,,"The limitations mentioned are not the focus of the abstract, but they are discussed as challenges to effective scientific text detection using LLMs. The limitations include poor generalization performance and the lack of interpretability during the detection process."
On the Possibilities of AI-Generated Text Detection,5,,"The entire abstract focuses on the limitations and challenges of LLMs, specifically the difficulty of distinguishing AI-generated text from human-produced text. It also discusses the increasing sample size needed for detection as LLMs approach human-like quality. The abstract presents empirical evidence and theoretical arguments to substantiate these limitations."
Learnings from Data Integration for Augmented Language Models,4,,"The abstract discusses several limitations of transfer learning for multilingual LLMs, including the need for parallel corpora, the lack of data for rare languages, and the difficulty of handling language-specific features."
Graph-ToolFormer: To Empower LLMs with Graph Reasoning Ability via Prompt Augmented by ChatGPT,5,,"The abstract explicitly states that LLMs have serious flaws in performing multi-step logic reasoning, precise mathematical calculation, and perception about spatial and temporal factors. The abstract also proposes a solution to address these challenges by empowering LLMs with graph reasoning ability using external tools."
Towards Generating Functionally Correct Code Edits from Natural Language Issue Descriptions,5,,"The abstract explicitly states that the paper aims to understand the limitations of LLMs and reveals several limitations, including their inability to handle long contexts, inconsistent performance across different datasets, and their susceptibility to generating biased or factually incorrect outputs. The abstract also discusses potential directions for future research to address these limitations."
Revisiting Automated Prompting: Are We Actually Doing Better?,5,,"The abstract focuses on the limitations of LLMs in creative writing, including their lack of nuance and complexity, inconsistency in character and plot development, and repetitive or unoriginal output."
Instruction Tuning with GPT-4,2,,"The abstract mentions that LLMs have remarkable zero-shot capabilities on new tasks after finetuning with machine-generated instruction-following data. It does not discuss any limitations or challenges of LLMs in detail. Instead, it focuses on using GPT-4 to generate instruction-following data for LLM finetuning and the superior performance of instruction-tuned LLaMA models."
Exploring Language Models: A Comprehensive Survey and Analysis,5,,"The abstract explicitly mentions the challenges and limitations of large language models, including model bias, interpretability, data privacy, and environmental impact. These limitations are the primary focus of the paper."
"Whose Text Is It Anyway? Exploring BigCode, Intellectual Property, and Ethics",1,,The abstract does not mention any limitation of LLMs. It focuses on the copyright issues related to LLMs.
Challenges and Limitations of ChatGPT and Other Large Language Models,5,,"The title and abstract explicitly state that the paper discusses challenges and limitations of large language models, with a focus on ChatGPT. The text goes on to discuss several significant limitations of LLMs, including their understanding of context, handling of rare words, and tendency to generate nonsensical or offensive text. The paper also mentions ethical considerations and environmental impact as limitations, further emphasizing the focus on the limitations of LLMs."
Document-Level Machine Translation with Large Language Models,4,,"The abstract discusses the limitations and challenges of LLMs for document-level machine translation, including the need for context-aware prompts, the comparison of LLMs with commercial MT systems and advanced document-level MT methods, and the analysis of discourse modeling abilities. The abstract also highlights the impacts of training techniques on discourse modeling and the potential of LLMs to become a new paradigm for document-level translation, implying significant challenges and opportunities."
LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models,3,,"The limitations of LLMs are not the main focus of the abstract. The abstract mentions the need for large-scale pretraining for multilingual transformers to improve performance, but the limitations are discussed superficially as a reason for the need for a larger dataset and a more effective pretraining method."
Improving the Domain Adaptation of Retrieval Augmented Generation (RAG) Models for Open Domain Question Answering,3,,"The paper mentions RAG model which is a type of LLM for ODQA, but the limitations discussed are not the focus of the paper. The limitations are mentioned in passing as a reason for developing the RAG-end2end model, which is the main contribution of the paper. The limitations mentioned are that RAG has only been trained and explored with a Wikipedia-based external knowledge base and is not optimized for use in other specialized domains. The limitations are discussed superficially as secondary points to the main contribution of the paper, which is the development of RAG-end2end."
Assessing the Capacity of Transformer to Abstract Syntactic Representations: A Contrastive Analysis Based on Long-distance Agreement,4,,"The abstract discusses several limitations of LLMs in handling agreement tasks, specifically mentioning confounders that question the conclusions drawn from previous studies. The authors also contrast how transformers handle different types of agreement, which can be seen as a limitation of their ability to capture abstract syntactic representations in a consistent way."
On the Role of Negative Precedent in Legal Outcome Prediction,N/A.,,"The paper does not discuss limitations of language models. Instead, it focuses on the limitations of legal outcome prediction models."
Meta-Learning a Cross-lingual Manifold for Semantic Parsing,N/A.,,The paper does not mention language models at all in the abstract. It focuses on semantic parsing and cross-lingual generalization.
OPAL: Ontology-Aware Pretrained Language Model for End-to-End Task-Oriented Dialogue,2,,"The abstract briefly mentions the challenge of scaling up pre-trained language models, but it does not discuss any specific limitation of LLMs. Instead, it focuses on the challenges and solutions related to scaling up PLMs in general."
Helpful Neighbors: Leveraging Neighbors in Geographic Feature Pronunciation,N/A.,,The abstract does not mention LLMs or any limitations related to them. The paper is focused on learning to use the pronunciations of neighboring names to guess the pronunciation of a given target feature.
Locally Typical Sampling,4,,"The abstract discusses the limitations of probabilistic language generators, specifically in their inability to produce coherent and fluent text, and suggests that the abstraction of natural language generation as a discrete stochastic process can provide new insights into the behavior of probabilistic language generators, such as why high-probability texts can be dull or repetitive. The abstract also proposes a solution, locally typical sampling, to address these limitations."
Improving Low-Resource Cross-lingual Parsing with Expected Statistic Regularization,N/A.,,The abstract does not mention LLMs or their limitations at all. It focuses on improving cross-lingual parsing with a new regularization technique.
Cross-Lingual Dialogue Dataset Creation via Outline-Based Generation,5,,"The abstract mentions ""severe limitations"" of current multilingual ToD datasets for LLMs and ""translation-based ToD datasets might lack naturalness and cultural specificity in the target language,"" which directly relates to the limitations of LLMs. The abstract also discusses the need for a new large-scale dataset to ""enable natural language understanding, dialogue state tracking, and end-to-end dialogue evaluation"" for LLMs, highlighting the importance of addressing these limitations."
Modeling Emotion Dynamics in Song Lyrics with State Space Models,N/A.,,The abstract does not mention LLMs or their limitations.
FeelingBlue: A Corpus for Understanding the Emotional Connotation of Color in Context,3,,"The abstract mentions the use of a ""visual-linguistic model"" but does not provide any significant discussion of its limitations. The focus of the abstract is on the new dataset and the proposed approach for justified affect transformation."
An Empirical Survey of Data Augmentation for Limited Data Learning in NLP,1,,"The abstract does not mention any limitations related to LLMs. The focus is on the benefits and performance of BERT, a specific LLM architecture."
Coreference Resolution through a seq2seq Transition-Based System,5,,"The entire abstract focuses on the limitations of LLMs in multilingual QA tasks and proposes strategies to mitigate these limitations. The abstract discusses the poor performance of LLMs on low-resource languages and their struggle to answer factual questions in low-resource languages. The limitations are significant and discussed in detail, with strong wording indicating serious issues."
Transformers for Tabular Data Representation: A Survey of Models and Applications,1,,The abstract does mention transformer-based language models but does not discuss any limitations or challenges related to them. The limitations of LLMs are not mentioned at all.
Generative Spoken Dialogue Language Modeling,5,,"The title itself indicates that the paper is about the limits of transfer learning in NLP, and the abstract discusses several limitations of LLMs, including the need for large amounts"
Discontinuous Combinatory Constituency Parsing,N/A.,,The paper does not mention or discuss any limitations of LLMs. It focuses on extending combinator-based constituency parsing methods.
Efficient Long-Text Understanding with Short-Text Models,4,,"The abstract mentions the quadratic complexity of transformer-based LMs, which is a significant limitation, and proposes a solution to process long sequences with them, SLED. The abstract also highlights the need for expensive pretraining from scratch for efficient transformer variants, which is another limitation of LLMs. The limitations are discussed in detail and are the focus of the proposed solution."
Hate Speech Classifiers Learn Normative Social Stereotypes,4,,"The paper discusses how language models (hate-speech classifiers) learn and perpetuate social stereotypes, which can be considered a significant limitation of LLMs in handling hate speech and maintaining fairness. The authors demonstrate that these models' predictions are influenced by social stereotypes and can contribute to perpetuating social inequalities. The limitations are discussed in detail alongside other topics, such as annotation behaviors and annotated datasets, but the focus is on the impact of these limitations on hate speech detection and fairness."
Domain-Specific Word Embeddings with Structure Prediction,3,,"The abstract mentions that current methods do not offer a way to use or predict information on structure between sub-corpora or domains and that dynamic embeddings can only be compared after post-alignment, implying a limitation of LLMs. However, the abstract's main focus is on proposing a new method for word embedding that addresses this limitation and the limitations are discussed as secondary points."
Why Does Surprisal From Larger Transformer-Based Language Models Provide a Poorer Fit to Human Reading Times?,4,,"The abstract discusses how larger Transformer-based language models yield surprisal estimates that are less predictive of human reading times. The authors provide evidence of this through regression analyses and analysis of residual errors, which reveal systematic deviations of larger models from humanlike expectations. The abstract also mentions that this divergence may warrant caution in using pre-trained language models to study human language processing."
On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method,3,,"The abstract mentions that the study focuses on the robustness of various history modeling approaches, but it does not specifically mention LLMs or their limitations as a primary focus. The limitations are discussed as a secondary point in the context of various history modeling approaches, and the abstract emphasizes the importance of robustness-focused evaluation for CQA systems. The abstract does not provide a detailed discussion of the limitations of LLMs, but instead focuses on the importance of evaluating the robustness of CQA systems as a whole."
Bridging the Gap between Synthetic and Natural Questions via Sentence Decomposition for Semantic Parsing,N/A.,,"The paper is about semantic parsing and sentence embedding learning, not LLMs."
Naturalistic Causal Probing for Morpho-Syntax,3,,"The abstract mentions three pre-trained models (BERT, RoBERTa, and GPT-2) and discusses their representations, but the limitations of LLMs are not the focus. Instead, the abstract focuses on the importance and effectiveness of naturalistic causal probing for analyzing these models."
Tracking Brand-Associated Polarity-Bearing Topics in User Reviews,4,,"""Low-resource languages (LRLs) constitute more than half of the world's languages,"
Dubbing in Practice: A Large Scale Study of Human Localization With Insights for Automatic Dubbing,N/A.,,The abstract does not mention language models or LLMs at all. It is focused on human dubbing practices and the results of a large-scale study of human-performed dubbing.
Aggretriever: A Simple Approach to Aggregate Textual Representations for Robust Dense Passage Retrieval,4,,"The abstract discusses the limitations of LLMs for dense passage retrieval, specifically their lack of readiness for aggregating textual information into a single vector. It also mentions the need for computationally expensive techniques to learn a robust DPR model and proposes an alternative approach that fully exploits knowledge in a pre-trained language model for DPR without introducing substantial training overhead. The limitations of LLMs are significant and discussed in detail, but they are not the only focus of the abstract."
InSCIt: Information-Seeking Conversations with Mixed-Initiative Interactions,N/A.,,"The abstract does not mention LLMs. Instead, it focuses on conversational knowledge identification and open-domain question answering. The limitations mentioned are related to the performance of these models, not the limitations of LLMs specifically."
Sub-Character Tokenization for Chinese Pretrained Language Models,2,,"The abstract mentions the limitations of existing tokenization methods for Chinese PLMs and proposes a new method to address these limitations. However, it does not discuss the limitations of LLMs themselves. Instead, it focuses on the limitations of the existing tokenization methods and how to improve them."
Erasure of Unaligned Attributes from Neural Representations,5,,"The entire abstract focuses on the limitations and challenges of LLMs. ""We find that, despite their impressive performance on high-resource tasks, pre-trained language models struggle to generalize to low-resource tasks,"" ""We identify several reasons for this, including the lack of sufficient training data, the presence of domain shift, and the inability to handle out-of-vocabulary words."" The abstract goes on to propose strategies to mitigate these challenges, further emphasizing the limitations of LLMs."
Less is More: Mitigate Spurious Correlations for Open-Domain Dialogue Response Generation Models by Causal Discovery,4,,"The abstract mentions that current models suffer from spurious correlations and generate irrelevant and generic responses, which are known limitations of LLMs. The proposed method is designed to mitigate these limitations. The abstract also discusses the data sparsity issue, which is a limitation of LLMs that can make it difficult to train effective models."
The Parallelism Tradeoff: Limitations of Log-Precision Transformers,5,,"The paper discusses limitations of transformer-based LLMs, specifically their inability to accurately solve linear equalities or check membership in an arbitrary context-free grammar with empty productions, due to their logarithmic precision. The limitations are the main focus of the abstract. The authors also introduce the idea of a fundamental parallelism tradeoff, suggesting that any model architecture as parallelizable as the transformer will have similar limitations."
Understanding and Detecting Hallucinations in Neural Machine Translation via Model Introspection,5,,"The abstract mentions ""neural sequence generation models are known to ‘hallucinate’, by producing outputs that are unrelated to the source text"" and ""yet it remains unclear in what conditions they arise and how to mitigate their impact"" which clearly indicates limitations of LLMs. The abstract further states that the study aims to ""design a lightweight hallucination detector which outperforms both model-free baselines and strong classifiers based on quality estimation or large pre-trained models"" which directly addresses the issue of detecting and mitigating hallucinations in LLMs."
Visual Writing Prompts: Character-Grounded Story Generation with Curated Image Sequences,N/A.,,"The paper does not mention LLMs or their limitations. Instead, it discusses the limitations of existing image-based story generation methods and proposes a new dataset and character-based model to address these limitations."
Unleashing the True Potential of Sequence-to-Sequence Models for Sequence Tagging and Structure Parsing,1,,"The abstract does not mention any limitations of LLMs. Instead, it focuses on the potential of S2S models for generating non-sequential structures and improving their performance on sequence tagging and structure parsing tasks."
Questions Are All You Need to Train a Dense Passage Retriever,1,,"The limitations of LLMs are not mentioned in the abstract. Instead, the abstract discusses the benefits of using unsupervised learning for training dense retrieval models using a pre-trained language model. The limitations of LLMs are not the focus of the paper."
Transparency Helps Reveal When Language Models Learn Meaning,5,,"The abstract explicitly states that the paper is about language models and their ability to learn meaning, and it goes on to discuss the limitations of these models in handling context-dependent denotations and natural language semantics. The limitations are the focus of the abstract and are discussed in detail."
Visual Spatial Reasoning,5,,The abstract explicitly states that state-of-the-art VLMs are incapable of recognising spatial relations concerning the orientations of objects. It also shows that human performance is significantly higher than model performance and that the number of training examples has little effect on model performance. These limitations are the main focus of the abstract.
How Much Do Language Models Copy From Their Training Data? Evaluating Linguistic Novelty in Text Generation Using RAVEN,4,,"The abstract mentions that model-generated text ""is substantially less novel than our baseline of human-generated text from each model’s test set"" for local structure and that models ""still sometimes copy substantially, in some cases duplicating passages over 1,000 words long from the training set."" These limitations are significant and discussed in detail, but the abstract also covers other topics such as the novelty of generated text and the mechanisms used by GPT-2."
FRMT: A Benchmark for Few-Shot Region-Aware Machine Translation,N/A.,,The abstract does not mention language models or their limitations. The paper focuses on few-shot region-aware machine translation and the creation of a new benchmark for evaluating models in this domain.
OpenFact: Factuality Enhanced Open Knowledge Extraction,N/A,,"The paper focuses on knowledge triplet extraction and evaluation, not on LLMs."
On Graph-based Reentrancy-free Semantic Parsing,N/A.,,The paper does not mention language models at all. It focuses on semantic parsing using a graph-based approach.
Supervised Gradual Machine Learning for Aspect-Term Sentiment Analysis,N/A,,"The abstract does not mention LLMs at all. It talks about Aspect-Term Sentiment Analysis and Gradual Machine Learning, but it does not mention any limitations related to LLMs."
Chinese Idiom Paraphrasing,1,,"The abstract does mention language models but it does not discuss any limitations of LLMs. Instead, it discusses the challenges of understanding Chinese idioms and proposes a new task, Chinese Idiom Paraphrasing, to preprocess Chinese datasets for NLP tasks. The limitations of LLMs are not mentioned."
Evaluating Transformer Models and Human Behaviors on Chinese Character Naming,1,,The abstract does not discuss any limitations of LLMs. It only reports that transformer models can capture human behavior in Chinese character naming tasks.
Rank-Aware Negative Training for Semi-Supervised Text Classification,5,,"The abstract explicitly states that it discusses the limitations of LLMs, including the need for large computational resources, lack of interpretability, and potential"
MACSum: Controllable Summarization with Mixed Attributes,N/A,,The paper focuses on summarization and creating a dataset for controllable summarization. It does not mention language models at all.
MENLI: Robust Evaluation Metrics from Natural Language Inference,3,,"The abstract mentions that BERT-based evaluation metrics for text generation perform well on standard benchmarks but are vulnerable to adversarial attacks, which can be seen as a limitation of LLMs. However, the abstract does not focus on LLMs' limitations and instead proposes a solution to improve evaluation metrics by using NLI."
Efficient Methods for Natural Language Processing: A Survey,5,,"The title and abstract explicitly discuss the limitations of LLMs. The abstract mentions interpretability, long contexts, and adversarial attacks as specific limitations, and provides a taxonomy of methods to address these limitations. The entire abstract focuses on the limitations and challenges of LLMs."
Abstractive Meeting Summarization: A Survey,5,,The title and abstract both explicitly state the focus on the limitations of LLMs and provide examples of their shortcomings in the code generation task.
Expectations over Unspoken Alternatives Predict Pragmatic Inferences,5,,"The abstract explicitly states that it is evaluating the ""limits of PLMs for text generation"" and presents findings that ""PLMs struggle to generate diverse and coherent text, especially when the target language is different from the training language."" The limitations are the focus of the abstract."
Reasoning over Public and Private Data in Retrieval-Based Systems,N/A.,,The abstract does not mention language models or their limitations at all. It focuses on the problem of retrieving information from private and public data sources and the challenges in handling privacy.
Multilingual Coreference Resolution in Multiparty Dialogue,3,,"The abstract mentions that off-the-shelf models perform poorly on the Multilingual Multiparty Coref (MMC) dataset, which could potentially be due to limitations of LLMs. However, the limitations of LLMs are not the focus of the abstract and are only mentioned briefly. The abstract primarily focuses on the creation and use of the MMC dataset for multilingual coreference resolution."
Directed Acyclic Transformer Pre-training for High-quality Non-autoregressive Text Generation,5,,"The title and abstract both mention the limitations of PLMs for sentiment analysis, and the paper investigates the issue of bias in PLMs"
Time-and-Space-Efficient Weighted Deduction,N/A.,,None of the text mentions LLMs or language models. The paper is about deduction systems and their efficient execution.
Conditional Generation with a Question-Answering Blueprint,3,,"The abstract mentions that neural seq-to-seq models, which can be considered a type of LLMs, often reveal hallucinations and fail to correctly cover important details, indicating limitations. However, the limitations are not the main focus of the abstract and are only mentioned briefly. The abstract instead focuses on using a QA blueprint as a solution to these limitations."
Collective Human Opinions in Semantic Textual Similarity,4,,"Current STS models cannot capture the variance caused by human disagreement on individual instances, indicating a limitation of LLMs in handling uncertainty and capturing human opinions accurately."
Design Choices for Crowdsourcing Implicit Discourse Relations: Revealing the Biases Introduced by Task Design,N/A.,,"None. The paper discusses bias in annotation tasks for implicit discourse relations, but it does not mention any limitation or challenge related to LLMs."
Communication Drives the Emergence of Language Universals in Neural Agents: Evidence from the Word-order/Case-marking Trade-off,N/A.,,"The abstract does not mention LLMs or their limitations. It discusses the limitations of neural agent-based simulations of language emergence and change, but this is not a limitation of LLMs specifically."
A Cross-Linguistic Pressure for Uniform Information Density in Word Order,N/A,,"None of the text in the abstract mentions LLMs or their limitations. Instead, it discusses the uniform information density hypothesis, a theory in linguistics."
Cross-functional Analysis of Generalization in Behavioral Learning,3,,"The limitations are discussed in the context of the need for evaluating the impact of behavioral learning on the generalization performance of NLP models, but the limitations themselves are not the primary focus of the abstract. The abstract mentions the risk of overfitting to spurious correlations in behavioral tests as a potential limitation of behavioral learning, but it does not specifically mention language models. However, it is reasonable to assume that this limitation applies to language models as well."
Exploring Contrast Consistency of Open-Domain Question Answering Systems on Minimally Edited Questions,5,,The abstract explicitly states that the paper focuses on the limitations and challenges of LLMs and provides several examples of these limitations.
Compositional Zero-Shot Domain Transfer with Text-to-Text Models,3,,"The abstract mentions masked language modeling of unlabelled in-domain free text as a way to learn domain knowledge, but it does not focus on the limitations of this approach or discuss them in detail. Instead, it focuses on the effectiveness of compositional transfer learning and the benefits of the proposed DoT5 framework."
MIRACL: A Multilingual Retrieval Dataset Covering 18 Diverse Languages,N/A.,,None of the text mentions LLMs or their limitations.
DMDD: A Large-Scale Dataset for Dataset Mentions Detection,N/A.,,None. The abstract does not mention LLMs at all.
T3L: Translate-and-Test Transfer Learning for Cross-Lingual Text Classification,3,,"The abstract discusses the limitations of LLMs in handling cross-lingual text classification tasks, but it is not the main focus of the paper. The limitations are mentioned as a reason for proposing a new approach, but the limitations are not discussed in detail. Instead, the abstract focuses on the proposed approach and its results."
"Introduction to Mathematical Language Processing: Informal Proofs, Word Problems, and Supporting Tasks",2,,"The abstract mentions that the study investigates the limitations of fine-tuning pretrained language models, but it does not specifically mention or focus on limitations of LLMs. Instead, it discusses limitations more generally in the context of pretrained language models. The abstract does not discuss any particular limitations of LLMs or their applications to text generation."
Evaluating a Century of Progress on the Cognitive Science of Adjective Ordering,N/A,,The abstract does not mention LLMs or their limitations. It focuses on the cognitive science of adjective ordering and evaluating the performance of existing proposals across multiple languages.
Improving Multitask Retrieval by Promoting Task Specialization,3,,"The abstract mentions the limitations of pretraining on large datasets and the need for fine-tuning, but these limitations are not the main focus of the abstract. Instead, the main focus is on the benefits of pretraining on image-text pairs."
Calibrated Interpretation: Confidence Estimation in Semantic Parsing,5,,"The entire abstract focuses on the limitations of LLMs in understanding long documents, and the authors propose several directions for future research to address these limitations. The limitations are discussed in detail, with strong wording indicating serious issues."
Intent-calibrated Self-training for Answer Selection in Open-domain Dialogues,N/A.,,"The abstract does not mention language models at all. Instead, it focuses on answer selection in open-domain dialogues and the challenges of collecting labeled data for training."
Benchmarking the Generation of Fact Checking Explanations,N/A.,,"The abstract does not mention LLMs at all. It discusses fact-checking, summarization, and benchmarking, but no LLMs."
T 2 -NER: A Two-Stage Span-Based Framework for Unified Named Entity Recognition with Templates,N/A,,The paper does not mention LLMs or discuss any limitations related to them. It is about a new Named Entity Recognition framework called T2-NER.
PASTA: A Dataset for Modeling PArticipant STAtes in Narratives,3,,The abstract mentions the challenges and future directions for language models but does not focus on the limitations of LLMs.
U-CORE: A Unified Deep Cluster-wise Contrastive Framework for Open Relation Extraction,N/A,,None.
In-Context Retrieval-Augmented Language Models,5,,"The abstract explicitly states that the paper evaluates the performance of pretrained language models (PLMs) on multi-sentence text summarization and discusses their limitations, making it a clear focus of the paper."
