title,Mentions LLM Limitations
Data Governance in the Age of Large-Scale Data-Driven Language Technology,yes
Explain and Conquer: Personalised Text-based Reviews to Achieve Transparency,no
Mixed-effects transformers for hierarchical adaptation,no
Improving In-Context Few-Shot Learning via Self-Supervised Training,no
Efficient Fine-Tuning of BERT Models on the Edge,yes
Finding patterns in Knowledge Attribution for Transformers,no
Predicting Issue Types with seBERT,no
Contrastive Learning for Prompt-Based Few-Shot Language Learners,no
Embedding Hallucination for Few-Shot Language Fine-tuning,no
SemAttack: Natural Textual Attacks via Different Semantic Spaces,yes
OPT: Open Pre-trained Transformer Language Models,no
BERTops: Studying BERT Representations under a Topological Lens,no
CCLF: A Contrastive-Curiosity-Driven Learning Framework for Sample-Efficient Reinforcement Learning,no
Entity-aware Transformers for Entity Search,no
Seeding Diversity into AI Art,no
Improving Students' Academic Performance with AI and Semantic Technologies,yes
Teaching BERT to Wait: Balancing Accuracy and Latency for Streaming Disfluency Detection,no
Medical Coding with Biomedical Transformer Ensembles and Zero/Few-shot Learning,yes
Large-Scale Multi-Document Summarization with Information Extraction and Compression,no
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",yes
ELQA: A Corpus of Metalinguistic Questions and Answers about English,no
Detecting COVID-19 Conspiracy Theories with Transformers and TF-IDF,no
LayoutBERT: Masked Language Layout Model for Object Insertion,no
Engineering flexible machine learning systems by traversing functionally-invariant paths,no
HateCheckHIn: Evaluating Hindi Hate Speech Detection Models,no
Visualizing and Explaining Language Models,no
StorSeismic: A new paradigm in deep learning for seismic processing,no
Self-Programming Artificial Intelligence Using Code-Generating Language Models,no
To Know by the Company Words Keep and What Else Lies in the Vicinity,no
Training Naturalized Semantic Parsers with Very Little Data,no
Flamingo: a Visual Language Model for Few-Shot Learning,no
Training Language Models with Language Feedback,yes
PyramidCLIP: Hierarchical Feature Alignment for Vision-language Model Pretraining,no
C3-STISR: Scene Text Image Super-resolution with Triple Clues,no
ExaASC: A General Target-Based Stance Detection Corpus in Arabic Language,no
QRelScore: Better Evaluating Generated Questions with Deeper Understanding of Context-aware Relevance,no
Czech Dataset for Cross-lingual Subjectivity Classification,no
OA-Mine: Open-World Attribute Mining for E-Commerce Products with Weak Supervision,no
Inferring Implicit Relations in Complex Questions with Language Models,yes
Process-BERT: A Framework for Representation Learning on Educational Process Data,no
CogView2: Faster and Better Text-to-Image Generation via Hierarchical Transformers,no
RobBERTje: a Distilled Dutch BERT Model,no
On the Effect of Pretraining Corpora on In-context Learning by a Large-scale Language Model,yes
Post-Training Dialogue Summarization using Pseudo-Paraphrasing,no
A Survey on Sentence Embedding Models Performance for Patent Analysis,no
HPT: Hierarchy-aware Prompt Tuning for Hierarchical Text Classification,no
Tailor: A Prompt-Based Approach to Attribute-Based Controlled Text Generation,no
BiTimeBERT: Extending Pre-Trained Language Representations with Bi-Temporal Information,no
DialogVED: A Pre-trained Latent Variable Encoder-Decoder Model for Dialog Response Generation,no
An End-to-End Dialogue Summarization System for Sales Calls,yes
RigoBERTa: A State-of-the-Art Language Model For Spanish,no
SkillSpan: Hard and Soft Skill Extraction from English Job Postings,no
Probing Simile Knowledge from Pre-trained Language Models,no
Modern Baselines for SPARQL Semantic Parsing,no
Multimodal Transformer-based Model for Buchwald-Hartwig and Suzuki-Miyaura Reaction Yield Prediction,no
UBERT: A Novel Language Model for Synonymy Prediction at Scale in the UMLS Metathesaurus,no
Better Query Graph Selection for Knowledge Base Question Answering,no
Parkinson's disease diagnostics using AI and natural language knowledge transfer,no
MILES: Visual BERT Pre-training with Injected Language Semantics for Video-text Retrieval,yes
Science Checker: Extractive-Boolean Question Answering For Scientific Fact Checking,no
You Don't Know My Favorite Color: Preventing Dialogue Representations from Revealing Speakers' Private Personas,yes
GypSum: Learning Hybrid Representations for Code Summarization,no
Approach to Predicting News -- A Precise Multi-LSTM Network With BERT,no
Pretraining Chinese BERT for Detecting Word Insertion and Deletion Errors,yes
C3: Continued Pretraining with Contrastive Weak Supervision for Cross Language Ad-Hoc Retrieval,no
Crystal Transformer: Self-learning neural language model for Generative and Tinkering Design of Materials,no
Super-Prompting: Utilizing Model-Independent Contextual Data to Reduce Data Annotation Required in Visual Commonsense Tasks,no
The Causal News Corpus: Annotating Causal Relations in Event Sentences from News,no
Which Discriminator for Cooperative Text Generation?,no
Do Transformer Models Show Similar Attention Patterns to Task-Specific Human Gaze?,no
ED2LM: Encoder-Decoder to Language Model for Faster Document Re-ranking Inference,yes
Twitter-Based Gender Recognition Using Transformers,no
Learning to Win Lottery Tickets in BERT Transfer via Task-agnostic Mask Training,no
Locally Aggregated Feature Attribution on Natural Language Model Understanding,no
Exploiting Session Information in BERT-based Session-aware Sequential Recommendation,no
Reward Reports for Reinforcement Learning,no
Data Distributional Properties Drive Emergent In-Context Learning in Transformers,yes
Sparse and Dense Approaches for the Full-rank Retrieval of Responses for Dialogues,no
KALA: Knowledge-Augmented Language Model Adaptation,yes
Taygete at SemEval-2022 Task 4: RoBERTa based models for detecting Patronising and Condescending Language,no
WaBERT: A Low-resource End-to-end Model for Spoken Language Understanding and Speech-to-BERT Alignment,no
Improving the Generalizability of Depression Detection by Leveraging Clinical Questionnaires,no
DiffCSE: Difference-based Contrastive Learning for Sentence Embeddings,no
Revisiting Gaussian mixture critics in off-policy reinforcement learning: a sample-based approach,no
Is Neural Topic Modelling Better than Clustering? An Empirical Study on Clustering with Contextual Embeddings for Topics,no
Making the Most of Text Semantics to Improve Biomedical Vision--Language Processing,yes
When Does Syntax Mediate Neural Language Model Performance? Evidence from Dropout Probes,no
You Are What You Write: Preserving Privacy in the Era of Large Language Models,yes
Is BERT Robust to Label Noise? A Study on Learning with Noisy Labels in Text Classification,yes
Towards Arabic Sentence Simplification via Classification and Generative Approaches,no
On the Representation Collapse of Sparse Mixture of Experts,no
DialoKG: Knowledge-Structure Aware Task-Oriented Dialogue Generation,no
What Makes Instruction Learning Hard? An Investigation and a New Challenge in a Synthetic Environment,yes
ALBETO and DistilBETO: Lightweight Spanish Language Models,no
Optimize_Prime@DravidianLangTech-ACL2022: Abusive Comment Detection in Tamil,no
CodexDB: Generating Code for Processing SQL Queries using GPT-3 Codex,no
Impact of Tokenization on Language Models: An Analysis for Turkish,yes
Probing for the Usage of Grammatical Number,no
Multimodal Hate Speech Detection from Bengali Memes and Texts,no
DecBERT: Enhancing the Language Understanding of BERT with Causal Attention Masks,yes
Mono vs Multilingual BERT for Hate Speech Detection and Text Classification: A Case Study in Marathi,no
LitMC-BERT: transformer-based multi-label classification of biomedical literature with an application on COVID-19 literature curation,no
Context-Aware Language Modeling for Goal-Oriented Dialogue Systems,yes
Zero-shot Entity and Tweet Characterization with Designed Conditional Prompts and Contexts,no
L3Cube-HingCorpus and HingBERT: A Code Mixed Hindi-English Dataset and BERT Language Models,yes
UMass PCL at SemEval-2022 Task 4: Pre-trained Language Model Ensembles for Detecting Patronizing and Condescending Language,no
Ingredient Extraction from Text in the Recipe Domain,no
Pathologies of Pre-trained Language Models in Few-shot Fine-tuning,yes
Knowledgeable Salient Span Mask for Enhancing Language Models as Knowledge Base,no
nigam@COLIEE-22: Legal Case Retrieval and Entailment using Cascading of Lexical and Semantic-based models,no
A Contrastive Cross-Channel Data Augmentation Framework for Aspect-based Sentiment Analysis,no
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,no
WordAlchemy: A transformer-based Reverse Dictionary,no
SimpleBERT: A Pre-trained Model That Learns to Generate Simple Words,no
Probing Script Knowledge from Pre-Trained Models,no
BLCU-ICALL at SemEval-2022 Task 1: Cross-Attention Multitasking Framework for Definition Modeling,no
DialAug: Mixing up Dialogue Contexts in Contrastive Learning for Robust Conversational Modeling,no
MoEBERT: from BERT to Mixture-of-Experts via Importance-Guided Adaptation,no
CILDA: Contrastive Data Augmentation using Intermediate Layer Knowledge Distillation,no
Just Fine-tune Twice: Selective Differential Privacy for Large Language Models,yes
Semantic Structure based Query Graph Prediction for Question Answering over Knowledge Graph,no
Evaluation Benchmarks for Spanish Sentence Representations,no
Improving Passage Retrieval with Zero-Shot Question Generation,no
Polling Latent Opinions: A Method for Computational Sociolinguistics Using Transformer Language Models,no
Improving Pre-trained Language Models with Syntactic Dependency Prediction Task for Chinese Semantic Error Recognition,no
mGPT: Few-Shot Learners Go Multilingual,no
ML_LTU at SemEval-2022 Task 4: T5 Towards Identifying Patronizing and Condescending Language,no
Is Surprisal in Issue Trackers Actionable?,no
XDBERT: Distilling Visual Information to BERT from Cross-Modal Systems to Improve Language Understanding,no
Improving Cross-Modal Understanding in Visual Dialog via Contrastive Learning,no
Identifying and Measuring Token-Level Sentiment Bias in Pre-trained Language Models with Prompts,no
Analysing similarities between legal court documents using natural language processing approaches based on Transformers,no
Label Semantic Aware Pre-training for Few-shot Text Classification,no
DeiT III: Revenge of the ViT,no
Generative power of a protein language model trained on multiple sequence alignments,no
Composite Code Sparse Autoencoders for first stage retrieval,no
Rows from Many Sources: Enriching row completions from Wikidata with a pre-trained Language Model,no
Does BERT really agree ? Fine-grained Analysis of Lexical Dependence on a Syntactic Task,no
Multi-label topic classification for COVID-19 literature with Bioformer,no
GPT-NeoX-20B: An Open-Source Autoregressive Language Model,no
GAP: A Graph-aware Language Model Framework for Knowledge Graph-to-Text Generation,no
CAMERO: Consistency Regularized Ensemble of Perturbed Language Models with Weight Sharing,yes
Scalable Training of Language Models using JAX pjit and TPUv4,no
Building Markovian Generative Architectures over Pretrained LM Backbones for Efficient Task-Oriented Dialog Systems,yes
Local Feature Swapping for Generalization in Reinforcement Learning,no
HuBERT-EE: Early Exiting HuBERT for Efficient Speech Recognition,no
Automatic Multi-Label Prompting: Simple and Interpretable Few-Shot Classification,no
Curriculum: A Broad-Coverage Benchmark for Linguistic Phenomena in Natural Language Understanding,yes
TangoBERT: Reducing Inference Cost by using Cascaded Architecture,no
IIITDWD-ShankarB@ Dravidian-CodeMixi-HASOC2021: mBERT based model for identification of offensive content in south Indian languages,no
HIT at SemEval-2022 Task 2: Pre-trained Language Model for Idioms Detection,no
Impossible Triangle: What's Next for Pre-trained Language Models?,yes
L3Cube-MahaNER: A Marathi Named Entity Recognition Dataset and BERT models,no
Mining Logical Event Schemas From Pre-Trained Language Models,no
What Language Model Architecture and Pretraining Objective Work Best for Zero-Shot Generalization?,no
MuCoT: Multilingual Contrastive Training for Question-Answering in Low-resource Languages,yes
Do Not Fire the Linguist: Grammatical Profiles Help Language Models Detect Semantic Change,yes
Solving Price Per Unit Problem Around the World: Formulating Fact Extraction as Question Answering,no
Overlapping Word Removal is All You Need: Revisiting Data Imbalance in Hope Speech Detection,no
ProtoTEx: Explaining Model Decisions with Prototype Tensors,no
Doctor XAvIer: Explainable Diagnosis on Physician-Patient Dialogues and XAI Evaluation,no
A Generative Language Model for Few-shot Aspect-Based Sentiment Analysis,no
GDC- Generalized Distribution Calibration for Few-Shot Learning,no
Tokenwise Contrastive Pretraining for Finer Speech-to-BERT Alignment in End-to-End Speech-to-Intent Systems,no
Uniform Complexity for Text Generation,yes
Team ÚFAL at CMCL 2022 Shared Task: Figuring out the correct recipe for predicting Eye-Tracking features using Pretrained Language Models,no
JORLDY: a fully customizable open source framework for reinforcement learning,no
Adapting BigScience Multilingual Model to Unseen Languages,no
Fake news detection using parallel BERT deep neural networks,no
Few-Shot Cross-lingual Transfer for Coarse-grained De-identification of Code-Mixed Clinical Texts,yes
Breaking Character: Are Subwords Good Enough for MRLs After All?,no
Pushing on Personality Detection from Verbal Behavior: A Transformer Meets Text Contours of Psycholinguistic Features,no
Efficient Extraction of Pathologies from C-Spine Radiology Reports using Multi-Task Learning,no
Benchmarking for Public Health Surveillance tasks on Social Media with a Domain-Specific Pretrained Language Model,yes
MR-iNet Gym: Framework for Edge Deployment of Deep Reinforcement Learning on Embedded Software Defined Radio,no
IDPG: An Instance-Dependent Prompt Generation Method,no
"FoundationLayerNorm: Scaling BERT and GPT to 1,000 Layers",no
Modeling Multi-Granularity Hierarchical Features for Relation Extraction,no
Should we tweet this? Generative response modeling for predicting reception of public health messaging on Twitter,no
"Show, Don't Tell: Demonstrations Outperform Descriptions for Schema-Guided Task-Oriented Dialogue",no
MMTAfrica: Multilingual Machine Translation for African Languages,no
Towards Understanding Large-Scale Discourse Structures in Pre-Trained and Fine-Tuned Language Models,no
BioRED: A Rich Biomedical Relation Extraction Dataset,no
Contextual Representation Learning beyond Masked Language Modeling,yes
Fair and Argumentative Language Modeling for Computational Argumentation,yes
Enhance Incomplete Utterance Restoration by Joint Learning Token Extraction and Text Generation,no
RuBioRoBERTa: a pre-trained biomedical language model for Russian language biomedical text mining,no
BioBART: Pretraining and Evaluation of A Biomedical Generative Language Model,yes
Towards Semi-Supervised Learning of Automatic Post-Editing: Data-Synthesis by Infilling Mask with Erroneous Tokens,no
Infusing Knowledge from Wikipedia to Enhance Stance Detection,no
Q-learning with online random forests,no
"Read, Revise, Repeat: A System Demonstration for Human-in-the-loop Iterative Text Revision",yes
Testing the limits of natural language models for predicting human language judgments,yes
BERTuit: Understanding Spanish language in Twitter through a native transformer,yes
MAESTRO: Matched Speech Text Representations through Modality Matching,no
Autoencoding Language Model Based Ensemble Learning for Commonsense Validation and Explanation,no
Towards Automatic Construction of Filipino WordNet: Word Sense Induction and Synset Induction Using Sentence Embeddings,no
Pretraining Text Encoders with Adversarial Mixture of Training Signal Generators,no
Accelerating Attention through Gradient-Based Learned Runtime Pruning,no
Knowledge Infused Decoding,yes
Paying More Attention to Self-attention: Improving Pre-trained Language Models via Attention Guiding,no
drsphelps at SemEval-2022 Task 2: Learning idiom representations using BERTRAM,no
SecureBERT: A Domain-Specific Language Model for Cybersecurity,no
Forecasting Cryptocurrency Returns from Sentiment Signals: An Analysis of BERT Classifiers and Weak Supervision,no
DAGAM: Data Augmentation with Generation And Modification,yes
Structure-aware Protein Self-supervised Learning,no
An Exploratory Study on Code Attention in BERT,no
LAMNER: Code Comment Generation Using Character Language Model and Named Entity Recognition,yes
On the Effectiveness of Pretrained Models for API Learning,no
PaLM: Scaling Language Modeling with Pathways,no
Parameter-Efficient Neural Reranking for Cross-Lingual and Multilingual Retrieval,yes
Abstractive summarization of hospitalisation histories with transformer networks,no
Multilinguals at SemEval-2022 Task 11: Transformer Based Architecture for Complex NER,no
SemanticCAP: Chromatin Accessibility Prediction Enhanced by Features Learning from a Language Model,no
How Different are Pre-trained Transformers for Text Ranking?,no
A Complementary Joint Training Approach Using Unpaired Speech and Text for Low-Resource Automatic Speech Recognition,no
Data Augmentation for Intent Classification with Off-the-shelf Large Language Models,yes
Applying Automatic Text Summarization for Fake News Detection,yes
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",yes
A Machine With Human-Like Memory Systems,no
Using Pre-Trained Language Models for Producing Counter Narratives Against Hate Speech: a Comparative Study,no
Aligned Weight Regularizers for Pruning Pretrained Neural Networks,no
Interpretable Saliency Maps And Self-Supervised Learning For Generalized Zero Shot Medical Image Classification,no
Into-TTS : Intonation Template Based Prosody Control System,no
Graph Enhanced BERT for Query Understanding,no
POS-BERT: Point Cloud One-Stage BERT Pre-Training,no
BERT-Assisted Semantic Annotation Correction for Emotion-Related Questions,no
CTRLEval: An Unsupervised Reference-Free Metric for Evaluating Controlled Text Generation,yes
Efficient comparison of sentence embeddings,no
CharacterBERT and Self-Teaching for Improving the Robustness of Dense Retrievers on Queries with Typos,yes
Socratic Models: Composing Zero-Shot Multimodal Reasoning with Language,no
Monarch: Expressive Structured Matrices for Efficient and Accurate Training,no
Evaluation of Fake News Detection with Knowledge-Enhanced Language Models,yes
Zero-Shot Cross-lingual Aphasia Detection using Automatic Speech Recognition,no
Cyberbullying detection across social media platforms via platform-aware adversarial encoding,no
Feature Structure Distillation with Centered Kernel Alignment in BERT Transferring,no
Predicting Intervention Approval in Clinical Trials through Multi-Document Summarization,no
Syntax-informed Question Answering with Heterogeneous Graph Transformer,no
NC-DRE: Leveraging Non-entity Clue Information for Document-level Relation Extraction,no
Effect and Analysis of Large-scale Language Model Rescoring on Competitive ASR Systems,no
A Baseline Readability Model for Cebuano,no
Mixed-Phoneme BERT: Improving BERT with Mixed Phoneme and Sup-Phoneme Representations for Text to Speech,no
Scaling Up Models and Data with $\texttt{t5x}$ and $\texttt{seqio}$,no
Scaling Language Model Size in Cross-Device Federated Learning,no
PanGu-Bot: Efficient Generative Dialogue Pre-training from Pre-trained Language Model,no
PADA: Pruning Assisted Domain Adaptation for Self-Supervised Speech Representations,no
Generative Pre-Trained Transformers for Biologically Inspired Design,no
Domain Adaptation for Sparse-Data Settings: What Do We Gain by Not Using Bert?,yes
A Character-level Span-based Model for Mandarin Prosodic Structure Prediction,no
Leveraging pre-trained language models for conversational information seeking from text,yes
"ESGBERT: Language Model to Help with Classification Tasks Related to Companies Environmental, Social, and Governance Practices",no
An Empirical Study of Language Model Integration for Transducer based Speech Recognition,no
SpeechPrompt: An Exploration of Prompt Tuning on Generative Spoken Language Model for Speech Processing Tasks,no
CREATE: A Benchmark for Chinese Short Video Retrieval and Title Generation,no
Reproducibility Issues for BERT-based Evaluation Metrics,yes
Transformer Language Models without Positional Encodings Still Learn Positional Information,no
Improving Speech Recognition for Indic Languages using Language Model,no
PromptDet: Towards Open-vocabulary Detection using Uncurated Images,no
Position-based Prompting for Health Outcome Generation,no
Incorporating Dynamic Semantics into Pre-Trained Language Model for Aspect-based Sentiment Analysis,no
Auto-MLM: Improved Contrastive Learning for Self-supervised Multi-lingual Knowledge Retrieval,no
Detecting Unassimilated Borrowings in Spanish: An Annotated Corpus and Approaches to Modeling,no
An Iterative Co-Training Transductive Framework for Zero Shot Learning,no
Shallow Fusion of Weighted Finite-State Transducer and Language Model for Text Normalization,no
WAVPROMPT: Towards Few-Shot Spoken Language Understanding with Frozen Language Models,no
LinkBERT: Pretraining Language Models with Document Links,no
Evaluating Prompts Across Multiple Choice Tasks In a Zero-Shot Setting,no
LightHuBERT: Lightweight and Configurable Speech Representation Learning with Once-for-All Hidden-Unit BERT,no
Cross-Media Scientific Research Achievements Retrieval Based on Deep Language Model,no
Training Compute-Optimal Large Language Models,yes
WeNet 2.0: More Productive End-to-End Speech Recognition Toolkit,no
mc-BEiT: Multi-choice Discretization for Image BERT Pre-training,no
Improving Persian Relation Extraction Models by Data Augmentation,no
A Fast Post-Training Pruning Framework for Transformers,no
Worldwide city transport typology prediction with sentence-BERT based supervised learning via Wikipedia,no
Learning to Prompt for Open-Vocabulary Object Detection with Vision-Language Model,no
Hierarchical Transformer Model for Scientific Named Entity Recognition,no
ANNA: Enhanced Language Representation for Question Answering,no
STaR: Bootstrapping Reasoning With Reasoning,no
Pyramid-BERT: Reducing Complexity via Successive Core-set based Token Selection,no
Example-based Hypernetworks for Out-of-Distribution Generalization,no
Text Adversarial Purification as Defense against Adversarial Attacks,no
A Roadmap for Big Model,no
Autoregressive Linguistic Steganography Based on BERT and Consistency Coding,no
A Comparative Evaluation Of Transformer Models For De-Identification Of Clinical Text Data,no
L3Cube-MahaHate: A Tweet-based Marathi Hate Speech Detection Dataset and BERT models,no
MKQ-BERT: Quantized BERT with 4-bits Weights and Activations,no
CodeGen: An Open Large Language Model for Code with Multi-Turn Program Synthesis,no
Predicting Clinical Intent from Free Text Electronic Health Records,no
Reshaping Robot Trajectories Using Natural Language Commands: A Study of Multi-Modal Data Alignment Using Transformers,no
GPT-D: Inducing Dementia-related Linguistic Anomalies by Deliberate Degradation of Artificial Neural Language Models,yes
Remember and Forget Experience Replay for Multi-Agent Reinforcement Learning,no
Mix and Match: Learning-free Controllable Text Generation using Energy Language Models,no
Token Dropping for Efficient BERT Pretraining,no
Language Models that Seek for Knowledge: Modular Search & Generation for Dialogue and Prompt Completion,no
"Multi-armed bandits for resource efficient, online optimization of language model pre-training: the use case of dynamic masking",no
minicons: Enabling Flexible Behavioral and Representational Analyses of Transformer Language Models,no
Ensembling and Knowledge Distilling of Large Sequence Taggers for Grammatical Error Correction,no
Bailando: 3D Dance Generation by Actor-Critic GPT with Choreographic Memory,no
mcBERT: Momentum Contrastive Learning with BERT for Zero-Shot Slot Filling,no
Mono vs Multilingual BERT: A Case Study in Hindi and Marathi Named Entity Recognition,no
Adversarial Training for Improving Model Robustness? Look at Both Prediction and Interpretation,yes
Mitigating Gender Bias in Distilled Language Models via Counterfactual Role Reversal,no
Prompt-based System for Personality and Interpersonal Reactivity Prediction,no
Input-specific Attention Subnetworks for Adversarial Detection,no
Visual Prompt Tuning,no
Self-supervision through Random Segments with Autoregressive Coding (RandSAC),no
Transformer based ensemble for emotion detection,no
Under the Hood of Transformer Networks for Trajectory Forecasting,no
Open-Vocabulary DETR with Conditional Matching,no
Listening to Affected Communities to Define Extreme Speech: Dataset and Experiments,no
BERT-ASC: Implicit Aspect Representation Learning through Auxiliary-Sentence Construction for Sentiment Analysis,yes
Are You Misinformed? A Study of Covid-Related Fake News in Bengali on Facebook,no
Factual Consistency of Multilingual Pretrained Language Models,no
VLSP 2021 - ViMRC Challenge: Vietnamese Machine Reading Comprehension,no
Towards Textual Out-of-Domain Detection without In-Domain Labels,no
Enhancing Speech Recognition Decoding via Layer Aggregation,no
DQ-BART: Efficient Sequence-to-Sequence Model via Joint Distillation and Quantization,yes
Self-Consistency Improves Chain of Thought Reasoning in Language Models,no
Teaching language models to support answers with verified quotes,yes
Towards Explainable Evaluation Metrics for Natural Language Generation,no
AraBART: a Pretrained Arabic Sequence-to-Sequence Model for Abstractive Summarization,no
Neural Token Segmentation for High Token-Internal Complexity,no
Multitask Neuroevolution for Reinforcement Learning with Long and Short Episodes,no
TCM-SD: A Benchmark for Probing Syndrome Differentiation via Natural Language Processing,no
Semantic Similarity Computing for Scientific Academic Conferences fused with domain features,no
An Intellectual Property Entity Recognition Method Based on Transformer and Technological Word Information,no
Compression of Generative Pre-trained Language Models via Quantization,no
Better Language Model with Hypernym Class Prediction,no
Mitigating Gender Bias in Machine Translation through Adversarial Learning,yes
Immersive Text Game and Personality Classification,no
Open-Vocabulary One-Stage Detection with Hierarchical Visual-Language Knowledge Distillation,no
Cluster & Tune: Boost Cold Start Performance in Text Classification,no
g2pW: A Conditional Weighted Softmax BERT for Polyphone Disambiguation in Mandarin,no
How does the pre-training objective affect what large language models learn about linguistic properties?,no
On Robust Prefix-Tuning for Text Classification,no
Perturbations in the Wild: Leveraging Human-Written Text Perturbations for Realistic Adversarial Attack and Defense,no
Automatic Detection of Entity-Manipulated Text using Factual Knowledge,no
Distinguishing Non-natural from Natural Adversarial Samples for More Robust Pre-trained Language Model,yes
Bridging Pre-trained Language Models and Hand-crafted Features for Unsupervised POS Tagging,no
Dependency-based Mixture Language Models,no
Are You Robert or RoBERTa? Deceiving Online Authorship Attribution Models Using Neural Text Generators,yes
Three things everyone should know about Vision Transformers,no
HiStruct+: Improving Extractive Text Summarization with Hierarchical Structure Information,no
ToxiGen: A Large-Scale Machine-Generated Dataset for Adversarial and Implicit Hate Speech Detection,no
Coloring the Blank Slate: Pre-training Imparts a Hierarchical Inductive Bias to Sequence-to-sequence Models,no
Finding Structural Knowledge in Multimodal-BERT,no
Universal Conditional Masked Language Pre-training for Neural Machine Translation,no
Entropy-based Attention Regularization Frees Unintended Bias Mitigation from Lists,yes
Multilingual Detection of Personal Employment Status on Twitter,no
RelationPrompt: Leveraging Prompts to Generate Synthetic Data for Zero-Shot Relation Triplet Extraction,no
Fine- and Coarse-Granularity Hybrid Self-Attention for Efficient BERT,yes
Triangular Transfer: Freezing the Pivot for Triangular Machine Translation,no
AdapLeR: Speeding up Inference by Adaptive Length Reduction,no
Label Semantics for Few Shot Named Entity Recognition,no
CUE Vectors: Modular Training of Language Models Conditioned on Diverse Contextual Signals,no
Multi-Stage Prompting for Knowledgeable Dialogue Generation,yes
In-Context Learning for Few-Shot Dialogue State Tracking,no
Linking Theories and Methods in Cognitive Sciences via Joint Embedding of the Scientific Literature: The Example of Cognitive Control,no
Pseudo-Q: Generating Pseudo Language Queries for Visual Grounding,no
KinyaBERT: a Morphology-aware Kinyarwanda Language Model,no
Cross-Lingual Ability of Multilingual Masked Language Models: A Study of Language Structure,no
Thinking about GPT-3 In-Context Learning for Biomedical IE? Think Again,yes
Data Contamination: From Memorization to Exploitation,yes
Representation Learning for Resource-Constrained Keyphrase Generation,yes
Evaluating the Text-to-SQL Capabilities of Large Language Models,no
Measuring the Impact of (Psycho-)Linguistic and Readability Features and Their Spill Over Effects on the Prediction of Eye Movement Patterns,no
Training a Tokenizer for Free with Private Federated Learning,yes
Imputing Out-of-Vocabulary Embeddings with LOVE Makes Language Models Robust with Little Cost,no
Do BERTs Learn to Use Browser User Interface? Exploring Multi-Step Tasks with Unified Vision-and-Language BERTs,no
The Ghost in the Machine has an American accent: value conflict in GPT-3,yes
UniSAr: A Unified Structure-Aware Autoregressive Language Model for Text-to-SQL,no
Evaluating BERT-based Pre-training Language Models for Detecting Misinformation,no
ReACC: A Retrieval-Augmented Code Completion Framework,no
Compressing Sentence Representation for Semantic Retrieval via Homomorphic Projective Distillation,yes
Do Language Models Plagiarize?,yes
Long Document Summarization with Top-down and Bottom-up Inference,no
Choose Your QA Model Wisely: A Systematic Study of Generative and Extractive Readers for Question Answering,no
Leveraging Visual Knowledge in Language Tasks: An Empirical Study on Intermediate Pre-training for Cross-modal Knowledge Transfer,yes
Contrastive Visual Semantic Pretraining Magnifies the Semantics of Natural Language Representations,no
VAST: The Valence-Assessing Semantics Test for Contextualizing Language Models,no
CoNTACT: A Dutch COVID-19 Adapted BERT for Vaccine Hesitancy and Argumentation Detection,no
All in One: Exploring Unified Video-Language Pre-training,no
"GrIPS: Gradient-free, Edit-based Instruction Search for Prompting Large Language Models",yes
The Optimal BERT Surgeon: Scalable and Accurate Second-Order Pruning for Large Language Models,yes
WCL-BBCD: A Contrastive Learning and Knowledge Graph Approach to Named Entity Recognition,no
PERT: Pre-training BERT with Permuted Language Model,no
Can pre-trained Transformers be used in detecting complex sensitive sentences? -- A Monsanto case study,yes
Pruned Graph Neural Network for Short Story Ordering,no
Towards Visual-Prompt Temporal Answering Grounding in Medical Instructional Video,no
FiNER: Financial Numeric Entity Recognition for XBRL Tagging,no
Low-Rank Softmax Can Have Unargmaxable Classes in Theory but Rarely in Practice,yes
BiBERT: Accurate Fully Binarized BERT,no
Enabling Multimodal Generation on CLIP via Vision-Language Knowledge Distillation,no
MarkBERT: Marking Word Boundaries Improves Chinese BERT,no
ELLE: Efficient Lifelong Pre-training for Emerging Data,no
verBERT: Automating Brazilian Case Law Document Multi-label Categorization Using BERT,no
"When classifying grammatical role, BERT doesn't care about word order... except when it matters",yes
Block-Sparse Adversarial Attack to Fool Transformer-Based Text Classifiers,yes
Are discrete units necessary for Spoken Language Modeling?,no
A Sentence is Worth 128 Pseudo Tokens: A Semantic-Aware Contrastive Learning Framework for Sentence Embeddings,no
DeepTrust: A Reliable Financial Knowledge Retrieval Framework For Explaining Extreme Pricing Anomalies,no
Hierarchical BERT for Medical Document Understanding,no
"Contextualized Sensorimotor Norms: multi-dimensional measures of sensorimotor strength for ambiguous English words, in context",yes
A new approach to calculating BERTScore for automatic assessment of translation quality,no
Semantic Norm Recognition and its application to Portuguese Law,no
MVP: Multimodality-guided Visual Pre-training,no
Speciesist Language and Nonhuman Animal Bias in English Masked Language Models,yes
Compilable Neural Code Generation with Compiler Feedback,no
NLX-GPT: A Model for Natural Language Explanations in Vision and Vision-Language Tasks,no
HealthPrompt: A Zero-shot Learning Paradigm for Clinical Natural Language Processing,no
Sentence-Select: Large-Scale Language Model Data Selection for Rare-Word Speech Recognition,yes
Pretrained Domain-Specific Language Model for General Information Retrieval Tasks in the AEC Domain,no
LEMON: LanguagE ModeL for Negative Sampling of Knowledge Graph Embeddings,no
