Title,Talks about LLMs,Rate,Evidence,Published
RESPROMPT: Residual Connection Prompting Advances Multi-Step Reasoning in Large Language Models,Yes.,5.,"""Chain-of-thought (CoT) has impressively unlocked the reasoning potential of large language models (LLMs). Yet, it falls short when tackling problems that require multiple reasoning steps. This limitation arises from the complex nature of multi-step reasoning processes",2024
"The ART of LLM Refinement: Ask, Refine, and Trust",Yes.,3.,"""recent empirical evidence points in the opposite direction, suggesting that LLMs often struggle to accurately identify errors when reasoning is involved.""",2024
ParallelPARC: A Scalable Pipeline for Generating Natural-Language Analogies,Yes.,3.,"""We test LLMs’ and humans’ analogy recognition in binary and multiple-choice settings, and found that humans outperform the best models (∼13% gap) after a light supervision."" and ""Lastly, we show challenging distractors confuse LLMs, but not humans.""",2024
TableLlama: Towards Open Large Generalist Models for Tables,Yes.,1.,"""We further develop the first open-source generalist model for tables, TableLlama, by fine-tuning Llama 2 (7B) with LongLoRA to address the long context challenge.""",2024
Backdooring Instruction-Tuned Large Language Models with Virtual Prompt Injection,Yes.,3.,"""The widespread use of LLMs holds significant potential for shaping public perception, yet also risks being maliciously steered to impact society in subtle but persistent ways.""",2024
Exploring the Factual Consistency in Dialogue Comprehension of Large Language Models,Yes.,5.,"""Our evaluation shows that, on average, 26.8% of the summaries generated by LLMs contain factual inconsistency. Even ChatGPT, the strongest model evaluated, has such errors in 16% of its summaries. For answering the factual questions, which is more challenging, the",2024
"Multilingual Pretraining and Instruction Tuning Improve Cross-Lingual Knowledge Alignment, But Only Shallowly",Yes.,5.,"""current large language models show imbalance abilities in different languages"" and ""the overall cross-lingual knowledge alignment, especially in the conductivity level, is unsatisfactory for all tested LLMs, and neither multilingual pretraining nor instruction tuning can substantially improve the cross-lingual knowledge conductivity.""",2024
DialogBench: Evaluating LLMs as Human-like Dialogue Systems,Yes.,3.,"""instruction tuning improves the human likeness of LLMs to a certain extent, but most LLMs still have much room for improvement as human-like dialogue systems."" and ""the positioning of assistant AI can make instruction tuning weaken the human emotional perception of LLMs and their mastery of information about human daily life.""",2024
CMB: A Comprehensive Medical Benchmark in Chinese,Yes.,1.,"""Large Language Models (LLMs) provide a possibility to make a great breakthrough in medicine.""",2024
SlimFit: Memory-Efficient Fine-Tuning of Transformer-based Models Using Training Dynamics,Yes.,2.,"""Transformer-based models, such as BERT and ViT, have achieved state-of-the-art results across different natural language processing (NLP) and computer vision (CV) tasks. However, these models are extremely memory intensive during their fine-tuning process, making them difficult to deploy on GPUs with limited memory resources.""",2024
Effective Large Language Model Adaptation for Improved Grounding and Citation Generation,Yes.,4.,"""However, one major issue towards their widespread deployment in the real world is that they can generate 'hallucinated' answers that are not factual.""",2024
Assisting in Writing Wikipedia-like Articles From Scratch with Large Language Models,Yes.,2.,"""The expert feedback also helps identify new challenges for generating grounded long articles, such as source bias transfer and over-association of unrelated facts.""",2024
Grounding Gaps in Language Model Generations,Yes.,5.,"""We find that—compared to humans—LLMs generate language with less conversational grounding, instead generating text that appears to simply presume common ground.""",2024
Language Model Based Unsupervised Dependency Parsing with Conditional Mutual Information and Grammatical Constraints,Yes.,3.,"""Previous methods based on Large Language Models (LLM) perform unsupervised dependency parsing by maximizing bi-lexical dependence scores. However, these previous methods adopt dependence scores that are difficult to interpret. These methods cannot incorporate grammatical constraints that previous grammar-based parsing research has shown beneficial to",2024
Global Gallery: The Fine Art of Painting Culture Portraits through Multilingual Instruction Tuning,Yes.,4.,"""they also uncover inconsistencies and biases, particularly in non-Western cultures.""",2024
MT-PATCHER: Selective and Extendable Knowledge Distillation from Large Language Models for Machine Translation,Yes.,3.,"""Large Language Models (LLM) have demonstrated their strong ability in the field of machine translation, yet they suffer from high computational cost and latency.""",2024
LinkPrompt: Natural and Universal Adversarial Attacks on Prompt-based Language Models,Yes.,2.,"""raising concerns about the adversarial vulnerability of this paradigm.""",2024
CoE-SQL: In-Context Learning for Multi-Turn Text-to-SQL with Chain-of-Editions,Yes.,1.,"""Recently, Large Language Models (LLMs) have been demonstrated to possess impressive capabilities in a variety of domains and tasks.""",2024
ContraDoc: Understanding Self-Contradictions in Documents with Large Language Models,Yes.,5.,"""While GPT4 performs the best and can outperform humans on this task, we find that it is still unreliable and struggles with self-contradictions that require more nuance and context.""",2024
PlanRAG: A Plan-then-Retrieval Augmented Generation for Generative Large Language Models as Decision Makers,Yes.,1.,"""In this paper, we conduct a study to utilize LLMs as a solution for decision making that requires complex data analysis.""",2024
A Survey of Confidence Estimation and Calibration in Large Language Models,Yes.,4.,"""Despite their impressive performance, they can be unreliable due to factual errors in their generations."" and ""we outline the challenges and we summarize recent technical advancements for LLM confidence estimation and calibration.""",2024
Not All Metrics Are Guilty: Improving NLG Evaluation by Diversifying References,,,,2024
ACLSum: A New Dataset for Aspect-based Summarization of Scientific Publications,Yes.,3.,"""the prompting-based approach with LLMs shows a limitation in extracting sentences from source documents.""",2024
Intent-conditioned and Non-toxic Counterspeech Generation using Multi-Task Instruction Tuning with RLAIF,Yes.,3.,"""These expressions challenge language models, especially in seq2seq tasks, as model performance typically excels with longer contexts.""",2024
"Attacks, Defenses and Evaluations for LLM Conversation Safety: A Survey",Yes.,4.,"""However, their risks of misuse for generating harmful responses have raised serious societal concerns and spurred recent research on LLM conversation safety.""",2024
Mind’s Mirror: Distilling Self-Evaluation Capability and Comprehensive Thinking from Large Language Models,Yes.,4.,"""the massive scale and computational demands of these models present formidable challenges when considering their practical deployment in resource-constrained environments"" and ""there is a risk that distilled SLMs may still inherit flawed reasoning and hallucinations from LLMs.""",2024
Divergent Token Metrics: Measuring degradation to prune away LLM components – and optimize quantization,Yes.,3.,"""However, their ever-increasing size has raised concerns about their effective deployment and the need for LLM compression."" and ""addressing the limitations of traditional perplexity or accuracy measures that fail to accurately reflect text generation quality.""",2024
Beyond Performance: Quantifying and Mitigating Label Bias in LLMs,Yes.,4.,"""However, recent work revealed they also exhibit *label bias*—an undesirable preference toward predicting certain answers over others."" and ""Our investigation reveals substantial label bias in models both before and after debiasing attempts."" and ""Our results emphasize that label bias in the predictions of LLMs remains a barrier to their reliability.""",2024
Instructing Large Language Models to Identify and Ignore Irrelevant Conditions,Yes.,5.,"""However, they were seriously confused by the irrelevant conditions, resulting in low accuracy.""",2024
On the Effectiveness of Adversarial Robustness for Abuse Mitigation with Counterspeech,No.,1.,The abstract does not mention LLMs or any specific type of language models.,2024
Leveraging the Structure of Pre-trained Embeddings to Minimize Annotation Effort,Yes.,2.,"""However, for some challenging classification tasks, providing enough annotations to ensure a reliable classification continues to be the main bottleneck.""",2024
Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,Yes.,3.,"""they either handle simple queries with unnecessary computational overhead or fail to adequately address complex multi-step queries.""",2024
Knowing What LLMs DO NOT Know: A Simple Yet Effective Self-Detection Method,Yes.,5.,"""recent literature reveals that LLMs hallucinate intermittently, which impedes their reliability for further utilization.""",2024
Are Large Language Model Temporally Grounded?,Yes.,5.,"""Generally, we find that LLMs lag significantly behind both human performance as well as small-scale, specialised LMs."" and ""Crucially, LLMs struggle the most with self-consistency, displaying incoherent behaviour in at least 27.23% of their predictions."" and ""Moreover, public instruction",2024
R-Tuning: Instructing Large Language Models to Say ‘I Don’t Know’,Yes.,5.,"""A predominant issue is the propensity for these models to generate non-existent facts, a concern termed hallucination."" and ""When the question is out of the parametric knowledge, it will try to make up something and fail to indicate when it lacks knowledge.""",2024
Bridging the Gap between Different Vocabularies for LLM Ensemble,Yes.,3.,"""Nevertheless, vocabulary discrepancies among various LLMs have constrained previous studies to either selecting or blending completely generated outputs. This limitation hinders the dynamic correction and enhancement of outputs during the generation process, resulting in a limited capacity for effective ensemble.""",2024
Towards Reducing Diagnostic Errors with Interpretable Risk Prediction,Yes.,1.,"""In this work we propose a method to use LLMs to identify pieces of evidence in patient EHR data that indicate increased or decreased risk of specific diagnoses.""",2024
The steerability of large language models toward data-driven personas,Yes.,3.,"""Large language models (LLMs) are known to generate biased responses where the opinions of certain groups and populations are underrepresented.""",2024
CERET: Cost-Effective Extrinsic Refinement for Text Generation,Yes.,3.,"""Large Language Models (LLMs) are powerful models for generation tasks, but they may not generate good quality outputs in their first attempt."" and ""Despite their effectiveness, these methods are hindered by their high computational cost and lack of scalability.""",2024
LeanReasoner: Boosting Complex Logical Reasoning with Lean,Yes.,5.,"""Large language models (LLMs) often struggle with complex logical reasoning due to logical inconsistencies and the inherent difficulty of such reasoning.""",2024
UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback,Yes.,4.,"""Many large language models (LLMs) struggle to consistently generate UI code that compiles and produces visually relevant designs.""",2024
MisgenderMender: A Community-Informed Approach to Interventions for Misgendering,Yes.,3.,"""highlighting challenges for future models to address"" and ""annotated for the presence of misgendering, with additional annotations for correcting misgendering in LLM-generated text.""",2024
From Quantity to Quality: Boosting LLM Performance with Self-Guided Data Selection for Instruction Tuning,Yes.,1.,"""In the realm of Large Language Models (LLMs), the balance between instruction data quality and quantity is a focal point.""",2024
Deceptive Semantic Shortcuts on Reasoning Chains: How Far Can Models Go without Hallucination?,Yes.,5.,"""Despite the high performances of large language models (LLMs) across numerous benchmarks, recent research has unveiled their suffering from hallucinations and unfaithful reasoning."" and ""Experiments show that existing LLMs cannot follow correct reasoning paths and resist the attempt of greedy shortcuts, with GPT-4 only achieving 62% accuracy.""",2024
Leveraging LLMs for Synthesizing Training Data Across Many Languages in Multilingual Dense Retrieval,Yes.,1.,"""SAP assists the LLM in generating informative queries in the target language.""",2024
A Theory Guided Scaffolding Instruction Framework for LLM-Enabled Metaphor Reasoning,Yes.,3.,"""LLM-based methods for metaphor detection and reasoning are still faced with the challenging issue of bringing the explainable concepts for metaphor reasoning and their linguistic manifestation.""",2024
Learning to Compress Prompt in Natural Language Formats,Yes.,5.,"""Large language models (LLMs) are great at processing multiple natural language processing tasks, but their abilities are constrained by inferior performance with long context, slow inference speed, and the high cost of computing the results.""",2024
Naive Bayes-based Context Extension for Large Language Models,Yes.,5.,"""conventional In-Context Learning (ICL) approaches are often impeded by length limitations of transformer architecture, which pose challenges when attempting to effectively integrate supervision from a substantial number of demonstration examples.""",2024
Actively Learn from LLMs with Uncertainty Propagation for Generalized Category Discovery,Yes.,1.,"""we propose to integrate the feedback from LLMs into an active learning paradigm.""",2024
Large Language Models can Contrastively Refine their Generation for Better Sentence Representation Learning,Yes.,3.,"""the effectiveness of these methods is largely influenced by the content generated from LLMs, highlighting the need for more refined generation in the context of sentence representation learning.""",2024
“You are an expert annotator”: Automatic Best–Worst-Scaling Annotations for Emotion Intensity Modeling,Yes.,3.,"""This raises the question if large language model-based annotation methods show similar patterns, namely that they perform worse on rating scale annotation tasks than on comparative annotation tasks.""",2024
What Matters in Training a GPT4-Style Language Model with Multimodal Inputs?,Yes.,2.,"""there is considerable scope for enhancing open-source multi-modal LLMs, especially in terms of multi-modal understanding accuracy and instruction-following proficiency.""",2024
Defining and Detecting Vulnerability in Human Evaluation Guidelines: A Preliminary Study Towards Reliable NLG Evaluation,Yes.,2.,"""We then introduce a taxonomy of eight vulnerabilities and formulate a principle for composing evaluation guidelines. Furthermore, a method for detecting guideline vulnerabilities has been explored using LLMs, and we offer a set of recommendations to enhance reliability in human evaluation.""",2024
SemRoDe: Macro Adversarial Training to Learn Representations that are Robust to Word-Level Attacks,Yes.,3.,"""Language models (LMs) are indispensable tools for natural language processing tasks, but their vulnerability to adversarial attacks remains a concern.""",2024
BUST: Benchmark for the evaluation of detectors of LLM-Generated Text,Yes.,1.,"""We introduce BUST, a comprehensive benchmark designed to evaluate detectors of texts generated by instruction-tuned large language models (LLMs).""",2024
"AceGPT, Localizing Large Language Models in Arabic",Yes.,3.,"""Significant concerns emerge when addressing cultural sensitivity and local values.""",2024
Depression Detection in Clinical Interviews with LLM-Empowered Structural Element Graph,Yes.,1.,"""Additionally, we further empower SEGA by devising novel principle-guided data augmentation with large language models (LLMs) to supplement high-quality synthetic data and enable graph contrastive learning.""",2024
ARM: Alignment with Residual Energy-Based Model,Yes.,3.,"""RLHF methods achieve successes in aligning LLM responses with human preferences and improving the controllability of LLM behavior with human instruction. However, RLHF methods are considerably complicated to implement, computationally expensive to train, and notoriously tricky to tune.""",2024
Branch-Solve-Merge Improves Large Language Model Evaluation and Generation,Yes.,5.,"""However, their performance can fall short, due to the model’s lack of coherence and inability to plan and decompose the problem.""",2024
Efficient End-to-End Visual Document Understanding with Rationale Distillation,Yes.,3.,"""However, such methods have high computational and engineering complexity.""",2024
Evaluating the Deductive Competence of Large Language Models,Yes.,5.,"""The tested LLMs have limited abilities to solve these problems in their conventional form."" and ""Overall, our results suggest that LLMs have unique reasoning biases that are only partially predicted from human reasoning performance and the human-generated language corpora that informs them.""",2024
Large Human Language Models: A Need and the Challenges,Yes.,4.,"""At the same time, our NLP systems have become heavily reliant on LLMs, most of which do not model authors."" and ""This brings to the fore a range of design considerations and challenges in terms of what human aspects to capture, how to represent them, and what modeling strategies to pursue.""",2024
On Learning to Summarize with Large Language Models as References,Yes.,3.,"""showing that LLMs are not well-aligned with human evaluators. Particularly, our expert human evaluation reveals remaining nuanced performance gaps between LLMs and our fine-tuned models, which LLMs fail to capture.""",2024
Hallucination Diversity-Aware Active Learning for Text Summarization,Yes.,5.,"""Large Language Models (LLMs) have shown propensity to generate hallucinated outputs, i.e., texts that are factually incorrect or unsupported."" and ""Existing methods for alleviating hallucinations typically require costly human annotations to identify and correct hallucinations in LLM outputs.""",2024
Investigating Data Contamination in Modern Benchmarks for Large Language Models,Yes.,5.,"""Recent observations have underscored a disparity between the inflated benchmark scores and the actual performance of LLMs, raising concerns about potential contamination of evaluation benchmarks.""",2024
Value FULCRA: Mapping Large Language Models to the Multidimensional Spectrum of Basic Human Value,Yes.,3.,"""Existing work mainly specifies values as risk criteria formulated in the AI community, e.g., fairness and privacy protection, suffering from poor clarity, adaptability and transparency.""",2024
IndiBias: A Benchmark Dataset to Measure Social Biases in Language Models for Indian Context,Yes.,4.,"""The pervasive influence of social biases in language data has sparked the need for benchmark datasets that capture and evaluate these biases in Large Language Models (LLMs)."" and ""We observed that the language models exhibit more bias across a majority of the intersectional groups.""",2024
Revisiting Zero-Shot Abstractive Summarization in the Era of Large Language Models from the Perspective of Position Bias,Yes.,5.,"""Position bias captures the tendency of a model unfairly prioritizing information from certain parts of the input text over others, leading to undesirable behavior.""",2024
Struc-Bench: Are Large Language Models Good at Generating Complex Structured Tabular Data?,Yes.,4.,"""producing complex, structured tabular data remains challenging"" and ""In-depth error analysis and creating an ability map across six dimensions, coverage, formatting, reasoning, comprehension, pragmatics, and hallucination, highlight areas for future enhancements and suggest forthcoming research trajectories.""",2024
"Unlocking Structure Measuring: Introducing PDD, an Automatic Metric for Positional Discourse Coherence",Yes.,3.,"""existing lexical or semantic metrics such as BLEU, ROUGE, BertScore cannot effectively capture the discourse coherence.""",2024
MultiParaDetox: Extending Text Detoxification with Parallel Data to New Languages,Yes.,1.,"""Recently, text detoxification methods found their applications in various task such as detoxification of Large Language Models (LLMs)...""",2024
A Multi-Aspect Framework for Counter Narrative Evaluation using Large Language Models,Yes.,1.,"""To address prior evaluation limitations, we propose a novel evaluation framework prompting LLMs to provide scores and feedback for generated counter narrative candidates using 5 defined aspects derived from guidelines from counter narrative specialized NGOs.""",2024
Unveiling Divergent Inductive Biases of LLMs on Temporal Data,,,,2024
On Retrieval Augmentation and the Limitations of Language Model Training,Yes.,3.,"""This task is challenging even for GPT-3.5 Turbo.""",2024
Advancing the Robustness of Large Language Models through Self-Denoised Smoothing,Yes.,5.,"""Although large language models (LLMs) have achieved significant success, their vulnerability to adversarial perturbations, including recent jailbreak attacks, has raised considerable concerns.""",2024
Can LLM’s Generate Human-Like Wayfinding Instructions? Towards Platform-Agnostic Embodied Instruction Synthesis,Yes.,1.,"""We present a novel approach to automatically synthesize 'wayfinding instructions' for an embodied robot agent.""",2024
Discourse-Aware In-Context Learning for Temporal Expression Normalization,Yes.,1.,"""we explore the feasibility of proprietary and open-source large language models (LLMs) for TE normalization using in-context learning to inject task, document, and example information into the model.""",2024
ALOHa: A New Measure for Hallucination in Captioning Models,Yes.,1.,"""we propose a modernized open-vocabulary metric, ALOHa, which leverages large language models (LLMs) to measure object hallucinations.""",2024
Beyond Yes and No: Improving Zero-Shot LLM Rankers via Scoring Fine-Grained Relevance Labels,Yes.,3.,"""the lack of intermediate relevance label options may cause the LLM to provide noisy or biased answers for documents that are partially relevant to the query.""",2024
Control-DAG: Constrained Decoding for Non-Autoregressive Directed Acyclic T5 using Weighted Finite State Automata,No.,1.,"The abstract discusses a non-autoregressive model (DA-T5) and its application to NLG tasks, but does not mention LLMs or their limitations.",2024
Lost in Space: Probing Fine-grained Spatial Understanding in Vision and Language Resamplers,Yes.,5.,"""more fine-grained tasks that require spatial understanding have not been thoroughly examined"" and ""Our results show that this information is largely absent from the resampler output when kept frozen during training of the classifiers.""",2024
A Continued Pretrained LLM Approach for Automatic Medical Note Generation,Yes.,3.,"""However, the use of the most advanced LLMs, such as GPT-4, is often prohibitively expensive for most specialized fields.""",2024
Self-Improving for Zero-Shot Named Entity Recognition with Large Language Models,Yes.,3.,"""Through comprehensive experimental analysis, we find that increasing the size of unlabeled corpus or iterations of self-improving does not guarantee further improvement, but the performance might be boosted via more advanced strategies for reliable annotation selection.""",2024
Language Models (Mostly) Do Not Consider Emotion Triggers When Predicting Emotion,Yes.,3.,"""Our analysis reveals that emotion triggers are largely not considered salient features for emotion prediction models, instead there is intricate interplay between various features and the task of emotion detection.""",2024
CPopQA: Ranking Cultural Concept Popularity by LLMs,Yes.,1.,"""Experiments on four strong LLMs show that open-sourced LLMs still lag way behind close LLM API (e.g., GPT-3.5) in statistical ranking of cultural concepts.""",2024
The Impact of Language on Arithmetic Proficiency: A Multilingual Investigation with Cross-Agent Checking Computation,Yes.,5.,"""This paper critically examines the arithmetic capabilities of Large Language Models (LLMs), uncovering significant limitations in their performance.""",2024
Removing RLHF Protections in GPT-4 via Fine-Tuning,Yes.,4.,"""fine-tuning allows attackers to remove RLHF protections with as few as 340 examples and a 95% success rate"" and ""Our results show the need for further research on protections on LLMs.""",2024
Arithmetic Reasoning with LLM: Prolog Generation & Permutation,Yes.,3.,"""the CoT approach relies on an LLM to generate a sequence of arithmetic calculations which can be prone to cascaded calculation errors.""",2024
MuLan: A Study of Fact Mutability in Language Models,Yes.,4.,"""We hypothesize that mutable facts are encoded differently than immutable ones, hence being easier to update. In a detailed evaluation of six popular large language models, we consistently find differences in the LLMs’ confidence, representations, and update behavior, depending on the mutability of a fact.""",2024
DoubleLingo: Causal Estimation with Large Language Models,Yes.,3.,"""flexible large language models that excel at predictive tasks with text data do not meet the statistical assumptions necessary for causal estimation.""",2024
Breaking the Language Barrier: Can Direct Inference Outperform Pre-Translation in Multilingual LLM Applications?,Yes.,3.,"""However, inherent biases stemming from predominantly English-centric pre-training have led to the widespread practice of pre-translation, i.e., translating non-English inputs to English before inference, leading to complexity and information loss.""",2024
Low-code LLM: Graphical User Interface over Large Language Models,Yes.,3.,"""Utilizing Large Language Models (LLMs) for complex tasks is challenging, often involving a time-consuming and uncontrollable prompt engineering process.""",2024
DIALIGHT: Lightweight Multilingual Development and Evaluation of Task-Oriented Dialogue Systems with Large Language Models,Yes.,4.,"""we also identify significant challenges of LLMs in adherence to task-specific instructions and generating outputs in multiple languages, highlighting areas for future research.""",2024
OpinionGPT: Modelling Explicit Biases in Instruction-Tuned LLMs,Yes.,4.,"""an open research question concerns the inherent biases of trained models and their responses"" and ""Current research work seeks to de-bias such models, or suppress potentially biased answers.""",2024
RedCoast: A Lightweight Tool to Automate Distributed Training of LLMs on Any GPU/TPUs,Yes.,3.,"""However, their escalating memory requirements introduce challenges for machine learning (ML) researchers and engineers.""",2024
Newspaper Signaling for Crisis Prediction,Yes.,1.,"""The model works with unstructured news data and combines multiple transformer-based models for pre-processing (STANZA) and content filtering (RoBERTa, GPT-3.5).""",2024
AgentQuest: A Modular Benchmark Framework to Measure Progress and Improve LLM Agents,Yes.,3.,"""existing benchmarks are often narrow and simply compute overall task success"" and ""we identify common failure points and refine the agent architecture to obtain a significant performance increase.""",2024
Rephrasing Invokes Better Generations for Large Language Models,Yes.,2.,"""However, automatic input pre-processing when LLMs are unavailable is currently under-studied.""",2024
Exploring Compositional Generalization of Large Language Models,Yes.,3.,"""Interestingly, our experimental results indicate that training LLMs on higher-order compositional instructions enhances their performance on lower-order ones, but the reverse does not hold true.""",2024
LUCID: LLM-Generated Utterances for Complex and Interesting Dialogues,Yes.,3.,"""Yet a major bottleneck to achieving genuinely transformative task-oriented dialogue capabilities remains the scarcity of high quality data."" and ""Existing datasets, while impressive in scale, have limited domain coverage and contain few genuinely challenging conversational phenomena; those which are present are typically unlabelled, making it difficult",2024
Exploring Inherent Biases in LLMs within Korean Social Context: A Comparative Analysis of ChatGPT and GPT-4,Yes.,4.,"""LLMs have been critiqued for perpetuating stereotypes against diverse groups based on race, sexual orientation, and other attributes,"" and ""Our findings indicate that certain personas or prompt combinations consistently yield harmful content, highlighting the potential risks associated with specific persona-issue alignments within the Korean cultural framework.""",2024
Detecting Response Generation Not Requiring Factual Judgment,Yes.,3.,"""With the remarkable development of large language models (LLMs), ensuring the factuality of output has become a challenge.""",2024
Investigating Web Corpus Filtering Methods for Language Model Development in Japanese,Yes.,2.,"""Indeed, we empirically present that strong filtering methods can rather lead to lesser performance in downstream tasks.""",2024
Distilling Text Style Transfer With Self-Explanation From LLMs,Yes.,1.,"""we propose CoTeX, a framework that leverages large language models (LLMs) alongside chain-of-thought (CoT) prompting to facilitate TST.""",2024
Coding Open-Ended Responses using Pseudo Response Generation by Large Language Models,Yes.,1.,"""To address this issue, we propose an LLM-based method to automate parts of the grounded theory approach (GTA), a representative approach of the qualitative data analysis.""",2024
HybridBERT - Making BERT Pretraining More Efficient Through Hybrid Mixture of Attention Mechanisms,Yes.,5.,"""The pretraining phase is extremely compute-intensive and requires several high-performance computing devices like GPUs and several days or even months of training, but it is crucial for the model to capture global knowledge and also has a significant impact on the fine-tuning task. This is a major",2024
Catch Me If You GPT: Tutorial on Deepfake Texts,Yes.,2.,"""While this is a celebratory feat for NLG, it poses new security risks (e.g., the generation of misinformation).""",2024
Combating Security and Privacy Issues in the Era of Large Language Models,Yes.,5.,"""This tutorial seeks to provide a systematic summary of risks and vulnerabilities in security, privacy and copyright aspects of large language models (LLMs), and most recent solutions to address those issues."" and ""will conclude the discussions by outlining emergent challenges in security, privacy and reliability of LLMs that deserve timely investigation by the community.""",2024
Explanation in the Era of Large Language Models,Yes.,4.,"""the sheer sizes and the opaque nature of LLMs introduce challenges to the explanation methods.""",2024
Human-AI Interaction in the Age of LLMs,Yes.,2.,"""exploring the challenges, opportunities, and ethical considerations that arise in this dynamic landscape.""",2024
