Source,Title,Talks about LLMs,Rate,Evidence,Year,Month,Keyphrase
emnlp2023,Ignore This Title and HackAPrompt: Exposing Systemic Vulnerabilities of LLMs Through a Global Prompt Hacking Competition,Yes.,5,deployment increasingly plague prompt injection jailbreake collectively prompt hacking manipulate ignore original instruction instead follow potentially malicious one,2023,December,"Keyphrase: ""Vulnerability to manipulation"""
emnlp2023,Prompting is not a substitute for probability measurements in large language models,Yes.,5,broadly find llmsÃ¢ metalinguistic judgment inferior quantity directly derive representation furthermore consistency get bad prompt query diverge direct measurement nextword probability,2023,December,"Keyphrase: ""Inferior metalinguistic judgment"""
emnlp2023,"Fine-tuned LLMs Know More, Hallucinate Less with Few-Shot Sequence-to-Sequence Semantic Parsing over Wikidata",Yes.,5,many question correctly also hallucinate give wrong,2023,December,"Keyphrase: ""Hallucinations and incorrect answers"""
emnlp2023,Beyond Factuality: A Comprehensive Evaluation of Large Language Models as Knowledge Generators,Yes.,4,community concern abound regard factuality potential implication use uncensored surprisingly study reveal factuality even low significantly hinder downstream,2023,December,"Keyphrase: ""Factuality concerns"""
emnlp2023,Compressing Context to Enhance Inference Efficiency of Large Language Models,Yes.,5,however face challenge manage long document extended conversation due significantly increase computational requirement memory inference time potential context truncation exceed llmÃ¢s fix context length,2023,December,"Keyphrase: ""Challenges with long documents and extended conversations"""
emnlp2023,Can You Follow Me? Testing Situational Understanding for ChatGPT,Yes.,5,previous work identify certain su limitation nonchatbot find despite fundamental simplicity modelÃ¢s performance reflect inability retain correct environment state across time performance degradation largely chatgpt nonpersistent incontext memory although access full dialogue history susceptible,2023,December,"Keyphrase: ""Memory limitations"""
emnlp2023,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,Yes.,5,chatgpt prone hallucination ie content conflict source verify factual moreover exist face great challenge recognize hallucination text,2023,December,"Keyphrase: ""Hallucination and factual inaccuracies"""
emnlp2023,Enabling Large Language Models to Generate Text with Citations,Yes.,5,prone hallucination current considerable room improvementÃ¢for example eli dataset even good lack complete citation support   time,2023,December,"Keyphrase: ""Incomplete citation support"""
emnlp2023,Counting the Bugs in ChatGPTÃ¢â‚¬â„¢s Wugs: A Multilingual Investigation into the Morphological Capabilities of a Large Language Model,Yes.,5,find chatgpt massively underperform purposebuilt particularly english overall resultsÃ¢through lens morphologyÃ¢cast new light linguistic capability chatgpt suggest claim humanlike skill premature misleading,2023,December,"Keyphrase: ""Underperformance in specialized tasks"""
emnlp2023,MAF: Multi-Aspect Feedback for Improving Reasoning in Large Language Models,Yes.,5,however come natural reasoning lm still face challenge hallucination incorrect intermediate reasoning step make mathematical error,2023,December,"Keyphrase: ""Challenges in natural reasoning"""
emnlp2023,Do Language Models Have a Common Sense regarding Time? Revisiting Temporal Commonsense Reasoning in the Era of Large Language Models,Yes.,5,finding reveal nuance depiction capability limitation within temporal reasoning offer comprehensive reference future research pivotal domain,2023,December,"Keyphrase: ""Limitation in temporal reasoning"""
emnlp2023,Evaluation of African American Language Bias in Natural Language Generation,Yes.,4,present evidence dialectal bias six pretraine performance gap,2023,December,"Keyphrase: ""Dialectal bias"""
emnlp2023,An Investigation of LLMsÃ¢â‚¬â„¢ Inefficacy in Understanding Converse Relations,Yes.,5,suggest often resort shortcut learning still face challenge propose benchmark,2023,December,"Keyphrase: ""Reliance on shortcuts"""
emnlp2023,HiddenTables and PyQTax: A Cooperative Game and Dataset For TableQA to Ensure Scale and Data Privacy Across a Myriad of Taxonomies,Yes.,5,myriad different face common challenge contextually analyze table questionanswere challenge engender   finite context window table   multifacete discrepancy amongst tokenization pattern cell boundary   various limitation stem confidentiality process use external,2023,December,"Keyphrase: ""Limited contextual analysis"""
emnlp2023,"Speak, Memory: An Archaeology of Books Known to ChatGPT/GPT-4",Yes.,4,ability memorize unknown set book complicate assessment measurement validity cultural analytic contaminate test show much well memorized book nonmemorize book downstream,2023,December,"Keyphrase: ""Over-reliance on memorization"""
emnlp2023,Copyright Violations and Large Language Models,Yes.,5,work explore issue copyright violation lens verbatim memorization focus possible redistribution copyright text,2023,December,"Keyphrase: ""Risk of copyright violation"""
emnlp2023,Symbolic Planning and Code Generation for Grounded Dialogue,Yes.,5,limit applicability ground taskoriented dialogue difficult steer toward objective fail handle novel grounding,2023,December,"Keyphrase: ""Difficulty in handling novel grounding"""
emnlp2023,Have LLMs Advanced Enough? A Challenging Problem Solving Benchmark For Large Language Models,Yes.,5,typical failure mode gpt good error algebraic manipulation difficulty ground abstract concept mathematical equation accurately failure retrieve relevant domainspecific concept,2023,December,"Keyphrase: ""Struggles with domain-specific concepts"""
emnlp2023,Federated Learning of Large Language Models with Parameter-Efficient Prompt Tuning and Adaptive Optimization,Yes.,4,training process generally incur update significant parameter limit applicability fl technique tackle real scenario prompt tuning significantly reduce number parameter update either incur performance degradation low training efficiency decentralized generally nonindependent identically distribute,2023,December,"Keyphrase: ""Limited training efficiency"""
emnlp2023,Active Retrieval Augmented Generation,Yes.,5,despite remarkable ability lm comprehend tendency hallucinate create factually inaccurate,2023,December,"Keyphrase: ""Factually inaccurate hallucinations"""
emnlp2023,Reasoning with Language Model is Planning with World Model,Yes.,5,however still struggle problem easy human action plan execute complex math logical reasoning due llmsÃ¢ absence internal world predict world states eg environment status variable value simulate,2023,December,"Keyphrase: ""Limited logical reasoning"""
emnlp2023,SOUL: Towards Sentiment and Opinion Understanding of Language,Yes.,5,experimental indicate soul challenging small performance gap   compare human performance furthermore evaluation conduct human expert gpt highlight limitation small reasoningbase justification,2023,December,"Keyphrase: ""Limited reasoning and justification"""
emnlp2023,Detecting and Mitigating Hallucinations in Multilingual Summarisation,Yes.,5,hallucination pose significant challenge reliability neural abstractive summarisation assess broad range multilingual find tend hallucinate often different english,2023,December,"Keyphrase: ""Hallucination in abstractive summarization"""
emnlp2023,EasyQuant: An Efficient Data-free Quantization Algorithm for LLMs,Yes.,5,however expensive computation high memory requirement prohibitive deployment quantize calibrate use sample training might affect generalization quantize unknown case,2023,December,"Keyphrase: ""High computational cost and memory requirements"""
emnlp2023,EpiK-Eval: Evaluation for Language Models as Epistemic Models,Yes.,5,evaluation across various reveal significant weakness domain contend shortcoming stem intrinsic nature prevail training objective,2023,December,"Keyphrase: ""Weakness in domain adaptation"""
emnlp2023,SummEdits: Measuring LLM Ability at Factual Reasoning Through The Lens of Summarization,Yes.,5,struggle summedit performance close random chance bestperforme gpt still   estimate human performance highlight gap llmsÃ¢ ability reason fact detect inconsistency occur,2023,December,"Keyphrase: ""Limited reasoning ability"""
emnlp2023,Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,Yes.,4,show evidence speaker number support overcharge obtain poor,2023,December,"Keyphrase: ""Lack of context understanding"""
emnlp2023,Appraising the Potential Uses and Harms of LLMs for Medical Systematic Reviews,Yes.,5,however sometimes inaccurate potentially mislead text hallucination omission healthcare make unusable well dangerous bad also raise concern regard confidently compose inaccurate potential downstream harm include decrease accountability proliferation lowquality review,2023,December,"Keyphrase: ""Inaccuracies and potential dangers"""
emnlp2023,Large Language Models Meet Open-World Intent Discovery and Recognition: An Evaluation of ChatGPT,Yes.,5,summarize discuss challenge face include cluster domainspecific understanding crossdomain incontext learn scenario,2023,December,"Keyphrase: ""Domain-specific understanding challenges"""
emnlp2023,Improving Diversity of Demographic Representation in Large Language Models via Collective-Critiques and Self-Voting,Yes.,5,crucial challenge generative diversity,2023,December,"Keyphrase: ""Lack of generative diversity"""
emnlp2023,Hidding the Ghostwriters: An Adversarial Evaluation of AI-Generated Student Essay Detection,Yes.,4,utilization carry inherent risk include limit plagiarism dissemination fake news issue educational exercise exist detector easily circumvent use straightforward automatic adversarial attack,2023,December,"Keyphrase: ""Vulnerability to adversarial attacks"""
emnlp2023,Synthetic Data Generation with Large Language Models for Text Classification: Potential and Limitations,Yes.,5,effectiveness llmgenerate synthetic support training inconsistent across different classification subjectivity level instance level negatively associate performance train synthetic,2023,December,"Keyphrase: ""Inconsistent synthetic training effectiveness"""
emnlp2023,Learning from Mistakes via Cooperative Study Assistant for Large Language Models,Yes.,5,however feedback often inaccurate thereby limit benefit,2023,December,"Keyphrase: ""Inaccurate feedback"""
emnlp2023,Conceptor-Aided Debiasing of Large Language Models,Yes.,5,pretraine reflect inherent social bias training corpus many propose mitigate issue often fail debias sacrifice accuracy,2023,December,"Keyphrase: ""Inherent social bias"""
emnlp2023,CoMPosT: Characterizing and Evaluating Caricature in LLM Simulations,Yes.,5,grow concern simulation flatten caricature persona aim simulate fail capture multidimensionality people perpetuate stereotype,2023,December,"Keyphrase: ""Simplistic caricatures"""
emnlp2023,An Empirical Study of Translation Hypothesis Ensembling with Large Language Models,Yes.,4,become onefitsmany solution sometimes hallucinate produce unreliable,2023,December,"Keyphrase: ""Unreliable hallucinations"""
emnlp2023,FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,Yes.,5,evaluate factuality longform text lm nontrivial   generation often contain mixture support unsupported piece information make binary judgment quality inadequate   human evaluation timeconsume,2023,December,"Keyphrase: ""Mixed factual accuracy"""
emnlp2023,Calc-X and Calcformers: Empowering Arithmetical Chain-of-Thought through Interaction with Symbolic Systems,Yes.,5,notoriously inclined make factual error require arithmetic computation,2023,December,"Keyphrase: ""Factual errors in arithmetic computation"""
emnlp2023,StereoMap: Quantifying the Awareness of Human-like Stereotypes in Large Language Models,Yes.,4,observe encode perpetuate harmful association present training study contribute understanding perceive represent social group shed light potential bias perpetuation harmful association,2023,December,"Keyphrase: ""Perpetuation of harmful associations"""
emnlp2023,Large Language Models: The Need for Nuance in Current Debates and a Pragmatic Perspective on Understanding,Yes.,5,critically assess three point recur critique capacity,2023,December,"Keyphrase: ""Limited capacity for critical analysis"""
emnlp2023,Question Answering as Programming for Solving Time-Sensitive Questions,Yes.,5,experiment reveal aforementioned problem still pose significant challenge exist attribute llmsÃ¢ inability rigorous reasoning base surfacelevel text semantic,2023,December,"Keyphrase: ""Limited reasoning ability"""
emnlp2023,Context Compression for Auto-regressive Transformers with Sentinel Tokens,Yes.,5,quadratic complexity attention module make gradually become bulk compute transformerbase generation moreover excessive keyvalue cache arise deal long also bring severe issue memory footprint inference latency,2023,December,"Keyphrase: ""Quadratic attention complexity"""
emnlp2023,MoPe: Model Perturbation based Privacy Attacks on Language Models,Yes.,5,recent work show unintentionally leak sensitive information present training,2023,December,"Keyphrase: ""Sensitive information leakage"""
emnlp2023,Empower Nested Boolean Logic via Self-Supervised Curriculum Learning,Yes.,5,find pretraine even include behave like random selector face multinested boolean logic human handle ease,2023,December,"Keyphrase: ""Lack of logical reasoning"""
emnlp2023,KCTS: Knowledge-Constrained Tree Search Decoding with Token-Level Hallucination Detection,Yes.,5,demonstrate remarkable humanlevel natural generation capability however potential misinformation often call hallucination problem pose significant risk deployment,2023,December,"Keyphrase: ""Misinformation and hallucination risk"""
emnlp2023,Language Models with Rationality,Yes.,5,lack interpretability grow impediment widespread use resolve inconsistency may exist,2023,December,"Keyphrase: ""Lack of interpretability"""
emnlp2023,Mitigating Temporal Misalignment by Discarding Outdated Facts,Yes.,5,able retain vast amount world see pretraine prone go date nontrivial update,2023,December,"Keyphrase: ""Difficulty in staying up-to-date"""
emnlp2023,FANToM: A Benchmark for Stress-testing Machine Theory of Mind in Interactions,Yes.,5,show fantom challenge stateoftheart significantly bad human even chainofthought reasoning finetune,2023,December,"Keyphrase: ""Challenges in chain-of-thought reasoning"""
emnlp2023,Dr ChatGPT tell me what I want to hear: How different prompts impact health answer correctness,Yes.,5,reveal pass prompt bias detriment correctness,2023,December,"Keyphrase: ""Prompt bias affecting correctness"""
emnlp2023,CRAB: Assessing the Strength of Causal Relationships Between Real-world Events,Yes.,5,find bad causal reasoning event derive complex causal structure compare simple linear causal chain,2023,December,"Keyphrase: ""Limited causal reasoning"""
emnlp2023,Hallucination Detection for Generative Large Language Models by Bayesian Sequential Estimation,Yes.,5,propensity inaccurate nonfactual content term Ã¢Å“hallucinationsÃ¢ remain significant challenge,2023,December,"Keyphrase: ""Inaccurate hallucinations"""
emnlp2023,Consistency Analysis of ChatGPT,Yes.,5,prompt design fewshot learning employ unlikely ultimate solution resolve inconsistency issue,2023,December,"Keyphrase: ""Limited few-shot learning capabilities"""
emnlp2023,Mitigating Societal Harms in Large Language Models,Yes.,5,provide overview potential social issue generation include toxicity social biases misinformation factual inconsistency privacy violation,2023,December,"Keyphrase: ""Social issues and biases"""
emnlp2023,H2O Open Ecosystem for State-of-the-art Large Language Models,Yes.,5,represent revolution ai however also pose many significant risk presence biased private copyright harmful text,2023,December,"Keyphrase: ""Biased and harmful content"""
emnlp2023,FLEEK: Factual Error Detection and Correction with Evidence Retrieved from External Knowledge,Yes.,5,llmsÃ¢ inability attribute claim external tendency hallucinate make difficult rely response,2023,December,"Keyphrase: ""Difficulty in attributing claims"""
emnlp2023,CLEVA: Chinese Language Models EVAluation Platform,Yes.,4,absence comprehensive chinese benchmark thoroughly assess modelÃ¢s performance unstandardized incomparable prompting procedure prevalent risk contamination pose major challenge current evaluation chinese,2023,December,"Keyphrase: ""Lack of standardized evaluation"""
emnlp2023,LM-Polygraph: Uncertainty Estimation for Language Models,Yes.,5,however significant challenge arise often Ã¢Å“hallucinateÃ¢ ie fabricate fact without provide user apparent mean discern veracity statement,2023,December,"Keyphrase: ""Fabricating facts"""
emnlp2023,CarExpert: Leveraging Large Language Models for In-Car Conversational Question Answering,Yes.,5,leverage domainspecific question suffer severe limitation tend hallucinate due training collection time use offtheshelf complex user utterance wrong retrieval retrievalaugmente generation furthermore due,2023,December,"Keyphrase: ""Hallucination in domain-specific questions"""
emnlp2023,DELPHI: Data for Evaluating LLMsÃ¢â‚¬â„¢ Performance in Handling Controversial Issues,Yes.,4,dataset present challenge concern recency safety fairness bias,2023,December,"Keyphrase: ""Challenges with recency, safety, fairness, and bias"""
naacl2024,Assessing Logical Puzzle Solving in Large Language Models: Insights from a Minesweeper Case Study,Yes.,5,despite advancement remain open question whether fundamentally capable reasoning planning primarily rely recall synthesize information training experiment include trial advanced gpt indicate possess foundational ability require struggle integrate coherent,2024,June,"Keyphrase: ""Limited reasoning and planning capabilities"""
naacl2024,Measuring and Improving Chain-of-Thought Reasoning in Vision-Language Models,Yes.,5,even bestperforme unable demonstrate strong visual reasoning capability consistency indicate substantial effort require enable vlm visual reasoning systematically consistently human,2024,June,"Keyphrase: ""Weak visual reasoning"""
naacl2024,Head-to-Tail: How Knowledgeable are Large Language Models (LLMs)? A.K.A. Will LLMs Replace Knowledge Graphs?,Yes.,5,show exist still far perfect term grasp factual especially fact torsototail entity,2024,June,"Keyphrase: ""Limited factual understanding"""
naacl2024,Embrace Divergence for Richer Insights: A Multi-document Summarization Benchmark and a Case Study on Summarizing Diverse Information from News Articles,Yes.,5,analysis suggest despite extraordinary capability singledocument summarization propose remain complex challenge mainly due limited coverage gpt able cover   diverse information average,2024,June,"Keyphrase: ""Limited coverage"""
naacl2024,Assessing Factual Reliability of Large Language Model Knowledge,Yes.,5,factual typically evaluate use accuracy yet metric capture vulnerability hallucinationinduce factor like prompt context variability,2024,June,"Keyphrase: ""Vulnerability to hallucination-inducing factors"""
naacl2024,A Closer Look at the Self-Verification Abilities of Large Language Models in Logical Reasoning,Yes.,5,despite significant advancement make still struggle complex logical reasoning problem main finding suggest exist could struggle identify fallacious reasoning step accurately may fall short guarantee validity selfverification,2024,June,"Keyphrase: ""Struggles with complex logical reasoning"""
naacl2024,On Large Language ModelsÃ¢â‚¬â„¢ Hallucination with Regard to Known Facts,Yes.,5,successful factoid question also prone hallucination investigate phenomenon possess correct yet still hallucinate perspective inference dynamic,2024,June,"Keyphrase: ""Hallucination tendency"""
naacl2024,"Language Models Hallucinate, but May Excel at Fact Verification",Yes.,5,frequently Ã¢Å“hallucinateÃ¢ nonfactual analyze reliance highquality evidence well deficiency robustness generalization ability,2024,June,"Keyphrase: ""Nonfactual hallucinations and poor generalization"""
naacl2024,Ensuring Safe and High-Quality Outputs: A Guideline Library Approach for Language Models,Yes.,5,exhibit impressive capability also present risk biased content generation privacy issue,2024,June,"Keyphrase: ""Biased content generation"""
naacl2024,"E5: Zero-shot Hierarchical Table Analysis using Augmented LLMs via Explain, Extract, Execute, Exhibit and Extrapolate",Yes.,4,application hierarchical table constrain reliance manually curate exemplar modelÃ¢s token capacity limitation,2024,June,"Keyphrase: ""Token capacity limitation"""
naacl2024,"S3Eval: A Synthetic, Scalable, Systematic Evaluation Suite for Large Language Model",Yes.,5,rapid development lead great stride capability like longcontext understanding reasoning however able process long context become challenging evaluate whether acquire certain capability since length,2024,June,"Keyphrase: ""Challenges in processing long contexts"""
naacl2024,MMC: Advancing Multimodal Chart Understanding with Large-scale Instruction Tuning,Yes.,4,extensive experiment mmcbenchmark reveal limitation exist lmms correctly interpret chart even recent gptv,2024,June,"Keyphrase: ""Difficulty in interpreting charts"""
naacl2024,Large Language Models Help Humans Verify Truthfulness Ã¢â‚¬â€œ Except When They Are Convincingly Wrong,Yes.,5,user read explanation significantly efficient use search engine achieve similar accuracy however overrely explanation wrong natural explanation may reliable replacement read retrieve,2024,June,"Keyphrase: ""Overreliance on unreliable explanations"""
naacl2024,SELF-GUARD: Empower the LLM to Safeguard Itself,Yes.,4,safety training involve finetune adversarial sample activate llmÃ¢s capability jailbreak however always effective counter new attack often lead potential performance degradation safeguard hand use,2024,June,"Keyphrase: ""Vulnerability to adversarial attacks"""
naacl2024,MART: Improving LLM Safety with Multi-round Automatic Red-Teaming,Yes.,4,redteame common practice mitigate unsafe behavior involve thoroughly assess identify potential flaw address responsible accurate response effective manual redteame costly exist automatic redteame typically discover safety risk,2024,June,"Keyphrase: ""Limited ability to mitigate unsafe behavior"""
naacl2024,Are Multilingual LLMs Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings,Yes.,5,experiment reveal,2024,June,Keyphrase: Lack of specificity
naacl2024,The Colorful Future of LLMs: Evaluating and Improving LLMs as Emotional Supporters for Queer Youth,Yes.,5,however tend generic empathetic enough lack personalization nonreliable potentially harmful advice,2024,June,"Keyphrase: ""Lack of personalization"""
naacl2024,ReTA: Recursively Thinking Ahead to Improve the Strategic Reasoning of Large Language Models,Yes.,5,experimental demonstrate exist stateoftheart reasoning scheme largely ineffective strategic reasoning,2024,June,"Keyphrase: ""Ineffective strategic reasoning"""
naacl2024,"First Tragedy, then Parse: History Repeats Itself in the New Era of Large Language Models",Yes.,4,argue disparity scale transient researcher work reduce rather hardware still bottleneck many application meaningful realistic evaluation still open problem still room speculative approach,2024,June,"Keyphrase: ""Lack of realistic evaluation"""
naacl2024,How Trustworthy are Open-Source LLMs? An Assessment under Malicious Demonstrations Shows their Vulnerabilities,Yes.,5,however still limited understanding trustworthiness scrutinize across eight different aspect include toxicity stereotype ethic hallucination fairness sycophancy privacy robustness adversarial demonstration analysis reveal superior performance general nlp always great trustworthiness fact,2024,June,"Keyphrase: ""Limited trustworthiness"""
naacl2024,Paraphrase and Solve: Exploring and Exploiting the Impact of Surface Form on Mathematical Reasoning in Large Language Models,Yes.,5,find subtle alteration surface form significantly impact distribution solve rate expose modelÃ¢s lack robustness sensitivity surface form reason complex problem,2024,June,"Keyphrase: ""Lack of robustness to subtle alterations"""
naacl2024,Do Localization Methods Actually Localize Memorized Data in LLMs? A Tale of Two Benchmarks,Yes.,4,localization never systematically directly evaluate even successful identify neuron specific single memorized sequence,2024,June,"Keyphrase: ""Limited localization evaluation"""
naacl2024,Confronting LLMs with Traditional ML: Rethinking the Fairness of Large Language Models in Tabular Classifications,Yes.,5,show exhibit harmful social bias reflect stereotype inequality present society tend inherit social bias training significantly impact fairness tabular classification social,2024,June,"Keyphrase: ""Harmful social bias"""
naacl2024,Ada-LEval: Evaluating long-context LLMs with length-adaptable benchmarks,Yes.,5,evaluation demonstrate limitation current especially ultralongcontext setting,2024,June,"Keyphrase: ""Limitation in ultralong context setting"""
naacl2024,TRAQ: Trustworthy Retrieval Augmented Question Answering via Conformal Prediction,Yes.,5,frequently incorrect response base madeup fact call hallucination,2024,June,"Keyphrase: ""Fabricated responses"""
naacl2024,On-the-fly Definition Augmentation of LLMs for Biomedical NER,Yes.,5,despite general capability still struggle biomedical ner difficult due presence specialized terminology lack training,2024,June,"Keyphrase: ""Struggles with specialized terminology"""
naacl2024,"This Land is Your, My Land: Evaluating Geopolitical Bias in Language Models through Territorial Disputes",Yes.,5,show recall certain geographical inconsistently query different languagesÃ¢a phenomenon term geopolitical bias use propose metric discover numerous inconsistency respond different highlight brittle tailor response depend cue interaction context,2024,June,"Keyphrase: ""Geopolitical bias and inconsistency"""
naacl2024,Towards Improved Multi-Source Attribution for Long-Form Answer Generation,Yes.,5,current struggle attribution longform response require reasoning multiple evidence source,2024,June,"Keyphrase: ""Limited reasoning with multiple evidence sources"""
naacl2024,Can Knowledge Graphs Reduce Hallucinations in LLMs? : A Survey,Yes.,5,contemporary prone produce hallucination stem mainly gap within,2024,June,"Keyphrase: ""Hallucination tendency"""
naacl2024,LM-Infinite: Zero-Shot Extreme Length Generalization for Large Language Models,Yes.,5,todayÃ¢s typically train short text segment eg k tokens due quadratic complexity transformer architecture performance suffer drastically long encounter training substantially limit application realworld,2024,June,"Keyphrase: ""Limitation in handling long text segments"""
naacl2024,Enhancing Contextual Understanding in Large Language Models through Contrastive Decoding,Yes.,5,tend inadequately integrate context text generation rely excessively encode prior parameter potentially text factual inconsistency contextually unfaithful content,2024,June,"Keyphrase: ""Contextual inconsistency"""
naacl2024,Fixing Rogue Memorization in Many-to-One Multilingual Translators of Extremely-Low-Resource Languages by Rephrasing Training Samples,Yes.,5,however also find manytoone multilingual tendency learn rogue strategy store string training structure retrieve instead actual translation,2024,June,"Keyphrase: ""Rogue translation strategy"""
naacl2024,Flames: Benchmarking Value Alignment of LLMs in Chinese,Yes.,4,still significant gap llmsÃ¢ deep alignment human value achieve genuine harmlessness finding indicate evaluate demonstrate relatively poor performance flame particularly safety fairness dimension,2024,June,"Keyphrase: ""Poor alignment with human values"""
naacl2024,Effective Long-Context Scaling of Foundation Models,Yes.,5,delve llamaÃ¢s position encoding discuss key limitation long,2024,June,"Keyphrase: ""Limited position encoding"""
naacl2024,Aligning as Debiasing: Causality-Aware Alignment via Reinforcement Learning with Interventional Feedback,Yes.,5,often biased contain offensive toxic stereotypical text,2024,June,"Keyphrase: ""Biased and toxic text"""
naacl2024,Fake Alignment: Are LLMs Really Aligned Well?,Yes.,5,study investigate underexplored issue evaluation namely substantial discrepancy performance multiplechoice question openende question,2024,June,"Keyphrase: ""Discrepancy in evaluation performance"""
naacl2024,You donÃ¢â‚¬â„¢t need a personality test to know these models are unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments,Yes.,5,experiment   different reveal even simple perturbation significantly downgrade modelÃ¢s questionanswere ability low negation consistency,2024,June,"Keyphrase: ""Low negation consistency"""
naacl2024,MacGyver: Are Large Language Models Creative Problem Solvers?,Yes.,5,contrast expose variety specialized attempt broad problem fail propose physicallyinfeasible action finally provide detailed error analysis demonstrate potential enhance problemsolving ability novel prompt technique iterative step,2024,June,"Keyphrase: ""Limited problem-solving ability"""
naacl2024,Enhancing Large Language Models Against Inductive Instructions with Dual-critique Prompting,Yes.,5,uncover universal vulnerability among process inductive instruction,2024,June,"Keyphrase: ""Limited inductive instruction"""
naacl2024,XSTest: A Test Suite for Identifying Exaggerated Safety Behaviours in Large Language Models,Yes.,5,without proper safeguard readily follow malicious instruction toxic content use test suite highlight systematic failure mode stateoftheart well general challenge build safe,2024,June,"Keyphrase: ""Vulnerability to malicious instructions"""
naacl2024,Understanding the Capabilities and Limitations of Large Language Models for Cultural Commonsense,Yes.,5,significant discrepancy performance test culturespecific commonsense different culture llmsÃ¢ general commonsense capability affect cultural context use query impact performance culturalrelate,2024,June,"Keyphrase: ""Cultural bias in commonsense understanding"""
naacl2024,Do Large Language Models Rank Fairly? An Empirical Study on the Fairness of LLMs as Rankers,Yes.,4,however fairness remain largely unexplored analysis delve handle query document relate attribute aim uncover bias ranking algorithm,2024,June,"Keyphrase: ""Unexplored fairness issues"""
naacl2024,RESPROMPT: Residual Connection Prompting Advances Multi-Step Reasoning in Large Language Models,Yes.,5,chainofthought cot impressively unlock reasoning potential yet fall short tackle problem require multiple reasoning step limitation arise complex nature multistep reasoning process,2024,June,"Keyphrase: ""Struggles with multi-step reasoning"""
naacl2024,Effective Large Language Model Adaptation for Improved Grounding and Citation Generation,Yes.,4,however one major issue towards widespread deployment real world hallucinate factual,2024,June,"Keyphrase: ""Hallucination and factual inaccuracies"""
naacl2024,Global Gallery: The Fine Art of Painting Culture Portraits through Multilingual Instruction Tuning,Yes.,4,also uncover inconsistency bias particularly nonwestern culture,2024,June,"Keyphrase: ""Inconsistency and bias in non-Western cultures"""
naacl2024,ContraDoc: Understanding Self-Contradictions in Documents with Large Language Models,Yes.,5,gpt good outperform human find still unreliable struggle selfcontradiction require nuance context,2024,June,"Keyphrase: ""Unreliable self-contradiction"""
naacl2024,A Survey of Confidence Estimation and Calibration in Large Language Models,Yes.,4,despite impressive performance unreliable due factual error generation outline challenge summarize recent technical advancement confidence estimation calibration,2024,June,"Keyphrase: ""Unreliable factual error generation"""
naacl2024,"Attacks, Defenses and Evaluations for LLM Conversation Safety: A Survey",Yes.,4,however risk misuse harmful response raise serious societal concern spur recent research conversation safety,2024,June,"Keyphrase: ""Risk of harmful responses"""
naacl2024,MindÃ¢â‚¬â„¢s Mirror: Distilling Self-Evaluation Capability and Comprehensive Thinking from Large Language Models,Yes.,4,massive scale computational demand present formidable challenge consider practical deployment resourceconstraine environment risk distilled slm may still inherit flawed reasoning hallucination,2024,June,"Keyphrase: ""Computational demands and flawed reasoning"""
naacl2024,Beyond Performance: Quantifying and Mitigating Label Bias in LLMs,Yes.,4,however recent work reveal also exhibit label biasÃ¢an undesirable preference toward predict certain investigation reveal substantial label bias debiase attempt emphasize label bias prediction remain barrier reliability,2024,June,"Keyphrase: ""Label bias"""
naacl2024,Instructing Large Language Models to Identify and Ignore Irrelevant Conditions,Yes.,5,however seriously confuse irrelevant condition low accuracy,2024,June,"Keyphrase: ""Confusion and low accuracy"""
naacl2024,Knowing What LLMs DO NOT Know: A Simple Yet Effective Self-Detection Method,Yes.,5,recent literature reveal hallucinate intermittently impede reliability utilization,2024,June,"Keyphrase: ""Intermittent hallucinations"""
naacl2024,Are Large Language Model Temporally Grounded?,Yes.,5,generally find lag significantly behind human performance well smallscale specialise lm crucially struggle selfconsistency display incoherent behaviour least   prediction moreover public instruction,2024,June,"Keyphrase: ""Incoherent behavior and lagging behind human performance"""
naacl2024,R-Tuning: Instructing Large Language Models to Say Ã¢â‚¬ËœI DonÃ¢â‚¬â„¢t KnowÃ¢â‚¬â„¢,Yes.,5,predominant issue propensity nonexistent fact concern term hallucination question parametric try make something fail indicate lack,2024,June,"Keyphrase: ""Hallucination propensity"""
naacl2024,LeanReasoner: Boosting Complex Logical Reasoning with Lean,Yes.,5,often struggle complex logical reasoning due logical inconsistency inherent difficulty reasoning,2024,June,"Keyphrase: ""Struggles with logical reasoning"""
naacl2024,UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback,Yes.,4,many struggle consistently ui code compile produce visually relevant design,2024,June,"Keyphrase: ""Struggles with generating visually relevant design"""
naacl2024,Deceptive Semantic Shortcuts on Reasoning Chains: How Far Can Models Go without Hallucination?,Yes.,5,despite high performance across numerous benchmark recent research unveil suffering hallucination unfaithful reasoning experiment show exist follow correct reasoning path resist attempt greedy shortcut gpt achieve   accuracy,2024,June,"Keyphrase: ""Unfaithful reasoning"""
naacl2024,Learning to Compress Prompt in Natural Language Formats,Yes.,5,great process multiple natural processing ability constrain inferior performance long context slow inference speed high cost compute,2024,June,"Keyphrase: ""Slow inference speed and high compute cost"""
