Title,Talks about LLMs,Rate,Evidence
Advancing Large Multi-modal Models with Explicit Chain-of-Reasoning and Visual Question Generation,Yes.,1.,"""This paper presents a novel approach to imbue an LMM with the ability to conduct explicit reasoning based on visual content and textual instructions."""
LLMs for Robotic Object Disambiguation,Yes.,5.,"""Despite multiple query attempts with zero-shot prompt engineering (details can be found in the Appendix), the LLM struggled to inquire about features not explicitly provided in the scene description."""
VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks,Yes.,5.,"""Through extensive quantitative and qualitative analysis, we identify several limitations of text-only LLM agents, and reveal gaps in the capabilities of state-of-the-art multimodal language agents."""
Quantized Side Tuning: Fast and Memory-Efficient Tuning of Quantized Large Language Models,Yes.,1.,"""Existing approaches to finetuning an LLM either focus on parameter-efficient finetuning, which only updates a small number of trainable parameters, or attempt to reduce the memory footprint during the training phase of the finetuning."""
DocFinQA: A Long-Context Financial Reasoning Dataset,Yes.,5.,"""DocFinQA proves a significant challenge for even state-of-the-art systems. We also provide a case-study on the longest documents in DocFinQA and find that models particularly struggle on these documents."""
Combining Confidence Elicitation and Sample-based Methods for Uncertainty Quantification in Misinformation Mitigation,Yes.,5.,"""existing approaches struggle with hallucinations and overconfident predictions."""
CMMMU: A Chinese Massive Multi-discipline Multimodal Understanding Benchmark,Yes.,1.,"""We evaluate 11 open-source LLMs and one proprietary GPT-4V(ision). Even GPT-4V only achieves accuracies of 42%, indicating a large space for improvement."""
Prompting open-source and commercial language models for grammatical error correction of English learner text,Yes.,3.,"""Our results indicate that LLMs do not always outperform supervised English GEC models except in specific contexts"" and ""We find that several open-source models outperform commercial ones on minimal edit benchmarks, and that in some settings zero-shot prompting is just as competitive as few-shot prompting."""
FinSQL: Model-Agnostic LLMs-based Text-to-SQL Framework for Financial Analysis,Yes.,1.,"""propose a model-agnostic Large Language Model (LLMs)-based Text-to-SQL framework for financial analysis."""
Evaluating Large Language Models on the GMAT: Implications for the Future of Business Education,Yes.,2.,"""While AI's promise in education, assessment, and tutoring is clear, challenges remain."""
Divide and Conquer: Language Models can Plan and Self-Correct for Compositional Text-to-Image Generation,Yes.,1.,"""Despite significant advancements in text-to-image models for generating high-quality images, these methods still struggle to ensure the controllability of text prompts over images in the context of complex text prompts, especially when it comes to retaining object attributes and relationships."""
Are self-explanations from Large Language Models faithful?,Yes.,5.,"""convincing and wrong self-explanations can lead to unsupported confidence in LLMs, thus increasing risk"" and ""showing self-explanations should not be trusted in general."""
MultiHop-RAG: Benchmarking Retrieval-Augmented Generation for Multi-Hop Queries,Yes.,4.,"""However, we find that existing RAG systems are inadequate in answering multi-hop queries, which require retrieving and reasoning over multiple pieces of supporting evidence."""
Zero-Shot RTL Code Generation with Attention Sink Augmented Large Language Models,Yes.,1.,"""This paper discusses the possibility of exploiting large language models to streamline the code generation process in hardware design."""
Tuning Language Models by Proxy,Yes.,2.,"""tuning these models has become increasingly resource-intensive, or impossible when model weights are private."""
CMMU: A Benchmark for Chinese Multi-modal Multi-type Question Understanding and Reasoning,Yes.,4.,"""However, the mastery of domain-specific knowledge, which is essential for evaluating the intelligence of MLLMs, continues to be a challenge."" and ""The results demonstrate that CMMU poses a significant challenge to the recent MLLMs."""
JumpCoder: Go Beyond Autoregressive Coder via Online Modification,Yes.,5.,"""While existing code large language models (code LLMs) exhibit impressive capabilities in code generation, their autoregressive sequential generation inherently lacks reversibility. This limitation hinders them from timely correcting previous missing statements during coding as humans do, often leading to error propagation and suboptimal performance."""
"PsySafe: A Comprehensive Framework for Psychological-based Attack, Defense, and Evaluation of Multi-agent System Safety",Yes.,2.,"""the potential misuse of this intelligence for malicious purposes presents significant risks."""
"Personal LLM Agents: Insights and Survey about the Capability, Efficiency and Security",Yes.,3.,"""Next, we discuss several key challenges to achieve intelligent, efficient and secure Personal LLM Agents, followed by a comprehensive survey of representative solutions to address these challenges."""
General Flow as Foundation Affordance for Scalable Robot Learning,Yes.,1.,"""Inspired by the success of large-scale auto-regressive prediction in Large Language Models (LLMs), we hold the belief that identifying an appropriate prediction target capable of leveraging large-scale datasets is crucial for achieving efficient and universal learning."""
L-AutoDA: Leveraging Large Language Models for Automated Decision-based Adversarial Attacks,Yes.,1.,"""This work introduces L-AutoDA (Large Language Model-based Automated Decision-based Adversarial Attacks), a novel approach leveraging the generative capabilities of Large Language Models (LLMs) to automate the design of these attacks."""
Assistive Large Language Model Agents for Socially-Aware Negotiation Dialogues,Yes.,1.,"""To address this limitation, we introduce a value impact based In-Context Learning (ICL) method to identify high-quality ICL examples for the LLM-based remediation agents."""
Pre-trained Large Language Models for Financial Sentiment Analysis,Yes.,1.,"""In this paper, we focus on the classification of financial news title, which is a challenging task due to a lack of large amount of training samples. To overcome this difficulty, we propose to adapt the pretrained large language models (LLMs) [1, 2, 3] to solve this problem."""
LightHouse: A Survey of AGI Hallucination,Yes.,4.,"""numerous studies indicate that hallucinations within these large models are a bottleneck hindering the development of AI research"" and ""Previous explorations have been conducted in researching hallucinations within LLMs (Large Language Models)."""
A Vision Check-up for Language Models,Yes.,1.,"""Although LLM-generated images do not look like natural images, results on image generation and the ability of models to correct these generated images indicate that precise modeling of strings can teach language models about numerous aspects of the visual world."""
Mementos: A Comprehensive Benchmark for Multimodal Large Language Model Reasoning over Image Sequences,Yes.,5.,"""we find that they struggle to accurately describe dynamic information about given image sequences, often leading to hallucinations/misrepresentations of objects and their corresponding behaviors."""
Health-LLM: Large Language Models for Health Prediction via Wearable Sensor Data,Yes.,2.,"""Large language models (LLMs) are capable of many natural language tasks, yet they are far from perfect."""
Improving Domain Adaptation through Extended-Text Reading Comprehension,Yes.,3.,"""regex-based patterns are incapable of parsing raw corpora using domain-specific knowledge. Furthermore, the question and answer pairs are extracted directly from the corpus in predefined formats offers limited context."""
Sketch-Guided Constrained Decoding for Boosting Blackbox Large Language Models without Logit Access,Yes.,3.,"""Its application is, however, typically restricted to models that give users access to next-token distributions (usually via softmax logits), which poses a limitation with blackbox large language models (LLMs)."""
Compensatory Biases Under Cognitive Load: Reducing Selection Bias in Large Language Models,Yes.,5.,"""Unfortunately, these models' inherent biases, akin to human cognitive biases, adversely affect their performance."" and ""This research critically examines these biases and quantifies the effects on a representative list selection task."""
"Blending Is All You Need: Cheaper, Better Alternative to Trillion-Parameters LLM",Yes.,3.,"""While these expansive models tend to generate increasingly better chat responses, they demand significant computational resources and memory."""
A match made in consistency heaven: when large language models meet evolutionary algorithms,Yes.,1.,"""Based on this consistency perspective, existing coupling studies are analyzed, including evolutionary fine-tuning and LLM-enhanced EAs. Leveraging these insights, we outline a fundamental roadmap for future research in coupling LLMs and EAs, while highlighting key challenges along the way."""
Towards Goal-oriented Large Language Model Prompting: A Survey,Yes.,2.,"""highlight the limitation of designing prompts while holding an anthropomorphic assumption that expects LLMs to think like humans."""
Mutual Enhancement of Large Language and Reinforcement Learning Models through Bi-Directional Feedback Mechanisms: A Case Study,Yes.,2.,"""However, the problems of LLMs and RL model collaboration still need to be solved."""
Integration of Large Language Models in Control of EHD Pumps for Precise Color Synthesis,Yes.,2.,"""While highlighting the limitations and the need for real-world testing, this study opens new avenues for AI applications in physical system control and sets a foundation for future advancements in AI-driven automation technologies."""
AntEval: Evaluation of Social Interaction Competencies in LLM-Driven Agents,Yes.,3.,"""However, their capability in handling complex, multi-character social interactions has yet to be fully explored, primarily due to the absence of robust, quantitative evaluation methods."""
Adaptive Text Watermark for Large Language Models,Yes.,2.,"""it is challenging to generate high-quality watermarked text while maintaining strong security, robustness, and the ability to detect watermarks without prior knowledge of the prompt or model."""
EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty,Yes.,3.,"""the inherent uncertainty in feature (second-to-top-layer) level autoregression constrains its performance."""
Contrastive Preference Optimization: Pushing the Boundaries of LLM Performance in Machine Translation,Yes.,3.,"""even the top-performing 13B LLM-based translation models, like ALMA, does not match the performance of state-of-the-art conventional encoder-decoder translation models or larger-scale LLMs such as GPT-4."" and ""we first assess the shortcomings of supervised fine-tuning for LLMs in the MT task, emphasizing the quality issues present in the reference data,"
MouSi: Poly-Visual-Expert Vision-Language Models,Yes.,4.,"""Current large vision-language models (VLMs) often encounter challenges such as insufficient capabilities of a single visual component and excessively long visual tokens. These issues can limit the model's effectiveness in accurately interpreting complex visual information and over-lengthy contextual information."""
Identifying and Analyzing Task-Encoding Tokens in Large Language Models,Yes.,3.,"""unexpectedly large changes in performance can arise from small changes in the prompt, leaving prompt design a largely empirical endeavour."""
Code-Aware Prompting: A study of Coverage Guided Test Generation in Regression Setting using LLM,Yes.,3.,"""LLM-generated testsuites still suffer from low coverage."""
ReGAL: Refactoring Programs to Discover Generalizable Abstractions,Yes.,3.,"""While large language models (LLMs) are increasingly being used for program synthesis, they lack the global view needed to develop useful abstractions; they generally predict programs one at a time, often repeating the same functionality."""
Why Solving Multi-agent Path Finding with Large Language Model has not Succeeded Yet,Yes.,5.,"""We present our position on why directly solving MAPF with LLMs has not been successful yet, and we use various experiments to support our hypothesis."""
Empathy and the Right to Be an Exception: What LLMs Can and Cannot Do,Yes.,5.,"""We ask whether LLMs' inability to empathize precludes them from honoring an individual's right to be an exception,"" and ""Can LLMs seriously consider an individual's claim that their case is different based on internal mental states like beliefs, desires, and intentions, or are they limited to judging that case based on its similarities to others?"""
Eyes Wide Shut? Exploring the Visual Shortcomings of Multimodal LLMs,Yes.,5.,"""Our research reveals that the visual capabilities in recent multimodal LLMs (MLLMs) still exhibit systematic shortcomings,"" and ""MMVP exposes areas where state-of-the-art systems, including GPT-4V, struggle with straightforward questions across nine basic visual patterns, often providing incorrect answers and hallucinated explanations."""
"Generative AI in EU Law: Liability, Privacy, Intellectual Property, and Cybersecurity",Yes.,3.,"""the complexity and emergent autonomy of these models introduce challenges in predictability and legal compliance"" and ""The paper identifies potential gaps and shortcomings in the legislative framework."""
ANGO: A Next-Level Evaluation Benchmark For Generation-Oriented Language Models In Chinese Domain,Yes.,1.,"""Recently, various Large Language Models (LLMs) evaluation datasets have emerged, but most of them have issues with distorted rankings and difficulty in model capabilities analysis."""
Detecting mental disorder on social media: a ChatGPT-augmented explainable approach,Yes.,1.,"""This paper addresses the challenge of interpretable depression detection by proposing a novel methodology that effectively combines Large Language Models (LLMs) with eXplainable Artificial Intelligence (XAI) and conversational agents like ChatGPT."""
"The Stronger the Diffusion Model, the Easier the Backdoor: Data Poisoning to Induce Copyright Breaches Without Adjusting Finetuning Pipeline",Yes.,1.,"""This data, comprising poisoning images equipped with prompts, is generated by leveraging the powerful capabilities of multimodal large language models and text-guided image inpainting techniques."""
APT: Adaptive Pruning and Tuning Pretrained Language Models for Efficient Training and Inference,Yes.,2.,"""Fine-tuning and inference with large Language Models (LM) are generally known to be expensive."""
PACE: A Pragmatic Agent for Enhancing Communication Efficiency Using Large Language Models,Yes.,1.,"""This paper proposes an image pragmatic communication framework based on a Pragmatic Agent for Communication Efficiency (PACE) using Large Language Models (LLM)."""
AboutMe: Using Self-Descriptions in Webpages to Document the Effects of English Pretraining Data Filters,Yes.,3.,"""decisions around what data is retained or removed during this initial stage is under-scrutinized"" and ""we conduct the first study investigating how ten 'quality' and English language identification (langID) filters affect webpages that vary along these social dimensions."""
Metacognition is all you need? Using Introspection in Generative Agents to Improve Goal-directed Behavior,Yes.,3.,"""Recent advances in Large Language Models (LLMs) have shown impressive capabilities in various applications, yet LLMs face challenges such as limited context windows and difficulties in generalization."""
"Mastering Text-to-Image Diffusion: Recaptioning, Planning, and Generating with Multimodal LLMs",Yes.,3.,"""existing methods often face challenges when handling complex text prompts that involve multiple objects with multiple attributes and relationships."""
Transformers and Cortical Waves: Encoders for Pulling In Context Across Time,Yes.,1.,"""The capabilities of transformer networks such as ChatGPT and other Large Language Models (LLMs) have captured the world's attention."""
δ-CAUSAL: Exploring Defeasibility in Causal Reasoning,Yes.,2.,"""We further demonstrate even Large Language Models (LLMs) like GPT-3.5 still lag 4.5 and 10.7 points behind humans in generating supporters and defeaters, emphasizing the challenge posed by {\delta}-CAUSAL."""
Arrows of Time for Large Language Models,Yes.,3.,"""We empirically find a time asymmetry exhibited by such models in their ability to model natural language"
Equipping Language Models with Tool Use Capability for Tabular Data Analysis in Finance,Yes.,5.,"""Large language models (LLMs) have exhibited an array of reasoning capabilities but face challenges like error propagation and hallucination, particularly in specialised areas like finance, where data is heterogeneous, and precision is paramount."""
Leveraging Print Debugging to Improve Code Generation in Large Language Models,Yes.,3.,"""Large language models (LLMs) have made significant progress in code generation tasks, but their performance in tackling programming problems with complex data structures and algorithms remains suboptimal."""
Under the Surface: Tracking the Artifactuality of LLM-Generated Data,Yes.,5.,"""This paper reveals significant hidden disparities, especially in complex tasks where LLMs often miss the nuanced understanding of intrinsic human-generated content,"" and ""It highlights the LLMs' shortcomings in replicating human traits and behaviors, underscoring the importance of addressing biases and artifacts produced in LLM-generated content for future research and development."""
Evaluation of General Large Language Models in Contextually Assessing Semantic Concepts Extracted from Adult Critical Care Electronic Health Record Notes,Yes.,2.,"""However, their performance in actual clinical applications has been underexplored."" and ""This gap highlights the need for more in-depth and practical assessments of LLMs in real-world healthcare settings."""
"Improving Classification Performance With Human Feedback: Label a few, we label the rest",Yes.,1.,"""By employing Large Language Models (LLMs) such as GPT-3.5, BERT, and SetFit, we aim to analyze the efficacy of using a limited number of labeled examples to substantially improve model accuracy."""
Entity Recognition from Colloquial Text,Yes.,3.,"""Despite the recent advances in training large language models for a variety of natural language processing tasks, the developed models and techniques have mainly focused on formal texts and do not perform as well on colloquial data, which is characterized by a number of distinct challenges."""
Generalist embedding models are better at short-context clinical semantic search than specialized embedding models,Yes.,4.,"""Their use in this highly critical and sensitive domain has thus raised important questions about their robustness, especially in response to variations in input, and the reliability of the generated outputs."" and ""The highlighted problem of specialized models may be due to the fact that they have not been trained on sufficient data, and in particular on datasets that are not diverse enough to have a reliable global language understanding,"
"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects",Yes.,1.,"""Benefiting from recent progress in large language models (LLMs), LLM-based agents that use universal natural language as an interface exhibit robust generalization capabilities across various applications."""
Code Prompting Elicits Conditional Reasoning Abilities in Text+Code LLMs,Yes.,1.,"""Recent prompting techniques, such as chain of thought, have consistently improved LLMs' performance on various reasoning tasks. Nevertheless, there is still little understanding of what triggers reasoning abilities in LLMs in the inference stage."""
LongAlign: A Recipe for Long Context Alignment of Large Language Models,Yes.,5.,"""Extending large language models to effectively handle long contexts requires instruction fine-tuning on input sequences of similar length."""
CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs,Yes.,3.,"""LLM-powered tools like ChatGPT offer instant support, but reveal direct answers with code, which may hinder deep conceptual engagement."""
A Study on Training and Developing Large Language Models for Behavior Tree Generation,Yes.,1.,"""we propose a novel methodology that leverages the robust representation and reasoning abilities of LLMs."""
Benchmarking Large Language Models on Controllable Generation under Diversified Instructions,Yes.,5.,"""revealing their limitations in following instructions with specific constraints and there is still a significant gap between open-source and commercial closed-source LLMs."""
An Example of Evolutionary Computation + Large Language Model Beating Human: Design of Efficient Guided Local Search,Yes.,1.,"""AEL combines the power of a large language model and the paradigm of evolutionary computation to design, combine, and modify algorithms automatically."""
Gender Bias in Machine Translation and The Era of Large Language Models,Yes.,4.,"""The findings emphasize the ongoing need for advancements in mitigating bias in Machine Translation systems and underscore the importance of fostering fairness and inclusivity in language technologies."""
Pheme: Efficient and Conversational Speech Generation,,,
Signed-Prompt: A New Approach to Prevent Prompt Injection Attacks Against LLM-Integrated Applications,Yes.,4.,"""The critical challenge of prompt injection attacks in Large Language Models (LLMs) integrated applications, a growing concern in the Artificial Intelligence (AI) field. Such attacks, which manipulate LLMs through natural language inputs, pose a significant threat to the security of these applications. Traditional defense strategies, including output and input filtering, as well as delimiter use, have proven inadequate."""
Multilingual Instruction Tuning With Just a Pinch of Multilinguality,Yes.,1.,"""As instruction-tuned large language models (LLMs) gain global adoption, their ability to follow instructions in multiple languages becomes increasingly crucial."""
Leveraging Large Language Models for NLG Evaluation: A Survey,Yes.,4.,"""Our detailed exploration includes critically assessing various LLM-based methodologies, as well as comparing their strengths and limitations in evaluating NLG outputs. By discussing unresolved challenges, including bias, robustness, domain-specificity, and unified evaluation, this survey seeks to offer insights to researchers and advocate for fairer and more advanced NLG evaluation techniques."""
Prompting Large Vision-Language Models for Compositional Reasoning,Yes.,5.,"""However, these embedding-based models still face challenges in effectively matching images and texts with similar visio-linguistic compositionality, as evidenced by their performance on the recent Winoground dataset."" and ""this limitation stems from two factors"
Empirical Study of Large Language Models as Automated Essay Scoring Tools in English Composition__Taking TOEFL Independent Writing Task for Example,Yes.,3.,"""The primary objective is to assess the capabilities and constraints of ChatGPT, a prominent representative of large language models, within the context of automated essay scoring."""
DiffusionGPT: LLM-Driven Text-to-Image Generation System,Yes.,1.,"""However, a major challenge persists in current text-to-image systems are often unable to handle diverse inputs, or are limited to single model results."""
INACIA: Integrating Large Language Models in Brazilian Audit Courts: Opportunities and Challenges,Yes.,3.,"""These results underscore INACIA's potential in complex legal task handling while also acknowledging the current limitations."""
Cross-lingual Editing in Multilingual Language Models,Yes.,3.,"""The results reveal notable performance limitations of state-of-the-art METs under the XME setting, mainly when the languages involved belong to two distinct script families."""
MT-Eval: A Multi-Turn Capabilities Evaluation Benchmark for Large Language Models,Yes.,5.,"""We observe significant performance degradation in multi-turn settings compared to single-turn settings in most models, which is not correlated with the models' fundamental capabilities. Moreover, we identify the distance to relevant content and susceptibility to error propagation as the key factors influencing multi-turn performance."""
Scaling Sparse Fine-Tuning to Large Language Models,Yes.,3.,"""Large Language Models (LLMs) are difficult to fully fine-tune (e.g., with instructions or human feedback) due to their sheer number of parameters."" and ""their memory requirements increase proportionally to the size of the LLMs."""
Wordflow: Social Prompt Engineering for Large Language Models,Yes.,1.,"""Large language models (LLMs) require well-crafted prompts for effective use."""
OOP: Object-Oriented Programming Evaluation Benchmark for Large Language Models,Yes.,5.,"""The poor performance of all advanced LLMs on our OOP benchmark highlights a critical need for improvements in this field."""
Consolidating Trees of Robotic Plans Generated Using Large Language Models to Improve Reliability,Yes.,5.,"""LLMs have been used to generate task plans, but they are unreliable and may contain wrong, questionable, or high-cost steps."""
De-identification is not always enough,Yes.,3.,"""We observed that when synthetically generated notes closely match the performance of real data, they also exhibit similar privacy concerns to the real data."""
Transformers are Multi-State RNNs,Yes.,3.,"""They also lay out the option of mitigating one of their most painful computational bottlenecks - the size of their cache memory."""
DevEval: Evaluating Code Generation in Practical Software Projects,Yes.,3.,"""Many benchmarks have been proposed but are inconsistent with practical software projects, e.g., unreal program distributions, insufficient dependencies, and small-scale project contexts."""
Question Translation Training for Better Multilingual Reasoning,Yes.,3.,"""Large language models show compelling performance on reasoning tasks but they tend to perform much worse in languages other than English. This is unsurprising given that their training data largely consists of English text and instructions."""
ZS4C: Zero-Shot Synthesis of Compilable Code for Incomplete Code Snippets using ChatGPT,Yes.,1.,"""To address this problem, we propose ZS4C, a lightweight approach to perform zero-shot synthesis of compilable code from incomplete code snippets using Large Language Model (LLM)."""
From Prompt Engineering to Prompt Science With Human in the Loop,Yes.,5.,"""we need to be concerned about how it may affect that research, its findings, or any future works based on that research,"" and ""they are often focused more on achieving desirable outcomes rather than producing replicable and generalizable knowledge with sufficient transparency, objectivity, or rigor."""
When Large Language Models Meet Vector Databases: A Survey,Yes.,5.,"""With the proliferation of LLMs comes a host of challenges, including hallucinations, outdated knowledge, prohibitive commercial application costs, and memory issues."""
"When Large Language Model Agents Meet 6G Networks: Perception, Grounding, and Alignment",Yes.,2.,"""Nevertheless, the limited capacity of mobile devices constrains the effectiveness of deploying and executing local LLMs, which necessitates offloading complex tasks to global LLMs running on edge servers during long-horizon interactions."""
OpenMoE: An Early Effort on Open Mixture-of-Experts Language Models,Yes.,5.,"""This imperfect routing can result in performance degradation, particularly in sequential tasks like multi-turn conversations, where tokens appearing later in a sequence are more likely to be dropped."""
Predicting challenge moments from students' discourse: A comparison of GPT-4 to two traditional natural language processing approaches,Yes.,5.,"""although LLMs provide many advantages, they are unlikely to be the panacea to issues of the detection and feedback provision of socially shared regulation of learning due to their lack of reliability, as well as issues of validity evaluation, privacy and confabulation."""
Prompt4Vis: Prompting Large Language Models with Example Mining and Schema Filtering for Tabular Data Visualization,Yes.,1.,"""Large language models (LLMs) such as ChatGPT and GPT-4, have established new benchmarks in a variety of NLP tasks, fundamentally altering the landscape of the field."""
InfoLossQA: Characterizing and Recovering Information Loss in Text Simplification,Yes.,5.,"""our expert evaluation reveals that models struggle to reliably identify information loss and applying similar standards as humans at what constitutes information loss."""
ICE-GRT: Instruction Context Enhancement by Generative Reinforcement based Transformers,Yes.,5.,"""The emergence of Large Language Models (LLMs) such as ChatGPT and LLaMA encounter limitations in domain-specific tasks, with these models often lacking depth and accuracy in specialized areas, and exhibiting a decrease in general capabilities when fine-tuned, particularly analysis ability in small sized models."""
Agent Alignment in Evolving Social Norms,Yes.,2.,"""The current alignment of AI systems primarily focuses on passively aligning LLMs through human intervention. However, agents possess characteristics like receiving environmental feedback and self-evolution, rendering the LLM alignment methods inadequate."""
Security and Privacy Challenges of Large Language Models: A Survey,Yes.,5.,"""While offering significant advantages, these models are also vulnerable to security and privacy attacks, such as jailbreaking attacks, data poisoning attacks, and Personally Identifiable Information (PII) leakage attacks."""
Hallucination Benchmark in Medical Visual Question Answering,Yes.,5.,"""these models are not extensively tested on the hallucination phenomenon in clinical settings"" and ""The study provides an in-depth analysis of current models' limitations."""
Enhancing Recommendation Diversity by Re-ranking with Large Language Models,Yes.,2.,"""We find that LLM-based re-ranking outperforms random re-ranking across all the metrics that we use but does not perform as well as the traditional re-ranking methods."""
Breaking Free Transformer Models: Task-specific Context Attribution Promises Improved Generalizability Without Fine-tuning Pre-trained LLMs,Yes.,2.,"""Fine-tuning large pre-trained language models (LLMs) on particular datasets is a commonly employed strategy in Natural Language Processing (NLP) classification tasks. However, this approach usually results in a loss of models generalizability."""
Knowledge Verification to Nip Hallucination in the Bud,Yes.,5.,"""they may still generate responses that sound plausible but contradict factual knowledge, a phenomenon known as hallucination."""
"Tuning LLMs with Contrastive Alignment Instructions for Machine Translation in Unseen, Low-resource Languages",Yes.,2.,"""One is the expansion of supported languages to previously unseen ones. The second relates to the lack of data in low-resource languages."" and ""MTInstruct is limited by weak cross-lingual signals inherent in the second challenge."""
LLM4Vuln: A Unified Evaluation Framework for Decoupling and Enhancing LLMs' Vulnerability Reasoning,Yes.,3.,"""recent attempts to use LLMs for vulnerability detection are still preliminary, as they lack an in-depth understanding of a subject LLM's vulnerability reasoning capability -- whether it originates from the model itself or from external assistance, such as invoking tool support and retrieving vulnerability knowledge."""
DCR-Consistency: Divide-Conquer-Reasoning for Consistency Evaluation and Improvement of Large Language Models,Yes.,3.,"""Traditional evaluation methods, such as ROUGE and BERTScore, which measure token similarity, often fail to capture the holistic semantic equivalence. This results in a low correlation with human judgments and intuition, which is especially problematic in high-stakes applications like healthcare and finance where reliability, safety, and robust decision-making are highly critical."""
Evaluation of LLM Chatbots for OSINT-based Cyber Threat Awareness,Yes.,5.,"""However, concerning cybersecurity entity recognition, all evaluated chatbots have limitations and are less effective."" and ""Our results shed light on the limitations of the LLM chatbots when compared to specialized models."""
Informed AI Regulation: Comparing the Ethical Frameworks of Leading LLM Chatbots Using an Ethics-Based Audit to Assess Moral Reasoning and Normative Values,Yes.,4.,"""troubling findings include underlying normative frameworks with clear bias towards particular cultural norms. Many models also exhibit disturbing authoritarian tendencies."""
Towards Optimizing the Costs of LLM Usage,Yes.,2.,"""enterprises are already incurring huge costs of operating or using LLMs for their respective use cases."""
Chain-of-Table: Evolving Tables in the Reasoning Chain for Table Understanding,,,
Machine Translation Meta Evaluation through Translation Accuracy Challenge Sets,Yes.,3.,"""We also investigate claims that Large Language Models (LLMs) are effective as MT evaluators by evaluating on ACES. Our results demonstrate that different metric families struggle with different phenomena and that LLM-based methods fail to demonstrate reliable performance."""
Emojis Decoded: Leveraging ChatGPT for Enhanced Understanding in Social Media Communications,Yes.,1.,"""Large Language Models (LLMs) have achieved significant success in various annotation tasks, with ChatGPT demonstrating expertise across multiple domains."""
Hidden Flaws Behind Expert-Level Accuracy of GPT-4 Vision in Medicine,Yes.,5.,"""we discovered that GPT-4V frequently presents flawed rationales in cases where it makes the correct final choices (27.3%), most prominent in image comprehension (21.6%). Regardless of GPT-4V's high accuracy in multi-choice questions, our findings emphasize the necessity for further in-depth evaluations of its rationales before integrating such models into clinical workflows."""
ChatGraph: Chat with Your Graphs,Yes.,1.,"""To address the limitations, we propose a large language model (LLM)-based framework called ChatGraph."""
Do We Need Language-Specific Fact-Checking Models? The Case of Chinese,Yes.,3.,"""We first demonstrate the limitations of translation-based methods and multilingual large language models (e.g., GPT-4), highlighting the need for language-specific systems."""
On Prompt-Driven Safeguarding for Large Language Models,Yes.,5.,"""We find that in models' representation space, harmful and harmless queries can be largely distinguished, but this is not noticeably enhanced by safety prompts. Instead, the queries' representations are moved by safety prompts in similar directions where models become more prone to refusal (i.e., refusing to provide assistance) even when the queries are harmless."""
Large language model empowered participatory urban planning,Yes.,1.,"""This research introduces an innovative urban planning approach integrating Large Language Models (LLMs) within the participatory process."""
MULTIVERSE: Exposing Large Language Model Alignment Problems in Diverse Worlds,,,
CAT-LLM: Prompting Large Language Models with Text Style Definition for Chinese Article-style Transfer,Yes.,1.,"""CAT-LLM incorporates a bespoke, pluggable Text Style Definition (TSD) module aimed at comprehensively analyzing text features in articles, prompting LLMs to efficiently transfer Chinese article-style."""
APAR: LLMs Can Do Auto-Parallel Auto-Regressive Decoding,Yes.,1.,"""the auto-regressive decoding process, which is fundamental to how most LLMs generate text, poses challenges to achieve efficient serving."""
Large Language Models Are Neurosymbolic Reasoners,Yes.,1.,"""This paper investigates the potential application of Large Language Models (LLMs) as symbolic reasoners."""
Lost in the Source Language: How Large Language Models Evaluate the Quality of Machine Translation,Yes.,5.,"""Surprisingly, we find that reference information significantly enhances the evaluation accuracy, while source information sometimes is counterproductive, indicating a lack of cross-lingual capability when using LLMs to evaluate translations."""
Detection of Machine-Generated Text: Literature Survey,Yes.,4.,"""Concerns regarding the possible influence of advanced language models on society have also arisen, needing a fuller knowledge of these processes."" and ""To mitigate the hazardous implications that may arise from the use of these models, preventative measures must be implemented."""
Extreme Compression of Large Language Models via Additive Quantization,Yes.,1.,"""The emergence of accurate open large language models (LLMs) has led to a race towards quantization techniques for such models enabling execution on end-user devices."""
The Neglected Tails of Vision-Language Models,,,
TOFU: A Task of Fictitious Unlearning for LLMs,Yes.,5.,"""Large language models trained on massive corpora of data from the web can memorize and reproduce sensitive or private data raising both legal and ethical concerns."" and ""Importantly, none of the baselines we consider show effective unlearning motivating continued efforts to develop approaches for unlearning that effectively tune models so that they truly behave as if they were never trained on the forget data at all."""
An Exploratory Study on Automatic Identification of Assumptions in the Development of Deep Learning Frameworks,Yes.,3.,"""Though ChatGPT is the most popular large language model, we do not recommend using it to identify assumptions in DL framework development because of its low performance on the task."""
InFoBench: Evaluating Instruction Following Ability in Large Language Models,Yes.,3.,"""The evaluation of several advanced LLMs using this framework reveals their strengths and areas needing improvement, particularly in complex instruction-following."""
AI Revolution on Chat Bot: Evidence from a Randomized Controlled Experiment,Yes.,1.,"""Despite recent advances, field experiments applying LLM-based tools in realistic settings are limited."""
Towards Conversational Diagnostic AI,Yes.,2.,"""Our research has several limitations and should be interpreted with appropriate caution. Clinicians were limited to unfamiliar synchronous text-chat which permits large-scale LLM-patient interactions but is not representative of usual clinical practice."""
Extending LLMs' Context Window with 100 Samples,Yes.,5.,"""Large Language Models (LLMs) are known to have limited extrapolation ability beyond their pre-trained context window, constraining their application in downstream tasks with lengthy inputs."""
